,status,setup_time,solve_time,run_time,obj
QGROW22,Solved,,0.067769147,0.067769147,-149628952.26995745
QSCFXM1,Solved,,0.012993463,0.012993463,16882691.806796152
AUG3D,Solved,,0.004215812,0.004215812,-782.4322742074714
QBORE3D,Solved,,0.007646052,0.007646052,3100.2033659148183
QGROW15,Solved,,0.017391723,0.017391723,-101693639.29239857
DUALC2,Solved,,0.00159168,0.00159168,3551.307692978044
DUAL3,Solved,,0.005437813,0.005437813,0.13575584440393818
ZECEVIC2,Solved,,5.142e-05,5.142e-05,-4.124999984682637
QSHIP08S,Solved,,0.05059166,0.05059166,2385728.874295799
QSHIP04L,Solved,,0.016140513,0.016140513,2420015.572676956
QSHIP04S,Solved,,0.010733231,0.010733231,2424993.9875756796
STADAT2,Solved,,0.076115296,0.076115296,-32.626667831889236
QSCRS8,Solved,,0.023490501,0.023490501,904.5636237361807
HS51,Solved,,6.8606e-05,6.8606e-05,-5.999999999999996
AUG2DQP,Solved,,0.286668682,0.286668682,6227112.065763209
QSHARE2B,Solved,,0.00214115,0.00214115,11703.692227797097
QSC205,Solved,,0.00211581,0.00211581,-0.0058139325577459145
STADAT3,Solved,,0.191405419,0.191405419,-35.77945324262709
QSHELL,Solved,,0.207676958,0.207676958,-5.821192363842336e-08
DPKLO1,Solved,,0.000413731,0.000413731,0.37009621711426494
MOSARQP1,Solved,,0.016144083,0.016144083,-952.8754406278969
KSIP,Solved,,0.025575572,0.025575572,0.5757979412401402
HS52,Solved,,3.1979e-05,3.1979e-05,-0.673352435530087
STADAT1,Solved,,0.021344771,0.021344771,-28526864.04455752
DUALC1,Solved,,0.001450578,0.001450578,6155.250830436563
QBANDM,Solved,,0.008064523,0.008064523,16352.360719421271
QE226,Solved,,0.014071062,0.014071062,205.54043446954825
QFORPLAN,Solved,,0.012569149,0.012569149,4722458868.681406
QRECIPE,Solved,,0.001900123,0.001900123,-266.61599099036516
HS21,Solved,,3.9749e-05,3.9749e-05,0.04000002072522467
CVXQP1_S,Solved,,0.001302138,0.001302138,11590.718231248024
LISWET2,Solved,,0.078105209,0.078105209,-1666.991897701381
LISWET6,Solved,,0.07799915,0.07799915,-2162.2242914961025
QSCAGR7,Solved,,0.001894074,0.001894074,26865949.73446662
LISWET11,AlmostSolved,,0.590139289,0.590139289,-2489.22268254424
LASER,Solved,,0.006908116,0.006908116,2409601.3609568435
UBH1,Solved,,0.152696616,0.152696616,1.1163711392264106
QSCFXM3,Solved,,0.053116202,0.053116202,30816355.636112604
CVXQP1_L,Solved,,29.385868273,29.385868273,108704802.43867072
CONT-101,Solved,,0.701545632,0.701545632,0.19552732462034284
QPCBOEI1,Solved,,0.011427334,0.011427334,11503914.056110974
QETAMACR,Solved,,0.074966889,0.074966889,86760.37197603524
DUAL1,Solved,,0.002575868,0.002575868,0.03501296883322865
QISRAEL,Solved,,0.005755305,0.005755305,25347838.17200656
HS35MOD,Solved,,5.094e-05,5.094e-05,-8.749999932180591
QSEBA,Solved,,0.019475986,0.019475986,81481801.36773214
PRIMALC8,Solved,,0.003991136,0.003991136,-18309.429646980177
QPCBLEND,Solved,,0.00092328,0.00092328,-0.007842512115297266
QBEACONF,AlmostSolved,,0.004839994,0.004839994,164712.83392065138
QPILOTNO,Solved,,0.139127801,0.139127801,4728586.936592016
TAME,Solved,,9.8729e-05,9.8729e-05,0.0
QFFFFF80,Solved,,0.051550961,0.051550961,873147.5159710192
QSCSD6,Solved,,0.010060853,0.010060853,50.808213685375456
S268,Solved,,8.4879e-05,8.4879e-05,-14462.999757963631
LISWET9,AlmostSolved,,0.720282064,0.720282064,-1977.3592638248442
HS268,Solved,,0.000199834,0.000199834,-14462.999757963631
HS76,Solved,,7.317e-05,7.317e-05,-4.681818173865548
POWELL20,PrimalInfeasible,,0.083742848,0.083742848,
QSCSD8,Solved,,0.01411255,0.01411255,940.7636213166437
STCQP2,Solved,,0.129688331,0.129688331,22327.313372304627
QSIERRA,Solved,,0.034980729,0.034980729,23750458.344538327
HUESTIS,Solved,,0.028674795,0.028674795,348244639669.60315
AUG3DC,Solved,,0.003479057,0.003479057,-1165.237561311021
PRIMALC5,Solved,,0.001815064,0.001815064,-427.23231981352313
QSHIP12L,Solved,,0.261319749,0.261319749,3018876.704002435
QAFIRO,Solved,,0.000315575,0.000315575,-1.590781757741434
QSHIP08L,Solved,,0.224348534,0.224348534,2376040.671832079
EXDATA,Solved,,13.190382808,13.190382808,-141.843431163407
QSTANDAT,Solved,,0.0130942,0.0130942,7.492319761511434e-08
CVXQP2_L,Solved,,14.142401475,14.142401475,81842461.1980865
CONT-100,Solved,,0.675222587,0.675222587,-4.6443978686335905
QSCFXM2,Solved,,0.025848943,0.025848943,27776162.92680031
QSHIP12S,Solved,,0.042884418,0.042884418,3056962.2782944655
QPCBOEI2,Solved,,0.00380976,0.00380976,8171962.372429828
AUG2D,Solved,,0.020139086,0.020139086,1677511.752896748
HS53,Solved,,0.000123318,0.000123318,-1.9069767441860455
PRIMAL3,Solved,,0.021971702,0.021971702,-0.13575581062073921
HS35,Solved,,3.9741e-05,3.9741e-05,-8.88888888171404
PRIMAL4,Solved,,0.018661841,0.018661841,-0.7460908118786597
QSHARE1B,Solved,,0.003530989,0.003530989,720087.5802007013
CVXQP3_S,Solved,,0.001124661,0.001124661,11943.43234356291
GENHS28,Solved,,2.5369e-05,2.5369e-05,0.9271736937663906
AUG2DC,Solved,,0.027504905,0.027504905,1808268.0655701954
HUES-MOD,Solved,,0.053567489,0.053567489,34824464.124977514
QSCSD1,Solved,,0.004684547,0.004684547,8.666666632606573
LISWET8,AlmostSolved,,0.734583208,0.734583208,-2470.0060211404075
YAO,AlmostSolved,,0.031313147,0.031313147,-151.54053487777696
CVXQP3_M,Solved,,0.067653052,0.067653052,1362828.7479921652
Q25FV47,Solved,,0.228523732,0.228523732,13744448.382863559
PRIMAL2,Solved,,0.009360636,0.009360636,-0.03373367401364855
GOULDQP3,Solved,,0.003848348,0.003848348,-29647.837194041138
LISWET1,Solved,,0.177356321,0.177356321,-2499.726451867478
QPCSTAIR,Solved,,0.015718904,0.015718904,6204387.562651614
QSCAGR25,Solved,,0.005564837,0.005564837,201737947.63093343
QCAPRI,Solved,,0.015192763,0.015192763,66793287.48556022
CVXQP2_M,Solved,,0.037350118,0.037350118,820155.4413216944
CONT-050,Solved,,0.080306017,0.080306017,-4.563850904249426
QSTAIR,Solved,,0.035498007,0.035498007,7985452.731455268
CVXQP1_M,Solved,,0.062999317,0.062999317,1087511.5713252209
PRIMALC1,Solved,,0.00229643,0.00229643,-6155.2507697469755
MOSARQP2,Solved,,0.01238982,0.01238982,-1597.4821082209976
QSCTAP1,Solved,,0.003038913,0.003038913,2.0506571140909807e-09
LISWET3,Solved,,0.05750606,0.05750606,-1000.2587678894051
LISWET7,AlmostSolved,,0.735052105,0.735052105,-2483.194968631471
AUG3DQP,Solved,,0.036922018,0.036922018,-661.2623109956315
CVXQP2_S,Solved,,0.000912929,0.000912929,8120.940530699841
DUAL2,Solved,,0.003749094,0.003749094,0.033733685833589315
QGROW7,Solved,,0.008920666,0.008920666,-42798713.70816674
QSCTAP3,Solved,,0.021688071,0.021688071,2.297514653114402e-08
AUG3DCQP,Solved,,0.034486542,0.034486542,-943.1378393874804
LISWET4,Solved,,0.074311862,0.074311862,-714.5158982818706
PRIMAL1,Solved,,0.006324194,0.006324194,-0.03501295390437401
HS118,Solved,,0.000198508,0.000198508,664.8204536111011
AUG2DCQP,Solved,,0.26809217,0.26809217,6488034.743930681
STCQP1,Solved,,0.074149376,0.074149376,155143.55526251314
QGFRDXPN,Solved,,0.012641716,0.012641716,100790597753.41922
QPTEST,Solved,,7.2176e-05,7.2176e-05,4.371875030974427
LISWET5,Solved,,0.063511413,0.063511413,-15976.165682352108
VALUES,Solved,,0.003643854,0.003643854,-1.3966211433271134
LISWET10,Solved,,0.159182233,0.159182233,-2500.7704487672067
CVXQP3_L,Solved,,29.180836158,29.180836158,115711106.29849197
DTOC3,Solved,,0.042312517,0.042312517,235.2624802860174
QSCORPIO,Solved,,0.003012653,0.003012653,1880.5095494929847
PRIMALC2,Solved,,0.002107413,0.002107413,-3551.3076860402743
QSCTAP2,Solved,,0.016450747,0.016450747,4.643138481851096e-09
DUALC8,Solved,,0.002238734,0.002238734,18309.35888254205
DUAL4,Solved,,0.002611854,0.002611854,0.7460908446264269
QADLITTL,Solved,,0.000999431,0.000999431,480318.8661006873
LOTSCHD,Solved,,0.000138223,0.000138223,2398.4159521976294
QBRANDY,Solved,,0.006890185,0.006890185,28375.11684919345
GOULDQP2,Solved,,0.00587884,0.00587884,0.00018428106561769097
DUALC5,Solved,,0.001218427,0.001218427,427.2323269916071
LISWET12,AlmostSolved,,0.562698663,0.562698663,-2289.730038689658
