,nvar,status,setup_time,solve_time,run_time,obj
group_lasso_1,260,optimal,0.0,0.000532271,0.000532271,6.611193963771614
group_lasso_2,520,optimal,0.0,0.001952876,0.001952876,5.2271668028061695
group_lasso_3,780,optimal,0.0,0.003785694,0.003785694,4.859021049479732
group_lasso_4,1040,optimal,0.0,0.005692817,0.005692817,8.369918916875301
group_lasso_5,1300,optimal,0.0,0.009633486,0.009633486,8.275613791937612
group_lasso_6,1560,optimal,0.0,0.011017188,0.011017188,11.449585009778518
group_lasso_8,2080,optimal,0.0,0.029071999,0.029071999,15.045707644396701
group_lasso_10,2600,optimal,0.0,0.044532316,0.044532316,18.997252326816458
group_lasso_12,3120,optimal,0.0,0.118333847,0.118333847,22.81686806795302
group_lasso_14,3640,optimal,0.0,0.090054244,0.090054244,25.487802120639326
group_lasso_16,4160,optimal,0.0,0.169848176,0.169848176,28.992693888962467
