,size,status,setup_time,solve_time,run_time,obj
group_lasso_1,761,optimal,0.000446971,0.002743863,0.003190834,6.6111939633504395
group_lasso_2,2022,optimal,0.000581535,0.005664681,0.006246216000000001,5.227166798619739
group_lasso_3,3783,optimal,0.002034556,0.018700728,0.020735284,4.8590210349591025
group_lasso_4,6044,optimal,0.003459329,0.023112377,0.026571706,8.369918883371616
group_lasso_5,8805,optimal,0.005623317,0.02974053,0.035363847000000004,8.275613772802096
group_lasso_6,12066,optimal,0.009483515,0.042725463,0.052208977999999996,11.449585032733934
group_lasso_8,20088,optimal,0.017649979,0.053675651,0.07132563,15.045707795554307
group_lasso_10,30110,optimal,0.025137068,0.049839943,0.074977011,18.997252313818294
group_lasso_12,42132,optimal,0.073441592,0.1184626,0.191904192,22.816868009252342
group_lasso_14,56154,optimal,0.093052746,0.117201283,0.210254029,25.487801994586555
group_lasso_16,72176,optimal,0.129113936,0.144909838,0.274023774,28.992693713072686
