,size,status,setup_time,solve_time,run_time,obj
group_lasso_1,761,optimal,0.0,0.020800113677978516,0.020800113677978516,6.61119404875077
group_lasso_2,2022,optimal,0.0,0.06766295433044434,0.06766295433044434,5.227166812850426
group_lasso_3,3783,optimal,0.0,0.2188870906829834,0.2188870906829834,4.859021077022111
group_lasso_4,6044,optimal,0.0,0.1564040184020996,0.1564040184020996,8.369918862001942
group_lasso_5,8805,optimal,0.0,0.2771940231323242,0.2771940231323242,8.27561376511315
group_lasso_6,12066,optimal,0.0,0.38336896896362305,0.38336896896362305,11.449585073142773
group_lasso_8,20088,optimal,0.0,0.7058999538421631,0.7058999538421631,15.045707726034578
group_lasso_10,30110,optimal,0.0,0.9124939441680908,0.9124939441680908,18.99725239201037
group_lasso_12,42132,optimal,0.0,2.684770107269287,2.684770107269287,22.816867836494396
group_lasso_14,56154,optimal,0.0,3.6795530319213867,3.6795530319213867,25.487801913848347
group_lasso_16,72176,optimal,0.0,4.54560112953186,4.54560112953186,28.992693598404756
