,nvar,status,setup_time,solve_time,run_time,obj
group_lasso_1,260,QOCO_SOLVED,0.000188495,0.000514311,0.000702806,6.61119398421421
group_lasso_2,520,QOCO_SOLVED,0.000317905,0.000936483,0.001254388,5.227166815735074
group_lasso_3,780,QOCO_SOLVED,0.001879014,0.0032256,0.005104614,4.85902109724324
group_lasso_4,1040,QOCO_SOLVED,0.002975312,0.00410275,0.0070780619999999995,8.36991896916457
group_lasso_5,1300,QOCO_SOLVED,0.004544753,0.006736129,0.011280882,8.275613927530019
group_lasso_6,1560,QOCO_SOLVED,0.005379687,0.006457381,0.011837068,11.449585185020531
group_lasso_8,2080,QOCO_SOLVED,0.011909491,0.01255078,0.024460271,15.045707699658818
group_lasso_10,2600,QOCO_SOLVED,0.027374066,0.022525291,0.049899357,18.9972523929568
group_lasso_12,3120,QOCO_SOLVED,0.044808986,0.036231079,0.081040065,22.81686803823453
group_lasso_14,3640,QOCO_SOLVED,0.069366411,0.048573699,0.11794011,25.487801978065715
group_lasso_16,4160,QOCO_SOLVED,0.057740607,0.042197307,0.099937914,28.992693772920976
