,size,status,setup_time,solve_time,run_time,obj,iters
lcvx_N_15_i_0,704,optimal,0.0,0.001007064,0.001007064,-3.3410601642498285,8
lcvx_N_15_i_1,704,optimal,0.0,0.000995825,0.000995825,-3.34106100286905,8
lcvx_N_15_i_2,704,optimal,0.0,0.001065455,0.001065455,-3.3410560709607386,9
lcvx_N_15_i_3,704,optimal,0.0,0.000966315,0.000966315,-3.341061340684886,8
lcvx_N_15_i_4,704,optimal,0.0,0.001051615,0.001051615,-3.3410576382316917,9
lcvx_N_15_i_5,704,optimal,0.0,0.000902354,0.000902354,-3.3410584010798523,8
lcvx_N_15_i_6,704,optimal,0.0,0.000886074,0.000886074,-3.3410622831675743,8
lcvx_N_15_i_7,704,optimal,0.0,0.000889794,0.000889794,-3.3410579280946298,8
lcvx_N_15_i_8,704,optimal,0.0,0.000904315,0.000904315,-3.341060277947676,8
lcvx_N_15_i_9,704,optimal,0.0,0.000904945,0.000904945,-3.341059297256005,8
lcvx_N_15_i_10,704,optimal,0.0,0.001016314,0.001016314,-3.3410580262897875,8
lcvx_N_15_i_11,704,optimal,0.0,0.000899953,0.000899953,-3.3410621928790127,8
lcvx_N_15_i_12,704,optimal,0.0,0.000938404,0.000938404,-3.3410582870484222,9
lcvx_N_15_i_13,704,optimal,0.0,0.000889754,0.000889754,-3.3410619074386143,8
lcvx_N_15_i_14,704,optimal,0.0,0.000901894,0.000901894,-3.3410611786009032,8
lcvx_N_15_i_15,704,optimal,0.0,0.000874104,0.000874104,-3.3410605198608248,8
lcvx_N_15_i_16,704,optimal,0.0,0.000913604,0.000913604,-3.341061986730296,8
lcvx_N_15_i_17,704,optimal,0.0,0.000890614,0.000890614,-3.3410593241254145,8
lcvx_N_15_i_18,704,optimal,0.0,0.000994104,0.000994104,-3.3410606892419255,8
lcvx_N_15_i_19,704,optimal,0.0,0.001051615,0.001051615,-3.3410581978766296,9
lcvx_N_50_i_0,2314,optimal,0.0,0.003427536,0.003427536,-3.351265228022209,8
lcvx_N_50_i_1,2314,optimal,0.0,0.003128864,0.003128864,-3.351262275659889,9
lcvx_N_50_i_2,2314,optimal,0.0,0.003092074,0.003092074,-3.351262612738185,9
lcvx_N_50_i_3,2314,optimal,0.0,0.003664847,0.003664847,-3.351261555812792,11
lcvx_N_50_i_4,2314,optimal,0.0,0.002792073,0.002792073,-3.3512644650988013,8
lcvx_N_50_i_5,2314,optimal,0.0,0.002735812,0.002735812,-3.351266051454444,8
lcvx_N_50_i_6,2314,optimal,0.0,0.003322385,0.003322385,-3.351262016584732,10
lcvx_N_50_i_7,2314,optimal,0.0,0.003488156,0.003488156,-3.351265183882285,8
lcvx_N_50_i_8,2314,optimal,0.0,0.004231429,0.004231429,-3.3512584567139734,11
lcvx_N_50_i_9,2314,optimal,0.0,0.003516585,0.003516585,-3.3512596019530347,10
lcvx_N_50_i_10,2314,optimal,0.0,0.003470555,0.003470555,-3.3512585772638435,10
lcvx_N_50_i_11,2314,optimal,0.0,0.003521506,0.003521506,-3.3512641247490467,10
lcvx_N_50_i_12,2314,optimal,0.0,0.003041844,0.003041844,-3.3512626926102858,9
lcvx_N_50_i_13,2314,optimal,0.0,0.003093264,0.003093264,-3.35126558866801,8
lcvx_N_50_i_14,2314,optimal,0.0,0.003998988,0.003998988,-3.3512586542515037,11
lcvx_N_50_i_15,2314,optimal,0.0,0.003384545,0.003384545,-3.3512623203858674,10
lcvx_N_50_i_16,2314,optimal,0.0,0.003064594,0.003064594,-3.3512624306765133,9
lcvx_N_50_i_17,2314,optimal,0.0,0.003500456,0.003500456,-3.3512626399713135,10
lcvx_N_50_i_18,2314,optimal,0.0,0.002957194,0.002957194,-3.351265479434391,8
lcvx_N_50_i_19,2314,optimal,0.0,0.003705637,0.003705637,-3.35125933367044,11
lcvx_N_75_i_0,3464,optimal,0.0,0.004799761,0.004799761,-3.352638306905514,10
lcvx_N_75_i_1,3464,optimal,0.0,0.006107557,0.006107557,-3.352640457080773,11
lcvx_N_75_i_2,3464,optimal,0.0,0.005212874,0.005212874,-3.3526433949938585,10
lcvx_N_75_i_3,3464,optimal,0.0,0.004339849,0.004339849,-3.35264339455911,8
lcvx_N_75_i_4,3464,optimal,0.0,0.005137323,0.005137323,-3.352640922064862,10
lcvx_N_75_i_5,3464,optimal,0.0,0.00443781,0.00443781,-3.352640166978738,9
lcvx_N_75_i_6,3464,optimal,0.0,0.004300839,0.004300839,-3.3526452062406964,8
