,size,status,setup_time,solve_time,run_time,obj,iters
lcvx_N_15_i_0,704,optimal_inaccurate,,,,,
lcvx_N_15_i_1,704,optimal_inaccurate,,,,,
lcvx_N_15_i_2,704,optimal,0.000111411,0.000775853,0.0008872639999999999,-3.3410555914658344,8
lcvx_N_15_i_3,704,optimal,0.000108721,0.000769753,0.000878474,-3.3410614136610914,8
lcvx_N_15_i_4,704,optimal,0.0001026,0.000710353,0.000812953,-3.3410573234926124,8
lcvx_N_15_i_5,704,optimal_inaccurate,,,,,
lcvx_N_15_i_6,704,optimal,0.0001032,0.000705943,0.000809143,-3.3410622954794076,8
lcvx_N_15_i_7,704,optimal,9.947e-05,0.000691823,0.000791293,-3.341057935281396,8
lcvx_N_15_i_8,704,optimal_inaccurate,,,,,
lcvx_N_15_i_9,704,optimal,0.00010236,0.000721143,0.0008235030000000001,-3.34105936597946,8
lcvx_N_15_i_10,704,optimal_inaccurate,,,,,
lcvx_N_15_i_11,704,optimal_inaccurate,,,,,
lcvx_N_15_i_12,704,optimal,0.000101711,0.000660653,0.000762364,-3.34105816416305,8
lcvx_N_15_i_13,704,optimal,0.00010395,0.000590613,0.000694563,-3.341061952412455,7
lcvx_N_15_i_14,704,optimal,0.000103341,0.000689643,0.0007929839999999999,-3.341061290921451,8
lcvx_N_15_i_15,704,optimal,0.0001025,0.000665933,0.000768433,-3.341060706951849,8
lcvx_N_15_i_16,704,optimal,0.00010284,0.000567753,0.000670593,-3.341062009213524,7
lcvx_N_15_i_17,704,optimal,0.0001114,0.000761464,0.000872864,-3.3410593568417286,8
lcvx_N_15_i_18,704,optimal_inaccurate,,,,,
lcvx_N_15_i_19,704,optimal,0.000109791,0.000782933,0.000892724,-3.3410579145107566,8
lcvx_N_50_i_0,2314,optimal_inaccurate,,,,,
lcvx_N_50_i_1,2314,optimal,0.000268481,0.00213775,0.002406231,-3.351262038842533,8
lcvx_N_50_i_2,2314,optimal,0.000259661,0.00207146,0.002331121,-3.3512624037518366,8
lcvx_N_50_i_3,2314,optimal,0.000259661,0.002447651,0.002707312,-3.3512611962225445,9
lcvx_N_50_i_4,2314,optimal,0.000267792,0.00218186,0.002449652,-3.3512644651538155,8
lcvx_N_50_i_5,2314,optimal,0.000261622,0.00210724,0.002368862,-3.3512660657282565,8
lcvx_N_50_i_6,2314,optimal,0.000288391,0.002336351,0.002624742,-3.3512616971804796,8
lcvx_N_50_i_7,2314,optimal,0.000287191,0.00233347,0.002620661,-3.3512652350873178,8
lcvx_N_50_i_8,2314,optimal,0.000284682,0.00230062,0.0025853020000000003,-3.3512575460723064,8
lcvx_N_50_i_9,2314,optimal,0.000263551,0.00207815,0.002341701,-3.3512590536986835,8
lcvx_N_50_i_10,2314,optimal,0.000269971,0.0021159,0.002385871,-3.351257847653825,8
lcvx_N_50_i_11,2314,optimal_inaccurate,,,,,
lcvx_N_50_i_12,2314,optimal,0.000266691,0.002158239,0.00242493,-3.3512625002798035,8
lcvx_N_50_i_13,2314,optimal_inaccurate,,,,,
lcvx_N_50_i_14,2314,optimal,0.000264422,0.00212089,0.0023853119999999997,-3.3512577337462166,8
lcvx_N_50_i_15,2314,optimal,0.000255551,0.002040339,0.00229589,-3.351262008737537,8
lcvx_N_50_i_16,2314,optimal,0.000263841,0.00212571,0.0023895509999999997,-3.3512622845533127,8
lcvx_N_50_i_17,2314,optimal,0.000259821,0.002438841,0.002698662,-3.351262434436866,9
lcvx_N_50_i_18,2314,optimal,0.000285541,0.002334251,0.0026197919999999997,-3.351265552393649,8
lcvx_N_50_i_19,2314,optimal,0.000266971,0.002453991,0.002720962,-3.3512586690600146,9
lcvx_N_75_i_0,3464,optimal,0.000406532,0.003457166,0.0038636979999999996,-3.3526377183298215,8
lcvx_N_75_i_1,3464,optimal,0.000381472,0.003623566,0.004005038,-3.3526401417864995,9
lcvx_N_75_i_2,3464,optimal,0.000408032,0.004011488,0.00441952,-3.352643363639338,9
lcvx_N_75_i_3,3464,optimal,0.000380012,0.003109464,0.003489476,-3.3526433872449988,8
lcvx_N_75_i_4,3464,optimal,0.000378522,0.003616506,0.003995027999999999,-3.352640719310395,9
lcvx_N_75_i_5,3464,optimal,0.000380611,0.003187375,0.003567986,-3.3526398020857515,8
lcvx_N_75_i_6,3464,optimal,0.000410192,0.003454205,0.0038643970000000003,-3.35264521149913,8
lcvx_N_75_i_7,3464,optimal_inaccurate,,,,,
lcvx_N_75_i_8,3464,optimal,0.000385231,0.003680167,0.004065398,-3.352643275338745,9
lcvx_N_75_i_9,3464,optimal,0.000407432,0.003932378,0.00433981,-3.3526374985068284,9
lcvx_N_75_i_10,3464,optimal,0.000373751,0.003154744,0.003528495,-3.352639529733656,8
lcvx_N_75_i_11,3464,optimal,0.000407551,0.003501986,0.003909537,-3.352643382378578,8
lcvx_N_75_i_12,3464,optimal,0.000410612,0.004076569,0.004487181000000001,-3.352639782374293,9
lcvx_N_75_i_13,3464,optimal,0.000370352,0.003514863,0.003885215,-3.352645125346601,9
lcvx_N_75_i_14,3464,optimal_inaccurate,,,,,
lcvx_N_75_i_15,3464,optimal,0.000374331,0.003507244,0.003881575,-3.3526413311915775,9
lcvx_N_75_i_16,3464,optimal,0.000369911,0.003569264,0.003939175,-3.352643202458164,9
lcvx_N_75_i_17,3464,optimal,0.000370101,0.003487623,0.003857724,-3.352635642054461,9
lcvx_N_75_i_18,3464,optimal,0.000410092,0.003473544,0.0038836359999999998,-3.352636044014477,8
lcvx_N_75_i_19,3464,optimal,0.000384251,0.003205202,0.003589453,-3.3526410169301313,8
lcvx_N_100_i_0,4614,optimal,0.000535122,0.004798668,0.00533379,-3.3533233225174093,8
lcvx_N_100_i_1,4614,optimal,0.000534632,0.005270592,0.005805224,-3.3533246974213062,9
lcvx_N_100_i_2,4614,optimal,0.000536682,0.005368462,0.005905144,-3.3533198684389167,9
lcvx_N_100_i_3,4614,optimal,0.000491502,0.004729839,0.005221340999999999,-3.3533248830569304,9
lcvx_N_100_i_4,4614,optimal,0.000494502,0.004226138,0.00472064,-3.3533265285249634,8
lcvx_N_100_i_5,4614,optimal,0.000486722,0.00466567,0.005152392,-3.353320260264442,9
lcvx_N_100_i_6,4614,optimal,0.000495182,0.005011511,0.005506693,-3.3533233300444585,9
lcvx_N_100_i_7,4614,optimal_inaccurate,,,,,
lcvx_N_100_i_8,4614,optimal,0.000494202,0.004252658,0.00474686,-3.353325445748063,8
lcvx_N_100_i_9,4614,optimal,0.000537683,0.00478667,0.0053243529999999996,-3.3533258213658623,8
lcvx_N_100_i_10,4614,optimal,0.000486072,0.005040271,0.0055263429999999995,-3.353325178527531,9
lcvx_N_100_i_11,4614,optimal,0.000534902,0.005630353,0.0061652550000000006,-3.353325009415999,9
lcvx_N_100_i_12,4614,optimal,0.000538153,0.005323363,0.005861516000000001,-3.3533235510906234,9
lcvx_N_100_i_13,4614,optimal_inaccurate,,,,,
lcvx_N_100_i_14,4614,optimal,0.000500252,0.004928521,0.005428773,-3.3533199493064494,9
lcvx_N_100_i_15,4614,optimal,0.000483262,0.004885331,0.005368593,-3.3533225722720794,9
lcvx_N_100_i_16,4614,optimal_inaccurate,,,,,
lcvx_N_100_i_17,4614,optimal,0.000530332,0.005250552,0.005780884,-3.3533203847747286,9
lcvx_N_100_i_18,4614,optimal_inaccurate,,,,,
lcvx_N_100_i_19,4614,optimal,0.000496412,0.005024421,0.005520833,-3.3533204881508674,9
lcvx_N_125_i_0,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_1,5764,optimal,0.000605503,0.006355208,0.0069607110000000005,-3.3537295311622852,9
lcvx_N_125_i_2,5764,optimal,0.000608712,0.006081956,0.006690668,-3.353727372099704,9
lcvx_N_125_i_3,5764,optimal,0.000651773,0.00702415,0.007675922999999999,-3.353729649827617,9
lcvx_N_125_i_4,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_5,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_6,5764,optimal,0.000588383,0.006145987,0.00673437,-3.3537262888976573,9
lcvx_N_125_i_7,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_8,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_9,5764,optimal,0.000650333,0.006626089,0.007276422,-3.353731589904856,9
lcvx_N_125_i_10,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_11,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_12,5764,optimal,0.000605653,0.005939506,0.006545159,-3.353733482320864,9
lcvx_N_125_i_13,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_14,5764,optimal,0.000655543,0.007092491,0.007748034,-3.3537284508390797,9
lcvx_N_125_i_15,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_16,5764,optimal,0.000612353,0.006412558,0.007024911,-3.3537271328294307,9
lcvx_N_125_i_17,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_18,5764,optimal_inaccurate,,,,,
lcvx_N_125_i_19,5764,optimal,0.000607933,0.005897086,0.006505019,-3.3537268155532285,9
lcvx_N_150_i_0,6914,optimal_inaccurate,,,,,
lcvx_N_150_i_1,6914,optimal_inaccurate,,,,,
lcvx_N_150_i_2,6914,optimal,0.000777183,0.008048745,0.008825928,-3.3540051299874194,9
lcvx_N_150_i_3,6914,optimal,0.000782034,0.007966795,0.008748829,-3.3540031709394187,9
lcvx_N_150_i_4,6914,optimal,0.000718943,0.007166901,0.007885844,-3.3540042732080164,9
lcvx_N_150_i_5,6914,optimal_inaccurate,,,,,
lcvx_N_150_i_6,6914,optimal_inaccurate,,,,,
lcvx_N_150_i_7,6914,optimal,0.000701913,0.007556973,0.008258886,-3.3540000438752897,9
lcvx_N_150_i_8,6914,optimal,0.000717033,0.007529053,0.008246086,-3.3539991568664442,9
lcvx_N_150_i_9,6914,optimal_inaccurate,,,,,
lcvx_N_150_i_10,6914,optimal,0.000783373,0.007929685,0.008713058000000001,-3.3539994622035088,9
lcvx_N_150_i_11,6914,optimal,0.000719303,0.007428873,0.008148176,-3.3540018499620556,9
lcvx_N_150_i_12,6914,optimal,0.000777314,0.008357307,0.009134620999999999,-3.3540033416351354,9
lcvx_N_150_i_13,6914,optimal_inaccurate,,,,,
lcvx_N_150_i_14,6914,optimal,0.000783494,0.008376277,0.009159771,-3.354004490152885,9
lcvx_N_150_i_15,6914,optimal,0.000784893,0.008342447,0.00912734,-3.3540022091977217,9
lcvx_N_150_i_16,6914,optimal,0.000722493,0.007424693,0.008147185999999999,-3.3539976528283546,9
lcvx_N_150_i_17,6914,optimal,0.000728993,0.007765464,0.008494457,-3.3539989670630623,9
lcvx_N_150_i_18,6914,optimal,0.000704983,0.007540473,0.008245456,-3.353999961110688,9
lcvx_N_150_i_19,6914,optimal,0.000783514,0.008419127,0.009202641000000001,-3.354000184870844,9
lcvx_N_200_i_0,9214,optimal,0.000966435,0.009670963,0.010637398,-3.35433977748136,9
lcvx_N_200_i_1,9214,optimal,0.000964895,0.009647703,0.010612598,-3.3543387418246917,9
lcvx_N_200_i_2,9214,optimal,0.000969675,0.009428109,0.010397784,-3.3543420372678057,9
lcvx_N_200_i_3,9214,optimal,0.000953905,0.009332569,0.010286474,-3.3543363009108016,9
lcvx_N_200_i_4,9214,optimal_inaccurate,,,,,
lcvx_N_200_i_5,9214,optimal,0.000966455,0.009516059,0.010482514,-3.354336847506858,9
lcvx_N_200_i_6,9214,optimal,0.000952065,0.009457169,0.010409234,-3.354338352263895,9
lcvx_N_200_i_7,9214,optimal_inaccurate,,,,,
lcvx_N_200_i_8,9214,optimal,0.001041335,0.010524963,0.011566298,-3.354339082679651,9
lcvx_N_200_i_9,9214,optimal,0.001031015,0.011042996,0.012074010999999999,-3.3543390761675926,9
lcvx_N_200_i_10,9214,optimal_inaccurate,,,,,
lcvx_N_200_i_11,9214,optimal,0.001039965,0.010620683,0.011660648000000001,-3.354341349121495,9
lcvx_N_200_i_12,9214,optimal,0.000962525,0.01004666,0.011009185000000001,-3.3543401944034286,9
lcvx_N_200_i_13,9214,optimal,0.001051995,0.010667062,0.011719057,-3.3543391844204806,9
lcvx_N_200_i_14,9214,optimal_inaccurate,,,,,
lcvx_N_200_i_15,9214,optimal,0.001033036,0.010453831,0.011486867,-3.354334944561351,9
lcvx_N_200_i_16,9214,optimal,0.001034965,0.010958454,0.011993419,-3.354336180300523,9
lcvx_N_200_i_17,9214,optimal,0.001043565,0.010449051,0.011492616,-3.3543356136998477,9
lcvx_N_200_i_18,9214,optimal,0.001038825,0.010872882,0.011911707,-3.354342097046983,9
lcvx_N_200_i_19,9214,optimal_inaccurate,,,,,
lcvx_N_250_i_0,11514,optimal_inaccurate,,,,,
lcvx_N_250_i_1,11514,optimal_inaccurate,,,,,
lcvx_N_250_i_2,11514,optimal,0.001209395,0.012032267,0.013241662,-3.3545367539953928,9
lcvx_N_250_i_3,11514,optimal_inaccurate,,,,,
lcvx_N_250_i_4,11514,optimal,0.001208546,0.012170917,0.013379463,-3.3545413715042076,9
lcvx_N_250_i_5,11514,optimal,0.001208405,0.01285818,0.014066585,-3.354535195361999,9
lcvx_N_250_i_6,11514,optimal,0.001288356,0.013617964,0.01490632,-3.3545442331359396,9
lcvx_N_250_i_7,11514,optimal,0.001185275,0.012151567,0.013336842,-3.3545400011813458,9
lcvx_N_250_i_8,11514,optimal_inaccurate,,,,,
lcvx_N_250_i_9,11514,optimal_inaccurate,,,,,
lcvx_N_250_i_10,11514,optimal,0.001290146,0.013380833,0.014670979,-3.3545358624933215,9
lcvx_N_250_i_11,11514,optimal,0.001208205,0.012268217,0.013476422,-3.3545377687568396,9
lcvx_N_250_i_12,11514,optimal_inaccurate,,,,,
lcvx_N_250_i_13,11514,optimal,0.001184595,0.012103266,0.013287861,-3.354539028507598,9
lcvx_N_250_i_14,11514,optimal,0.001195675,0.012300847,0.013496522,-3.354540546913971,9
lcvx_N_250_i_15,11514,optimal,0.001193645,0.012409147,0.013602792,-3.3545402047408537,9
lcvx_N_250_i_16,11514,optimal,0.001196755,0.012932489,0.014129244000000001,-3.35454088804024,9
lcvx_N_250_i_17,11514,optimal,0.001215666,0.012432897,0.013648563,-3.3545427896722178,9
lcvx_N_250_i_18,11514,optimal_inaccurate,,,,,
lcvx_N_250_i_19,11514,optimal,0.001208075,0.012676958,0.013885033,-3.3545359347097334,9
lcvx_N_300_i_0,13814,optimal_inaccurate,,,,,
lcvx_N_300_i_1,13814,optimal,0.001554527,0.016280214,0.017834741,-3.354671715028032,9
lcvx_N_300_i_2,13814,optimal_inaccurate,,,,,
lcvx_N_300_i_3,13814,optimal,0.001455617,0.016271064,0.017726680999999998,-3.3546740054342967,10
lcvx_N_300_i_4,13814,optimal_inaccurate,,,,,
lcvx_N_300_i_5,13814,optimal,0.001470546,0.016790887,0.018261433,-3.354666272474129,10
lcvx_N_300_i_6,13814,optimal,0.001459017,0.014876748,0.016335765000000002,-3.3546770296785815,9
lcvx_N_300_i_7,13814,optimal_inaccurate,,,,,
lcvx_N_300_i_8,13814,optimal,0.001466337,0.014438166,0.015904503,-3.3546741426151945,9
lcvx_N_300_i_9,13814,optimal,0.001443667,0.014634617,0.016078284,-3.354672259518555,9
lcvx_N_300_i_10,13814,optimal,0.001547157,0.017300829,0.018847986,-3.3546716338774405,10
lcvx_N_300_i_11,13814,optimal,0.001535377,0.014436315,0.015971692,-3.354677047532948,9
lcvx_N_300_i_12,13814,optimal,0.001437596,0.014699316,0.016136912,-3.3546730035643293,9
lcvx_N_300_i_13,13814,optimal,0.001416246,0.014706067,0.016122313,-3.3546787047662567,9
lcvx_N_300_i_14,13814,optimal,0.001472637,0.014978219,0.016450856,-3.3546663010868767,9
lcvx_N_300_i_15,13814,optimal,0.001479026,0.014673957,0.016152983,-3.354674183959782,9
lcvx_N_300_i_16,13814,optimal_inaccurate,,,,,
lcvx_N_300_i_17,13814,optimal_inaccurate,,,,,
lcvx_N_300_i_18,13814,optimal_inaccurate,,,,,
lcvx_N_300_i_19,13814,optimal,0.00147566,0.01439768,0.01587334,-3.3546773177240063,9
lcvx_N_350_i_0,16114,optimal,0.001824951,0.018617384,0.020442335,-3.354772881138948,9
lcvx_N_350_i_1,16114,optimal,0.00167984,0.018794903,0.020474743,-3.354772746187363,10
lcvx_N_350_i_2,16114,optimal,0.00181097,0.018327288,0.020138258,-3.3547674553900415,9
lcvx_N_350_i_3,16114,optimal,0.00170737,0.017805814,0.019513184,-3.3547706681042095,9
lcvx_N_350_i_4,16114,optimal,0.001683329,0.017357939,0.019041268,-3.354772889585938,9
lcvx_N_350_i_5,16114,optimal,0.00174667,0.017354177,0.019100846999999997,-3.3547680677820764,9
lcvx_N_350_i_6,16114,optimal,0.001690639,0.016795143,0.018485782,-3.354772460236213,9
lcvx_N_350_i_7,16114,optimal,0.001686619,0.017104044,0.018790663,-3.354765761561546,9
lcvx_N_350_i_8,16114,optimal_inaccurate,,,,,
lcvx_N_350_i_9,16114,optimal,0.001803749,0.0185835,0.020387249,-3.354767988971837,9
lcvx_N_350_i_10,16114,optimal,0.00175769,0.01676597,0.01852366,-3.354773827308714,9
lcvx_N_350_i_11,16114,optimal,0.00181299,0.021019001,0.022831991,-3.3547674267686305,10
lcvx_N_350_i_12,16114,optimal,0.001709959,0.018928869,0.020638828,-3.3547698807294184,10
lcvx_N_350_i_13,16114,optimal,0.001711349,0.018775707,0.020487056,-3.3547666378450067,10
lcvx_N_350_i_14,16114,optimal_inaccurate,,,,,
lcvx_N_350_i_15,16114,optimal,0.001685259,0.016776026,0.018461285,-3.3547665675574048,9
lcvx_N_350_i_16,16114,optimal,0.00176988,0.017733501,0.019503381,-3.354770049469647,9
lcvx_N_350_i_17,16114,optimal,0.001693278,0.017497259,0.019190537,-3.354774559629708,9
lcvx_N_350_i_18,16114,optimal_inaccurate,,,,,
lcvx_N_350_i_19,16114,optimal_inaccurate,,,,,
