,size,status,setup_time,solve_time,run_time,obj,iters
lcvx_N_15_i_0,644,optimal,0.0,0.001648490782827139,0.001648490782827139,-3.3410596002362163,7
lcvx_N_15_i_1,644,optimal,0.0,0.0016336510889232159,0.0016336510889232159,-3.341060495400679,7
lcvx_N_15_i_2,644,optimal,0.0,0.0016191820614039898,0.0016191820614039898,-3.341054208547916,7
lcvx_N_15_i_3,644,optimal,0.0,0.0019890409894287586,0.0019890409894287586,-3.3410613922935943,8
lcvx_N_15_i_4,644,optimal,0.0,0.0016010310500860214,0.0016010310500860214,-3.341056116459611,7
lcvx_N_15_i_5,644,optimal,0.0,0.0016349409706890583,0.0016349409706890583,-3.341057423564603,7
lcvx_N_15_i_6,644,optimal,0.0,0.0016276310198009014,0.0016276310198009014,-3.341061956021417,7
lcvx_N_15_i_7,644,optimal,0.0,0.0015986908692866564,0.0015986908692866564,-3.3410573500347804,7
lcvx_N_15_i_8,644,optimal,0.0,0.0015915010590106249,0.0015915010590106249,-3.3410597334025494,7
lcvx_N_15_i_9,644,optimal,0.0,0.0019868609961122274,0.0019868609961122274,-3.3410593362106327,8
lcvx_N_15_i_10,644,optimal,0.0,0.0016299209091812372,0.0016299209091812372,-3.3410567014052135,7
lcvx_N_15_i_11,644,optimal,0.0,0.001600230811163783,0.001600230811163783,-3.3410616808279956,7
lcvx_N_15_i_12,644,optimal,0.0,0.001978970831260085,0.001978970831260085,-3.341058117563919,8
lcvx_N_15_i_13,644,optimal,0.0,0.0016043409705162048,0.0016043409705162048,-3.34106154172381,7
lcvx_N_15_i_14,644,optimal,0.0,0.0016177408397197723,0.0016177408397197723,-3.3410609530540007,7
lcvx_N_15_i_15,644,optimal,0.0,0.0016665710136294365,0.0016665710136294365,-3.341059769627565,7
lcvx_N_15_i_16,644,optimal,0.0,0.0015793011989444494,0.0015793011989444494,-3.341061605666307,7
lcvx_N_15_i_17,644,optimal,0.0,0.0016218710225075483,0.0016218710225075483,-3.3410588227656657,7
lcvx_N_15_i_18,644,optimal,0.0,0.0016353810206055641,0.0016353810206055641,-3.34106012929429,7
lcvx_N_15_i_19,644,optimal,0.0,0.0019914719741791487,0.0019914719741791487,-3.341057891960713,8
lcvx_N_50_i_0,2114,optimal,0.0,0.006693314062431455,0.006693314062431455,-3.351264486265247,10
lcvx_N_50_i_1,2114,optimal,0.0,0.007534255040809512,0.007534255040809512,-3.351262033134189,11
lcvx_N_50_i_2,2114,optimal,0.0,0.006691604154184461,0.006691604154184461,-3.351261877479034,10
lcvx_N_50_i_3,2114,optimal,0.0,0.008689986076205969,0.008689986076205969,-3.351261574987947,13
lcvx_N_50_i_4,2114,optimal,0.0,0.006665503839030862,0.006665503839030862,-3.3512628391254715,10
lcvx_N_50_i_5,2114,optimal,0.0,0.007743204943835735,0.007743204943835735,-3.351266051936942,11
lcvx_N_50_i_6,2114,optimal,0.0,0.007739044958725572,0.007739044958725572,-3.3512617452154037,11
lcvx_N_50_i_7,2114,optimal,0.0,0.006828284123912454,0.006828284123912454,-3.3512649865535873,10
