,size,status,setup_time,solve_time,run_time,obj,iters
lcvx_N_15_i_0,704,QOCO_SOLVED,0.00010242,0.000603162,0.000705582,-3.341060206468318,10
lcvx_N_15_i_1,704,QOCO_SOLVED,0.00010285,0.000596073,0.0006989230000000001,-3.341061038375574,10
lcvx_N_15_i_2,704,QOCO_SOLVED,9.6961e-05,0.000517282,0.000614243,-3.3410555870535275,10
lcvx_N_15_i_3,704,QOCO_SOLVED,0.000100871,0.000532622,0.000633493,-3.3410613801956055,10
lcvx_N_15_i_4,704,QOCO_SOLVED,0.000108381,0.000528072,0.0006364529999999999,-3.3410573227875586,10
lcvx_N_15_i_5,704,QOCO_SOLVED,0.000108751,0.000598142,0.000706893,-3.3410583743721682,10
lcvx_N_15_i_6,704,QOCO_SOLVED,0.000106591,0.000604873,0.000711464,-3.341062279611902,10
lcvx_N_15_i_7,704,QOCO_SOLVED,0.000101961,0.000585163,0.000687124,-3.3410579003899468,10
lcvx_N_15_i_8,704,QOCO_SOLVED,0.00010501,0.000588163,0.000693173,-3.341060285065952,10
lcvx_N_15_i_9,704,QOCO_SOLVED,0.000103681,0.000580362,0.000684043,-3.341059342252683,10
lcvx_N_15_i_10,704,QOCO_SOLVED,0.00010232,0.000537742,0.000640062,-3.341057996719628,10
lcvx_N_15_i_11,704,QOCO_SOLVED,0.000103301,0.000518082,0.000621383,-3.341062187197053,10
lcvx_N_15_i_12,704,QOCO_SOLVED,0.00010686,0.000602973,0.000709833,-3.3410580989437864,10
lcvx_N_15_i_13,704,QOCO_SOLVED,0.000103271,0.000590363,0.000693634,-3.3410619424252648,10
lcvx_N_15_i_14,704,QOCO_SOLVED,0.000107521,0.000583563,0.000691084,-3.3410612486397713,10
lcvx_N_15_i_15,704,QOCO_SOLVED,0.000105451,0.000602942,0.000708393,-3.341060662067348,10
lcvx_N_15_i_16,704,QOCO_SOLVED,0.00010684,0.000585743,0.000692583,-3.341061998715497,10
lcvx_N_15_i_17,704,QOCO_SOLVED,0.000103121,0.000607782,0.0007109029999999999,-3.341059337985484,10
lcvx_N_15_i_18,704,QOCO_SOLVED,0.00010348,0.000604322,0.000707802,-3.3410607270374655,10
