,size,status,setup_time,solve_time,run_time,obj,iters
lcvx_N_15_i_0,644,optimal,,0.000228651,0.000228651,-3.341060176106186,9
lcvx_N_15_i_1,644,optimal,,0.000235362,0.000235362,-3.3410609946561665,9
lcvx_N_15_i_2,644,optimal,,0.000250771,0.000250771,-3.3410556062872288,10
lcvx_N_15_i_3,644,optimal,,0.000263611,0.000263611,-3.341061409733473,10
lcvx_N_15_i_4,644,optimal,,0.000228751,0.000228751,-3.341057273078169,9
lcvx_N_15_i_5,644,optimal,,0.000232722,0.000232722,-3.341058337719208,9
lcvx_N_15_i_6,644,optimal,,0.000248062,0.000248062,-3.3410622918325927,10
lcvx_N_15_i_7,644,optimal,,0.000253972,0.000253972,-3.341057938053345,10
lcvx_N_15_i_8,644,optimal,,0.000232231,0.000232231,-3.3410602381343306,9
lcvx_N_15_i_9,644,optimal,,0.000254641,0.000254641,-3.3410593617385156,10
lcvx_N_15_i_10,644,optimal,,0.000229562,0.000229562,-3.3410579471188444,9
lcvx_N_15_i_11,644,optimal,,0.000228621,0.000228621,-3.341062164842611,9
lcvx_N_15_i_12,644,optimal,,0.000255321,0.000255321,-3.3410581669442365,10
lcvx_N_15_i_13,644,optimal,,0.000227731,0.000227731,-3.341061926073747,9
lcvx_N_15_i_14,644,optimal,,0.000249541,0.000249541,-3.3410612821083556,10
lcvx_N_15_i_15,644,optimal,,0.000257071,0.000257071,-3.3410607003677275,10
lcvx_N_15_i_16,644,optimal,,0.000230012,0.000230012,-3.3410619826142796,9
lcvx_N_15_i_17,644,optimal,,0.000253512,0.000253512,-3.341059356912223,10
lcvx_N_15_i_18,644,optimal,,0.000227342,0.000227342,-3.341060682411329,9
lcvx_N_15_i_19,644,optimal,,0.000251592,0.000251592,-3.34105791780711,10
lcvx_N_50_i_0,2114,optimal,,0.000912065,0.000912065,-3.3512653421706458,10
lcvx_N_50_i_1,2114,optimal,,0.000911685,0.000911685,-3.3512621421355346,10
lcvx_N_50_i_2,2114,optimal,,0.000918265,0.000918265,-3.351262492767995,10
lcvx_N_50_i_3,2114,optimal,,0.000905685,0.000905685,-3.3512612953994774,10
lcvx_N_50_i_4,2114,optimal,,0.000920165,0.000920165,-3.3512645109103367,10
lcvx_N_50_i_5,2114,optimal,,0.000911935,0.000911935,-3.3512660716547997,10
lcvx_N_50_i_6,2114,optimal,,0.000905555,0.000905555,-3.3512617857422113,10
lcvx_N_50_i_7,2114,optimal,,0.000910655,0.000910655,-3.3512652507300187,10
lcvx_N_50_i_8,2114,optimal,,0.000901495,0.000901495,-3.3512577250121276,10
lcvx_N_50_i_9,2114,optimal,,0.000930215,0.000930215,-3.351259196649638,10
lcvx_N_50_i_10,2114,optimal,,0.000922565,0.000922565,-3.3512580198208806,10
lcvx_N_50_i_11,2114,optimal,,0.000903526,0.000903526,-3.351264097712288,10
lcvx_N_50_i_12,2114,optimal,,0.000917686,0.000917686,-3.351262581980164,10
lcvx_N_50_i_13,2114,optimal,,0.000908685,0.000908685,-3.351265671789928,10
lcvx_N_50_i_14,2114,optimal,,0.000907595,0.000907595,-3.3512579079360143,10
lcvx_N_50_i_15,2114,optimal,,0.000902836,0.000902836,-3.3512620910557707,10
lcvx_N_50_i_16,2114,optimal,,0.000891576,0.000891576,-3.3512623607175716,10
lcvx_N_50_i_17,2114,optimal,,0.000905025,0.000905025,-3.3512625055454137,10
lcvx_N_50_i_18,2114,optimal,,0.000901376,0.000901376,-3.3512655619300236,10
lcvx_N_50_i_19,2114,optimal,,0.000908506,0.000908506,-3.3512587234797295,10
lcvx_N_75_i_0,3164,optimal,,0.001411868,0.001411868,-3.352637918937873,10
lcvx_N_75_i_1,3164,optimal,,0.001422608,0.001422608,-3.352640178136881,10
lcvx_N_75_i_2,3164,optimal,,0.001448249,0.001448249,-3.35264335668517,10
lcvx_N_75_i_3,3164,optimal,,0.001408488,0.001408488,-3.352643440436312,10
lcvx_N_75_i_4,3164,optimal,,0.001454138,0.001454138,-3.3526407472520363,10
lcvx_N_75_i_5,3164,optimal,,0.001427159,0.001427159,-3.352639955347694,10
