,size,status,setup_time,solve_time,run_time,obj,iters
LASER,9216,optimal,0.0,0.004180861,0.004180861,2409601.3609568425,10
QPCBOEI1,4743,optimal,0.0,0.005602668,0.005602668,11503914.228847357,15
HUESTIS,39968,optimal,0.0,0.020576953,0.020576953,348244639669.605,8
QBANDM,3007,optimal,0.0,0.004451753,0.004451753,16352.344367452693,20
QSC205,775,optimal,0.0,0.001759138,0.001759138,-0.005813932557745911,18
LISWET11,40002,optimal_inaccurate,,,,,
LISWET8,40002,optimal_inaccurate,,,,,
AUG2DC,60200,optimal,0.0,0.022473722,0.022473722,1808268.0655702013,0
QSEBA,6548,optimal,0.0,0.013509507,0.013509507,81481801.36773212,29
AUG2D,59800,optimal,0.0,0.020122701,0.020122701,1677511.7528967368,0
QGROW15,7365,optimal,0.0,0.010688282,0.010688282,-101693639.29239862,20
CONT-200,319196,optimal,0.0,4.349103136,4.349103136,-4.684875916830763,10
LISWET1,40002,optimal_inaccurate,,,,,
ZECEVIC2,9,optimal,0.0,4.687e-05,4.687e-05,-4.124999984682637,7
QFFFFF80,8997,optimal,0.0,0.031821913,0.031821913,873147.5159710189,25
AUG2DCQP,80400,optimal,0.0,0.142942904,0.142942904,6488034.743930639,12
QPILOTNO,16258,optimal,0.0,0.110252943,0.110252943,4728586.936592016,31
CVXQP2_M,6733,optimal,0.0,0.025308764,0.025308764,820155.4413216944,9
POWELL20,30000,infeasible,,,,,
STADAT2,15997,optimal,0.0,0.044117916,0.044117916,-32.626667831889236,44
QPCBOEI2,1623,optimal,0.0,0.002748571,0.002748571,8171962.372429825,19
PRIMAL3,22292,optimal,0.0,0.016685066,0.016685066,-0.13575581062073921,8
QSHIP08S,21178,optimal,0.0,0.03021194,0.03021194,2385728.8742958037,15
DUALC2,1645,optimal,0.0,0.000612675,0.000612675,3551.3076929780455,10
LISWET4,40002,optimal,0.0,0.059965755,0.059965755,-714.5158982818715,22
QPCSTAIR,4872,optimal,0.0,0.010009416,0.010009416,6204387.562651617,22
PRIMALC2,2076,optimal,0.0,0.00128642,0.00128642,-3551.307686040275,15
LISWET6,40002,optimal,0.0,0.052278847,0.052278847,-2162.2242914961366,17
QSHIP04L,8506,optimal,0.0,0.009721424,0.009721424,2420015.5726769594,15
QE226,3824,optimal,0.0,0.007140445,0.007140445,205.5404344695482,24
PRIMAL4,17520,optimal,0.0,0.014784543,0.014784543,-0.7460908118786596,9
QSCSD8,13844,optimal,0.0,0.011072564,0.011072564,940.7636213166422,10
QSCORPIO,1824,optimal,0.0,0.001658613,0.001658613,1880.5095494929851,11
CONT-201,290393,optimal,0.0,6.152843939,6.152843939,0.19248337263854398,10
GOULDQP2,3142,optimal,0.0,0.003116564,0.003116564,0.00018428106561769233,12
LISWET10,40002,optimal_inaccurate,,,,,
HS268,40,optimal,0.0,7.4061e-05,7.4061e-05,-14462.999757963646,10
QBORE3D,1834,optimal,0.0,0.004726516,0.004726516,3100.2033659148183,28
QSHIP12L,83825,optimal,0.0,0.221911965,0.221911965,3018876.704002434,15
QSHIP04S,5866,optimal,0.0,0.006640509,0.006640509,2424993.987575677,14
QSHARE1B,1415,optimal,0.0,0.003321155,0.003321155,720087.5802007013,28
QGFRDXPN,3889,optimal,0.0,0.007806368,0.007806368,100790597753.41927,20
CONT-050,19796,optimal,0.0,0.047453529,0.047453529,-4.563850904249416,9
MOSARQP1,8467,optimal,0.0,0.009099167,0.009099167,-952.8754406278966,10
BOYD2,517049,user_limit,,,,,
QSCAGR25,2182,optimal,0.0,0.003381085,0.003381085,201737947.63093346,19
HUES-MOD,39968,optimal,0.0,0.028851871,0.028851871,34824464.124977484,12
YAO,8007,optimal_inaccurate,,,,,
CONT-101,72693,optimal,0.0,0.492391254,0.492391254,0.19552732462034217,10
HS53,24,optimal,0.0,4.2431e-05,4.2431e-05,-1.9069767441860452,6
CVXQP1_M,7482,optimal,0.0,0.039198849,0.039198849,1087511.5713252213,10
STCQP2,48135,optimal,0.0,0.115368578,0.115368578,22327.313372306184,8
QGROW22,10930,optimal,0.0,0.020806628,0.020806628,-149628952.26995745,25
