,size,status,setup_time,solve_time,run_time,obj,iters
LASER,9216,infeasible,,,,,
QPCBOEI1,4743,infeasible,,,,,
HUESTIS,39968,infeasible,,,,,
QBANDM,3007,optimal,0.000542713,0.009299088,0.009841801,16352.34508162018,30
QSC205,775,optimal,0.000139261,0.001319719,0.00145898,-0.0058139534110202415,17
LISWET11,40002,optimal_inaccurate,,,,,
LISWET8,40002,optimal_inaccurate,,,,,
AUG2DC,60200,infeasible,,,,,
QSEBA,6548,optimal_inaccurate,,,,,
AUG2D,59800,infeasible,,,,,
QGROW15,7365,optimal,0.000715209,0.008897012,0.009612220999999999,-101693640.86024682,17
CONT-200,319196,optimal,0.049600304,8.438161868,8.487762172,-4.6848759203895325,30
LISWET1,40002,optimal_inaccurate,,,,,
ZECEVIC2,9,optimal,1.199e-05,2.365e-05,3.564e-05,-4.125000001058594,8
QFFFFF80,8997,optimal,0.004377197,0.417496692,0.421873889,873217.1615828053,45
AUG2DCQP,80400,infeasible,,,,,
QPILOTNO,16258,optimal,0.004919317,0.316119175,0.32103849199999995,4728434.699421463,39
CVXQP2_M,6733,optimal,0.047300573,10.445343536,10.492644108999999,820155.4439401497,30
POWELL20,30000,infeasible,,,,,
STADAT2,15997.0,,,,,,
QPCBOEI2,1623,infeasible,,,,,
PRIMAL3,22292,optimal,0.007380257,0.024118989,0.031499246,-0.13575582934579705,18
QSHIP08S,21178,optimal,0.011024605,1.545390273,1.556414878,2385729.474660649,27
DUALC2,1645,optimal,5.355e-05,0.000796479,0.000850029,3551.307689947448,13
LISWET4,40002,optimal_inaccurate,,,,,
QPCSTAIR,4872,infeasible,,,,,
PRIMALC2,2076,optimal,0.00028494,0.002778009,0.003062949,-3551.211192768511,30
LISWET6,40002,optimal_inaccurate,,,,,
QSHIP04L,8506,optimal,0.001566839,0.017927244,0.019494083,2420019.364891257,25
QE226,3824,optimal,0.000988309,0.02637466,0.027362969,205.54043561065265,22
PRIMAL4,17520,optimal,0.006823527,0.019197193,0.02602072,-0.746090831884131,16
QSCSD8,13844,optimal,0.002014559,0.048292382,0.050306941,940.7635740908428,15
QSCORPIO,1824,optimal,0.00028838,0.00207554,0.00236392,1880.5095469701857,13
CONT-201,290393.0,,,,,,
GOULDQP2,3142,optimal,0.004716298,0.555766455,0.560482753,0.0001842745060164666,20
LISWET10,40002,optimal_inaccurate,,,,,
HS268,40,optimal,1.69e-05,6.867e-05,8.557000000000001e-05,-14462.973769905571,15
QBORE3D,1834,optimal,0.00054089,0.006695619,0.007236509,3100.205705153521,24
QSHIP12L,83825,optimal,0.146179692,72.791931514,72.938111206,3018876.907047351,32
QSHIP04S,5866,optimal,0.000988441,0.012086106,0.013074546999999999,2424998.495555311,25
QSHARE1B,1415,optimal,0.00020832,0.004486142,0.004694462,720126.1596337677,43
QGFRDXPN,3889,optimal_inaccurate,,,,,
CONT-050,19796,optimal,0.002004171,0.100252086,0.102256257,-4.563850904181674,24
MOSARQP1,8467,optimal,0.00107232,0.03447116,0.03554348,-952.8754149149989,24
BOYD2,517049.0,,,,,,
QSCAGR25,2182,optimal,0.000280131,0.007675255,0.007955386,201769846.34866726,34
HUES-MOD,39968,infeasible,,,,,
YAO,8007,optimal_inaccurate,,,,,
CONT-101,72693,optimal_inaccurate,,,,,
HS53,24,optimal,2.674e-05,3.96e-05,6.634e-05,-1.9069767440265974,9
CVXQP1_M,7482,optimal_inaccurate,,,,,
STCQP2,48135,optimal,0.01331825,0.500555574,0.5138738239999999,22327.31404807481,25
QGROW22,10930,optimal,0.001108901,0.018463988,0.019572889,-149628953.8319071,20
HS35,11,optimal,9.15e-06,2.513e-05,3.4280000000000004e-05,-8.888888843260862,10
STCQP1,48135,optimal,0.008723362,0.309364996,0.318088358,155143.55504626542,28
STADAT1,15997.0,,,,,,
PRIMAL1,6140,optimal,0.001046781,0.008066652,0.009113433,-0.03501296448897751,17
DUAL3,6441,optimal,0.000195441,0.004641686,0.004837127,0.13575583892931292,13
