,size,status,setup_time,solve_time,run_time,obj,iters
LASER,9216,optimal,0.0,0.02421116828918457,0.02421116828918457,2409601.3455979563,21.0
QPCBOEI1,4743,optimal,0.0,0.015341043472290039,0.015341043472290039,11503914.009771109,21.0
HUESTIS,39968,optimal,0.0,0.03368687629699707,0.03368687629699707,348244638733.4519,14.0
QBANDM,3007,optimal,0.0,0.015197992324829102,0.015197992324829102,16352.342037326223,29.0
QSC205,775,optimal,0.0,0.009497880935668945,0.009497880935668945,-0.005813949917460235,30.0
LISWET11,40002,optimal,0.0,0.1511521339416504,0.1511521339416504,-2476.225892328424,40.0
LISWET8,40002,optimal,0.0,1.8301811218261719,1.8301811218261719,-1810.7931963290123,417.0
AUG2DC,60200,optimal,0.0,0.022659778594970703,0.022659778594970703,1808268.065570202,2.0
QSEBA,6548,optimal,0.0,0.02000117301940918,0.02000117301940918,81481800.35680142,27.0
AUG2D,59800,optimal,0.0,0.019701004028320312,0.019701004028320312,1677511.7528967373,2.0
QGROW15,7365,optimal,0.0,0.02355504035949707,0.02355504035949707,-101693640.46825239,20.0
CONT-200,319196,optimal,0.0,0.7531280517578125,0.7531280517578125,-4.684875920359897,12.0
LISWET1,40002,optimal,0.0,0.09510111808776855,0.09510111808776855,-2489.2875988702617,27.0
ZECEVIC2,9,optimal,0.0,0.002752065658569336,0.002752065658569336,-4.124999999901327,8.0
QFFFFF80,8997,optimal,0.0,0.06665587425231934,0.06665587425231934,873147.460528584,48.0
AUG2DCQP,80400,optimal,0.0,0.09955501556396484,0.09955501556396484,6488034.739521738,17.0
QPILOTNO,16258,optimal,0.0,0.12265491485595703,0.12265491485595703,4728586.899566768,56.0
CVXQP2_M,6733,optimal,0.0,0.06452393531799316,0.06452393531799316,820155.4311790419,15.0
POWELL20,30000,optimal,0.0,0.21773386001586914,0.21773386001586914,52089582812.500046,60.0
STADAT2,15997,optimal,0.0,0.021995067596435547,0.021995067596435547,-32.6266648680741,18.0
QPCBOEI2,1623,optimal,0.0,0.00740504264831543,0.00740504264831543,8171962.244330362,26.0
PRIMAL3,22292,optimal,0.0,0.012650012969970703,0.012650012969970703,-0.13575577489633026,17.0
QSHIP08S,21178,optimal,0.0,0.04072403907775879,0.04072403907775879,2385728.8568354677,24.0
DUALC2,1645,optimal,0.0,0.00860285758972168,0.00860285758972168,3551.3076933909583,11.0
LISWET4,40002,optimal,0.0,0.05271291732788086,0.05271291732788086,-714.5158722904905,13.0
QPCSTAIR,4872,optimal,0.0,0.02299809455871582,0.02299809455871582,6204387.476131929,23.0
PRIMALC2,2076,optimal,0.0,0.003846883773803711,0.003846883773803711,-3551.3076924596216,11.0
LISWET6,40002,optimal,0.0,0.05445289611816406,0.05445289611816406,-2162.2242246300125,13.0
QSHIP04L,8506,optimal,0.0,0.02517414093017578,0.02517414093017578,2420015.5345796538,21.0
