,size,status,setup_time,solve_time,run_time,obj,iters
LASER,9216,optimal,0.0,0.03149536601267755,0.03149536601267755,2409601.2735217125,24
QPCBOEI1,4743,optimal,0.0,0.03697319282218814,0.03697319282218814,11503905.724963639,33
HUESTIS,39968,infeasible,,,,,
QBANDM,3007,optimal,0.0,0.024513060925528407,0.024513060925528407,16352.339871132903,22
QSC205,775,optimal,0.0,0.008225080091506243,0.008225080091506243,-0.005813025631928247,15
LISWET11,40002,optimal,0.0,0.2610593119170517,0.2610593119170517,-2476.8366259340582,31
LISWET8,40002,optimal,0.0,0.9013102489989251,0.9013102489989251,-1812.0769955660746,70
AUG2DC,60200,optimal,0.0,0.4602458970621228,0.4602458970621228,1808258.1846777154,15
QSEBA,6548,optimal,0.0,0.051883636973798275,0.051883636973798275,81468917.89833774,30
AUG2D,59800,optimal,0.0,0.301370580913499,0.301370580913499,1677506.5456775269,11
QGROW15,7365,optimal,0.0,0.06941610318608582,0.06941610318608582,-101693647.09277467,28
CONT-200,319196,optimal,0.0,2.2762709509115666,2.2762709509115666,-4.683405109010953,28
LISWET1,40002,optimal,0.0,0.5549727659672499,0.5549727659672499,-2490.335641553362,52
ZECEVIC2,9,optimal,0.0,0.0010174750350415707,0.0010174750350415707,-4.124999999556657,7
QFFFFF80,8997,optimal,0.0,0.10850171698257327,0.10850171698257327,873193.3233665316,22
AUG2DCQP,80400.0,,,,,,
QPILOTNO,16258,optimal,0.0,0.15588617115281522,0.15588617115281522,4730937.951629105,27
CVXQP2_M,6733,optimal,0.0,1.0781495941337198,1.0781495941337198,820155.4476646804,17
POWELL20,30000,infeasible,,,,,
STADAT2,15997,optimal,0.0,0.04019291908480227,0.04019291908480227,-32.622818684883434,21
QPCBOEI2,1623,optimal,0.0,0.01277892291545868,0.01277892291545868,8171962.159188213,48
PRIMAL3,22292,optimal,0.0,0.041593295987695456,0.041593295987695456,-0.13575562900308646,8
QSHIP08S,21178,optimal,0.0,0.17698502610437572,0.17698502610437572,2385728.824373337,18
DUALC2,1645,optimal,0.0,0.001163105946034193,0.001163105946034193,3551.3077311583384,16
LISWET4,40002,optimal,0.0,0.1355529399588704,0.1355529399588704,-714.5159845494043,19
QPCSTAIR,4872,optimal,0.0,0.052119727013632655,0.052119727013632655,6204376.0145761045,39
PRIMALC2,2076,optimal,0.0,0.008284911047667265,0.008284911047667265,-3551.307541341913,16
LISWET6,40002,optimal,0.0,0.14808420301415026,0.14808420301415026,-2162.223911265994,20
QSHIP04L,8506,optimal,0.0,0.06893822108395398,0.06893822108395398,2420022.813149039,28
QE226,3824,optimal,0.0,0.01492441282607615,0.01492441282607615,205.5404662362867,19
PRIMAL4,17520,optimal,0.0,0.04454966099001467,0.04454966099001467,-0.7460905445743967,11
QSCSD8,13844,optimal,0.0,0.06593226711265743,0.06593226711265743,940.7635661785539,12
QSCORPIO,1824,optimal,0.0,0.03019279008731246,0.03019279008731246,1880.5093273467276,15
CONT-201,290393.0,,,,,,
GOULDQP2,3142,optimal,0.0,0.05236645904369652,0.05236645904369652,0.00018436101380214757,10
LISWET10,40002,optimal,0.0,0.14301441796123981,0.14301441796123981,-2500.942484974021,20
HS268,40,optimal,0.0,0.0005700830370187759,0.0005700830370187759,-14462.999573748086,15
QBORE3D,1834,optimal,0.0,0.011976019013673067,0.011976019013673067,3100.2008021526144,20
QSHIP12L,83825,optimal,0.0,4.086851307889447,4.086851307889447,3018876.476397933,39
QSHIP04S,5866,optimal,0.0,0.04390318691730499,0.04390318691730499,2424993.630344135,21
QSHARE1B,1415,optimal,0.0,0.022469701012596488,0.022469701012596488,720078.4250457824,31
QGFRDXPN,3889,optimal,0.0,0.08180178399197757,0.08180178399197757,102925284936.95447,31
