,size,status,setup_time,solve_time,run_time,obj,iters
LASER,9216,QOCO_SOLVED,0.000575774,0.002372354,0.0029481280000000004,2409601.417855628,10
QPCBOEI1,4743,QOCO_SOLVED,0.000547494,0.005024181,0.005571675,11503914.312797986,21
HUESTIS,39968,QOCO_SOLVED,0.001987743,0.010477965,0.012465708,348244655650.3363,7
QBANDM,3007,QOCO_SOLVED,0.000302422,0.002523106,0.002825528,16352.342463080584,21
QSC205,775,QOCO_SOLVED,0.000107611,0.000745415,0.000853026,-0.005813930752730878,15
LISWET11,40002,QOCO_NUMERICAL_ERROR,,,,,
LISWET8,40002,QOCO_NUMERICAL_ERROR,,,,,
AUG2DC,60200,QOCO_SOLVED,0.005848937,0.007618058,0.013466994999999999,1808268.0652013505,0
QSEBA,6548,QOCO_SOLVED,0.000550074,0.005669745,0.0062198190000000006,81481800.72467016,30
AUG2D,59800,QOCO_SOLVED,0.004139445,0.005438904,0.009578349,1677511.7525812187,0
QGROW15,7365,QOCO_SOLVED,0.000444119,0.004841126,0.005285245,-101693637.68376301,18
CONT-200,319196,QOCO_SOLVED,0.031433513,3.055116617,3.08655013,-4.6848759203494845,13
LISWET1,40002,QOCO_NUMERICAL_ERROR,,,,,
ZECEVIC2,9,QOCO_SOLVED,1.291e-05,1.238e-05,2.529e-05,-4.124999981335271,6
QFFFFF80,8997,QOCO_SOLVED,0.00096824,0.068888787,0.069857027,873147.4850372145,93
AUG2DCQP,80400,QOCO_SOLVED,0.005243667,0.077066472,0.08231013899999999,6488034.744901698,11
QPILOTNO,16258,QOCO_SOLVED,0.001902458,0.076182035,0.07808449299999999,4728371.118962323,38
CVXQP2_M,6733,QOCO_SOLVED,0.00071293,0.027186294,0.027899224,820155.4287374949,13
POWELL20,30000,QOCO_SOLVED,0.001409059,0.051955016,0.053364075,52089559753.175575,38
STADAT2,15997,QOCO_SOLVED,0.000588619,0.008323387,0.008912006,-32.626664817114005,17
QPCBOEI2,1623,QOCO_SOLVED,0.00015853,0.002204049,0.002362579,7462677.029289859,40
PRIMAL3,22292,QOCO_SOLVED,0.004795248,0.007782046,0.012577294,-0.13575579232803733,11
QSHIP08S,21178,QOCO_SOLVED,0.001405999,0.018455802,0.019861801000000002,2385728.8631714964,14
DUALC2,1645,QOCO_SOLVED,3.461e-05,0.00049883,0.00053344,3551.3076928111946,18
LISWET4,40002,QOCO_SOLVED,0.001491089,0.013471265,0.014962353999999999,-714.5158890874985,10
QPCSTAIR,4872,QOCO_SOLVED,0.00048263,0.007573797,0.008056427,6204387.521936781,25
PRIMALC2,2076,QOCO_SOLVED,4.255e-05,0.00115608,0.00119863,-3551.307491957965,24
LISWET6,40002,QOCO_SOLVED,0.002153209,0.015111324,0.017264533000000002,-2162.2242848399046,9
