,status,setup_time,solve_time,run_time,obj
QGROW22,Solved,,0.026600151,0.026600151,-149628952.26995745
QSCFXM1,Solved,,0.011260145,0.011260145,16882691.806796152
AUG3D,Solved,,0.004310482,0.004310482,-782.4322742074714
QBORE3D,Solved,,0.006308821,0.006308821,3100.2033659148183
QGROW15,Solved,,0.015972237,0.015972237,-101693639.29239857
DUALC2,Solved,,0.000838141,0.000838141,3551.307692978044
DUAL3,Solved,,0.004666219,0.004666219,0.13575584440393818
ZECEVIC2,Solved,,4.52e-05,4.52e-05,-4.124999984682637
QSHIP08S,Solved,,0.040374751,0.040374751,2385728.874295799
QSHIP04L,Solved,,0.012649211,0.012649211,2420015.572676956
QSHIP04S,Solved,,0.013743803,0.013743803,2424993.9875756796
STADAT2,Solved,,0.060433613,0.060433613,-32.626667831889236
QSCRS8,Solved,,0.018918098,0.018918098,904.5636237361807
HS51,Solved,,2.8443e-05,2.8443e-05,-5.999999999999996
AUG2DQP,Solved,,0.230210159,0.230210159,6227112.065763209
QSHARE2B,Solved,,0.001141162,0.001141162,11703.692227797097
QSC205,Solved,,0.001850917,0.001850917,-0.0058139325577459145
STADAT3,Solved,,0.160751064,0.160751064,-35.77945324262709
QSHELL,Solved,,0.169373156,0.169373156,-5.821192363842336e-08
DPKLO1,Solved,,0.000355479,0.000355479,0.37009621711426494
MOSARQP1,Solved,,0.012943224,0.012943224,-952.8754406278969
KSIP,Solved,,0.011165007,0.011165007,0.5757979412401402
HS52,Solved,,2.87e-05,2.87e-05,-0.673352435530087
STADAT1,Solved,,0.018020001,0.018020001,-28526864.04455752
DUALC1,Solved,,0.001023037,0.001023037,6155.250830436563
QBANDM,Solved,,0.006924685,0.006924685,16352.360719421271
QE226,Solved,,0.00941482,0.00941482,205.54043446954825
QFORPLAN,Solved,,0.010411487,0.010411487,4722458868.681406
QRECIPE,Solved,,0.001569955,0.001569955,-266.61599099036516
HS21,Solved,,4.4864e-05,4.4864e-05,0.04000002072522467
CVXQP1_S,Solved,,0.000875467,0.000875467,11590.718231248024
LISWET2,Solved,,0.061258366,0.061258366,-1666.991897701381
LISWET6,Solved,,0.060156516,0.060156516,-2162.2242914961025
QSCAGR7,Solved,,0.001286413,0.001286413,26865949.73446662
LISWET11,AlmostSolved,,0.605609357,0.605609357,-2489.22268254424
LASER,Solved,,0.00588981,0.00588981,2409601.3609568435
UBH1,Solved,,0.122066514,0.122066514,1.1163711392264106
QSCFXM3,Solved,,0.043169316,0.043169316,30816355.636112604
CVXQP1_L,Solved,,24.730644349,24.730644349,108704802.43867072
CONT-101,Solved,,0.70208964,0.70208964,0.19552732462034284
QPCBOEI1,Solved,,0.009353237,0.009353237,11503914.056110974
QETAMACR,Solved,,0.064319673,0.064319673,86760.37197603524
DUAL1,Solved,,0.002937536,0.002937536,0.03501296883322865
QISRAEL,Solved,,0.005988096,0.005988096,25347838.17200656
HS35MOD,Solved,,5.6789e-05,5.6789e-05,-8.749999932180591
QSEBA,Solved,,0.020725662,0.020725662,81481801.36773214
PRIMALC8,Solved,,0.0045678,0.0045678,-18309.429646980177
QPCBLEND,Solved,,0.001012263,0.001012263,-0.007842512115297266
QBEACONF,AlmostSolved,,0.005408308,0.005408308,164712.83392065138
QPILOTNO,Solved,,0.146022823,0.146022823,4728586.936592016
TAME,Solved,,3.7911e-05,3.7911e-05,0.0
QFFFFF80,Solved,,0.044529139,0.044529139,873147.5159710192
QSCSD6,Solved,,0.008742252,0.008742252,50.808213685375456
S268,Solved,,6.747e-05,6.747e-05,-14462.999757963631
LISWET9,AlmostSolved,,0.572258898,0.572258898,-1977.3592638248442
HS268,Solved,,6.9693e-05,6.9693e-05,-14462.999757963631
HS76,Solved,,4.3092e-05,4.3092e-05,-4.681818173865548
POWELL20,PrimalInfeasible,,0.085016046,0.085016046,
QSCSD8,Solved,,0.014351267,0.014351267,940.7636213166437
STCQP2,Solved,,0.139163654,0.139163654,22327.313372304627
QSIERRA,Solved,,0.034294168,0.034294168,23750458.344538327
HUESTIS,Solved,,0.027718041,0.027718041,348244639669.60315
AUG3DC,Solved,,0.003228699,0.003228699,-1165.237561311021
PRIMALC5,Solved,,0.001943112,0.001943112,-427.23231981352313
QSHIP12L,Solved,,0.267188328,0.267188328,3018876.704002435
QAFIRO,Solved,,0.000231649,0.000231649,-1.590781757741434
QSHIP08L,Solved,,0.171651095,0.171651095,2376040.671832079
EXDATA,Solved,,11.010330763,11.010330763,-141.843431163407
QSTANDAT,Solved,,0.010515805,0.010515805,7.492319761511434e-08
CVXQP2_L,Solved,,12.513064134,12.513064134,81842461.1980865
CONT-100,Solved,,0.552816867,0.552816867,-4.6443978686335905
QSCFXM2,Solved,,0.027267293,0.027267293,27776162.92680031
QSHIP12S,Solved,,0.044491061,0.044491061,3056962.2782944655
QPCBOEI2,Solved,,0.004087626,0.004087626,8171962.372429828
AUG2D,Solved,,0.022595405,0.022595405,1677511.752896748
HS53,Solved,,5.957e-05,5.957e-05,-1.9069767441860455
PRIMAL3,Solved,,0.023209752,0.023209752,-0.13575581062073921
HS35,Solved,,6.8401e-05,6.8401e-05,-8.88888888171404
PRIMAL4,Solved,,0.019194754,0.019194754,-0.7460908118786597
QSHARE1B,Solved,,0.003758728,0.003758728,720087.5802007013
CVXQP3_S,Solved,,0.001291229,0.001291229,11943.43234356291
GENHS28,Solved,,3.4174e-05,3.4174e-05,0.9271736937663906
AUG2DC,Solved,,0.020601482,0.020601482,1808268.0655701954
HUES-MOD,Solved,,0.041412921,0.041412921,34824464.124977514
QSCSD1,Solved,,0.003731444,0.003731444,8.666666632606573
LISWET8,AlmostSolved,,0.578490553,0.578490553,-2470.0060211404075
YAO,AlmostSolved,,0.032720299,0.032720299,-151.54053487777696
CVXQP3_M,Solved,,0.075367696,0.075367696,1362828.7479921652
Q25FV47,Solved,,0.246513766,0.246513766,13744448.382863559
PRIMAL2,Solved,,0.00756196,0.00756196,-0.03373367401364855
GOULDQP3,Solved,,0.003048498,0.003048498,-29647.837194041138
LISWET1,Solved,,0.136120857,0.136120857,-2499.726451867478
