,status,setup_time,solve_time,run_time,obj
QGROW22,maximum iterations reached,0.004580333,0.438749365,0.443329698,-149667112.7560944
QSCFXM1,dual infeasible,0.001637076,0.000642033,0.0022791089999999996,-inf
AUG3D,solved,0.007871924,0.011445612,0.019317536000000003,-782.4322736146912
QBORE3D,dual infeasible,0.001855653,0.000802215,0.002657868,-inf
QGROW15,maximum iterations reached,0.003362833,0.347168085,0.350530918,-101669856.3902039
DUALC2,solved,5.8136e-05,8.3039e-05,0.000141175,3551.30791272295
DUAL3,solved,0.002181571,0.005579491,0.007761062,0.13575583283785775
ZECEVIC2,solved,3.4632e-05,2.1474e-05,5.610600000000001e-05,-21.12500001486121
QSHIP08S,dual infeasible,0.008220079,0.005519512,0.013739590999999999,-inf
QSHIP04L,dual infeasible,0.003991666,0.001581717,0.0055733829999999995,-inf
QSHIP04S,dual infeasible,0.002417299,0.000965074,0.003382373,-inf
STADAT2,solved,0.002461885,0.06243077,0.064892655,-36.45371915095016
QSCRS8,dual infeasible,0.001271779,0.000819286,0.002091065,-inf
HS51,solved,4.2874e-05,3.4968e-05,7.7842e-05,-5.999999999999997
AUG2DQP,solved,0.042418301,0.082502529,0.12492083000000001,1677511.7529094212
QSHARE2B,dual infeasible,0.000132188,8.1154e-05,0.000213342,-inf
QSC205,solved,0.000233217,0.000316307,0.000549524,-0.02272727272715138
STADAT3,solved,0.005103107,0.152131136,0.157234243,-39.38461525527488
QSHELL,dual infeasible,0.021911449,0.147097932,0.169009381,-inf
DPKLO1,solved,0.000890607,0.002013835,0.0029044419999999997,0.3700962174750899
MOSARQP1,solved,0.001319947,0.001255766,0.002575713,-2148.8060706700494
KSIP,solved,4.9797e-05,3.0485e-05,8.0282e-05,-1.7988697500000002
HS52,solved,4.3535e-05,3.1927e-05,7.5462e-05,-0.6733524354849753
STADAT1,solved,0.002622433,0.2574889,0.260111333,-28711816.227629982
DUALC1,solved,6.6492e-05,0.000457675,0.000524167,6155.1321138305075
QBANDM,dual infeasible,0.002128843,0.00107737,0.0032062130000000003,-inf
QE226,dual infeasible,0.001081322,0.000439651,0.0015209730000000001,-inf
QFORPLAN,dual infeasible,0.003002043,0.001562759,0.004564802,-inf
QRECIPE,solved,0.000479654,0.002840964,0.003320618,-266.61600922742497
HS21,solved,3.4102e-05,2.2886e-05,5.6988000000000004e-05,0.04000000000376907
CVXQP1_S,solved,0.000579037,0.007664862,0.008243898999999999,11590.71816339202
LISWET2,solved,0.005091868,0.005204539,0.010296407,-1691.9919030189267
LISWET6,solved,0.004626695,0.004763182,0.009389877000000001,-2187.2241112951237
QSCAGR7,dual infeasible,0.0003858,0.000169962,0.000555762,-inf
LISWET11,solved,0.004666425,0.005130806,0.009797231,-2525.7499199940276
LASER,solved,0.002104056,0.006258946,0.008363002,2409601.3311974946
UBH1,dual infeasible,0.023271991,0.126606568,0.149878559,-inf
QSCFXM3,dual infeasible,0.003851952,0.001876917,0.005728869,-inf
CVXQP1_L,maximum iterations reached,3.862333408,75.215897245,79.07823065299999,108703110.76739159
CONT-101,maximum iterations reached,0.116187907,15.590737552,15.706925459,0.8797868166675785
QPCBOEI1,solved,0.000614394,0.001103352,0.001717746,9749312.802640362
QETAMACR,dual infeasible,0.002701966,0.001912824,0.0046147900000000006,-inf
DUAL1,solved,0.001117306,0.004034506,0.005151812,0.035012961589683554
QISRAEL,dual infeasible,0.000234998,0.000131629,0.000366627,-inf
HS35MOD,solved,3.8313e-05,2.4608e-05,6.292099999999999e-05,-8.750000000850754
QSEBA,dual infeasible,0.003039516,0.007974996,0.011014512,-inf
PRIMALC8,dual infeasible,0.00030264,0.000142221,0.000444861,-inf
QPCBLEND,solved,0.000312583,0.000265179,0.000577762,-0.3457737376179791
QBEACONF,dual infeasible,0.002020155,0.000800911,0.002821066,-inf
QPILOTNO,dual infeasible,0.010014045,0.004661197,0.014675241999999998,-inf
TAME,solved,3.2397e-05,2.2755e-05,5.5152e-05,0.0
QFFFFF80,dual infeasible,0.003553077,0.003616317,0.007169394,-inf
QSCSD6,dual infeasible,0.002647715,0.001283951,0.003931666,-inf
S268,solved,3.5528e-05,2.1388e-05,5.6916e-05,-14462.99999999997
LISWET9,solved,0.004564068,0.004580806,0.009144874,-2525.2570423340044
HS268,solved,3.8166e-05,2.3829e-05,6.199499999999999e-05,-14462.99999999997
HS76,solved,3.802e-05,2.1212e-05,5.9232e-05,-7.500000000000004
POWELL20,solved,0.004847424,0.002447049,0.007294473000000001,0.0
QSCSD8,dual infeasible,0.004488547,0.002795204,0.007283751,-inf
STCQP2,solved,0.059813888,0.156531735,0.21634562300000001,22327.313272407944
QSIERRA,solved,0.003611045,0.211455758,0.215066803,23737431.359451804
HUESTIS,primal infeasible,0.008230721,0.010816464,0.019047185,inf
AUG3DC,solved,0.012392712,0.011234278,0.02362699,-1165.2375610458087
PRIMALC5,dual infeasible,0.000192647,8.4332e-05,0.000276979,-inf
QSHIP12L,dual infeasible,0.051148103,0.02756549,0.078713593,-inf
QAFIRO,dual infeasible,7.3795e-05,3.1725e-05,0.00010551999999999999,-inf
QSHIP08L,dual infeasible,0.031710134,0.015713965,0.047424099,-inf
EXDATA,dual infeasible,1.148440186,0.127748669,1.276188855,-inf
QSTANDAT,dual infeasible,0.001457879,0.000868463,0.002326342,-inf
CVXQP2_L,solved,2.6912147429999997,15.843754748,18.534969491,81842458.2625602
CONT-100,maximum iterations reached,0.106676035,16.118802703,16.225478738,-4.644038254105195
QSCFXM2,dual infeasible,0.002803976,0.001227996,0.004031972,-inf
QSHIP12S,dual infeasible,0.009381399,0.00625662,0.015638019,-inf
QPCBOEI2,solved,0.000203022,0.000179769,0.000382791,4600737.339101516
AUG2D,solved,0.040957329,0.085646067,0.126603396,1677511.7529094212
HS53,solved,4.4683e-05,3.3102e-05,7.7785e-05,-1.9069767441787542
PRIMAL3,dual infeasible,0.000387878,0.000187781,0.000575659,-inf
HS35,solved,3.6182e-05,2.0225e-05,5.6407000000000004e-05,-9.0
PRIMAL4,dual infeasible,0.000753818,0.00034866,0.001102478,-inf
QSHARE1B,dual infeasible,0.000691676,0.000281925,0.0009736009999999999,-inf
CVXQP3_S,solved,0.000660637,0.001658429,0.002319066,11943.432182483228
GENHS28,solved,5.7835e-05,4.8132e-05,0.000105967,0.9271736960999332
AUG2DC,solved,0.040202493,0.085526429,0.125728922,1808268.065583434
HUES-MOD,solved,0.008498133,0.014039575,0.022537708,34573136.0400642
QSCSD1,dual infeasible,0.001924881,0.000944445,0.002869326,-inf
LISWET8,solved,0.00561315,0.005216167,0.010829317,-2525.256983545407
YAO,solved,0.001347208,0.001062673,0.002409881,-272.41751252788845
CVXQP3_M,solved,0.020232899,1.3036116309999999,1.32384453,1362828.7363422243
Q25FV47,dual infeasible,0.03142151,0.01121971,0.04264122,-inf
PRIMAL2,dual infeasible,0.000438989,0.000233609,0.000672598,-inf
GOULDQP3,solved,0.002174105,0.003377935,0.005552039999999999,-29647.837216027074
LISWET1,solved,0.004846319,0.004797673,0.009643992,-2525.4082100576425
QPCSTAIR,solved,0.001107152,0.002605709,0.0037128609999999996,954093.383736923
QSCAGR25,dual infeasible,0.000816437,0.000508634,0.0013250710000000001,-inf
QCAPRI,dual infeasible,0.001283939,0.000714096,0.001998035,-inf
CVXQP2_M,solved,0.013124887,0.135275866,0.148400753,820155.4309268321
CONT-050,solved,0.017278331,2.027426152,2.044704483,-4.563850778080854
QSTAIR,solved,0.001539236,0.003520797,0.005060033,765592.1654492154
CVXQP1_M,solved,0.015072596,0.384609713,0.399682309,1087511.5660955613
PRIMALC1,dual infeasible,0.000198771,6.5775e-05,0.000264546,-inf
MOSARQP2,solved,0.000549689,0.000427722,0.000977411,-2859.25311492007
QSCTAP1,dual infeasible,0.000381562,0.000238285,0.000619847,-inf
LISWET3,solved,0.004473392,0.004740181,0.009213573,-1025.2585932192492
LISWET7,solved,0.004678591,0.004692548,0.009371139,-2525.2570741090003
AUG3DQP,solved,0.007229725,0.009899033,0.017128758,-782.4322736146912
CVXQP2_S,solved,0.000455724,0.000727371,0.001183095,8120.9404498032045
DUAL2,solved,0.001611839,0.001702542,0.003314381,0.03373368136918517
QGROW7,maximum iterations reached,0.001702182,0.137867901,0.13957008299999998,-42773724.732121326
QSCTAP3,dual infeasible,0.001605079,0.001035547,0.002640626,-inf
AUG3DCQP,solved,0.006702591,0.009065642,0.015768233,-1165.2375610458087
LISWET4,solved,0.004629962,0.00466316,0.009293122000000001,-739.5156945985166
PRIMAL1,dual infeasible,0.000195246,8.5637e-05,0.000280883,-inf
HS118,solved,6.5352e-05,0.000499396,0.000564748,274.27744011828196
AUG2DCQP,solved,0.038365603,0.075031488,0.11339709099999999,1808268.065583434
STCQP1,solved,0.024795746,0.062497719,0.087293465,155143.55470415435
QGFRDXPN,dual infeasible,0.00189508,0.013088664,0.014983744,-inf
QPTEST,solved,3.1493e-05,2.4221e-05,5.5714e-05,-0.19999999964231263
LISWET5,solved,0.005377987,0.005313433,0.01069142,-16001.16552952833
VALUES,solved,0.001309194,0.036498838,0.037808032,-1.3966212104471056
LISWET10,solved,0.00437772,0.004501629,0.008879349,-2525.9474086906007
CVXQP3_L,maximum iterations reached,4.370884512,82.187957686,86.55884219800001,115706670.67122231
DTOC3,solved,0.016872691,0.09263093,0.109503621,235.26208773272882
QSCORPIO,dual infeasible,0.000699858,0.000473747,0.001173605,-inf
PRIMALC2,dual infeasible,0.000155685,7.1634e-05,0.000227319,-inf
QSCTAP2,dual infeasible,0.001241935,0.000762784,0.002004719,-inf
DUALC8,solved,6.0734e-05,4.1193e-05,0.000101927,18309.358870959248
DUAL4,solved,0.000873017,0.002467775,0.0033407920000000004,0.7460908296084856
QADLITTL,dual infeasible,0.000225579,0.000121875,0.00034745399999999997,-inf
LOTSCHD,solved,9.3039e-05,7.5172e-05,0.000168211,165.65528761108533
QBRANDY,dual infeasible,0.001518909,0.000678246,0.002197155,-inf
GOULDQP2,solved inaccurate,0.001191129,0.165301954,0.16649308300000001,0.00018427305934927418
DUALC5,solved,5.7343e-05,5.6573e-05,0.00011391600000000001,427.232270833589
