,status,setup_time,solve_time,run_time,obj
QGROW22,Status.PIQP_SOLVED,,0.038304569000000004,0.038304569000000004,-149628953.47137618
QSCFXM1,Status.PIQP_SOLVED,,0.013291477,0.013291477,16882691.63961506
AUG3D,Status.PIQP_SOLVED,,0.014864372,0.014864372,-782.4323513694239
QBORE3D,Status.PIQP_SOLVED,,0.0067611170000000005,0.0067611170000000005,3100.200883179092
QGROW15,Status.PIQP_SOLVED,,0.022036261,0.022036261,-101693640.4682646
DUALC2,Status.PIQP_SOLVED,,0.000918769,0.000918769,3551.307693644215
DUAL3,Status.PIQP_SOLVED,,0.009425856,0.009425856,0.135755836966213
ZECEVIC2,Status.PIQP_SOLVED,,0.000121259,0.000121259,-4.124999998435382
QSHIP08S,Status.PIQP_SOLVED,,0.058382075000000005,0.058382075000000005,2385728.8652062407
QSHIP04L,Status.PIQP_SOLVED,,0.014470613,0.014470613,2420015.6811540164
QSHIP04S,Status.PIQP_SOLVED,,0.009344414,0.009344414,2424993.688057717
STADAT2,Status.PIQP_SOLVED,,0.018078664,0.018078664,-32.62666438005374
QSCRS8,Status.PIQP_SOLVED,,0.012565398000000002,0.012565398000000002,904.5600773923891
HS51,Status.PIQP_SOLVED,,6.0718e-05,6.0718e-05,-6.0
AUG2DQP,Status.PIQP_SOLVED,,0.266836933,0.266836933,6227112.0324820755
QSHARE2B,Status.PIQP_SOLVED,,0.0014044230000000001,0.0014044230000000001,11703.691755793789
QSC205,Status.PIQP_SOLVED,,0.0020676690000000003,0.0020676690000000003,-0.0058139067540013975
STADAT3,Status.PIQP_SOLVED,,0.04234617,0.04234617,-35.77944370689426
QSHELL,Status.PIQP_SOLVED,,0.364312517,0.364312517,1572636847237.4302
DPKLO1,Status.PIQP_SOLVED,,0.001072941,0.001072941,0.3700961665495003
MOSARQP1,Status.PIQP_SOLVED,,0.016199736000000003,0.016199736000000003,-952.8754430263374
KSIP,Status.PIQP_SOLVED,,0.014573374,0.014573374,0.5757979412402162
HS52,Status.PIQP_SOLVED,,6.7402e-05,6.7402e-05,-0.6733524357914092
STADAT1,Status.PIQP_SOLVED,,0.044063097,0.044063097,-28526864.12137395
DUALC1,Status.PIQP_SOLVED,,0.0011854020000000001,0.0011854020000000001,6155.25083854598
QBANDM,Status.PIQP_SOLVED,,0.010901789,0.010901789,16352.342038521307
QE226,Status.PIQP_SOLVED,,0.011282209000000001,0.011282209000000001,205.54043434244676
QFORPLAN,Status.PIQP_SOLVED,,0.010880302,0.010880302,7456631884.987095
QRECIPE,Status.PIQP_SOLVED,,0.001896754,0.001896754,-266.6159927723426
HS21,Status.PIQP_SOLVED,,8.0763e-05,8.0763e-05,0.04000000376743369
CVXQP1_S,Status.PIQP_SOLVED,,0.0013106690000000002,0.0013106690000000002,11590.718141929434
LISWET2,Status.PIQP_SOLVED,,0.07601405100000001,0.07601405100000001,-1666.9919552851732
LISWET6,Status.PIQP_SOLVED,,0.100400456,0.100400456,-2162.2242524430685
QSCAGR7,Status.PIQP_SOLVED,,0.001148667,0.001148667,26865948.674037434
LISWET11,Status.PIQP_SOLVED,,0.26848075200000004,0.26848075200000004,-2476.2260431410764
LASER,Status.PIQP_SOLVED,,0.00777738,0.00777738,2409601.345598012
UBH1,Status.PIQP_SOLVED,,0.06834553,0.06834553,1.1160008407749786
QSCFXM3,Status.PIQP_SOLVED,,0.036257677,0.036257677,30816355.289987966
CVXQP1_L,Status.PIQP_SOLVED,,46.9246597,46.9246597,108704800.18698032
CONT-101,Status.PIQP_SOLVED,,1.0232381050000001,1.0232381050000001,0.19552732794927474
QPCBOEI1,Status.PIQP_SOLVED,,0.014766391,0.014766391,11503914.010259613
QETAMACR,Status.PIQP_SOLVED,,0.14470549100000002,0.14470549100000002,86760.36962713809
DUAL1,Status.PIQP_SOLVED,,0.004616258000000001,0.004616258000000001,0.035012965904947076
QISRAEL,Status.PIQP_SOLVED,,0.006846957000000001,0.006846957000000001,25347838.490944058
HS35MOD,Status.PIQP_SOLVED,,0.000127937,0.000127937,-8.74999998424139
QSEBA,Status.PIQP_SOLVED,,0.010382591,0.010382591,81481800.35769096
PRIMALC8,Status.PIQP_SOLVED,,0.0030230590000000002,0.0030230590000000002,-18309.4297649034
QPCBLEND,Status.PIQP_SOLVED,,0.001312391,0.001312391,-0.007842543075408841
QBEACONF,Status.PIQP_SOLVED,,0.008300642,0.008300642,164712.06016036964
QPILOTNO,Status.PIQP_SOLVED,,0.24482023400000003,0.24482023400000003,4728586.998547619
TAME,Status.PIQP_SOLVED,,8.793200000000001e-05,8.793200000000001e-05,0.0
QFFFFF80,Status.PIQP_SOLVED,,0.08096682100000001,0.08096682100000001,873147.4607413212
QSCSD6,Status.PIQP_SOLVED,,0.008737535000000001,0.008737535000000001,50.808214061282555
S268,Status.PIQP_SOLVED,,8.4277e-05,8.4277e-05,-14462.999711450142
LISWET9,Status.PIQP_SOLVED,,0.257051338,0.257051338,-562.0088409343809
HS268,Status.PIQP_SOLVED,,8.8446e-05,8.8446e-05,-14462.999711450142
HS76,Status.PIQP_SOLVED,,8.5856e-05,8.5856e-05,-4.681818052461074
POWELL20,Status.PIQP_SOLVED,,0.09879127400000001,0.09879127400000001,52089581394.451836
QSCSD8,Status.PIQP_SOLVED,,0.017589748000000002,0.017589748000000002,940.7635742436494
STCQP2,Status.PIQP_SOLVED,,0.392204522,0.392204522,22327.31347550634
