,status,setup_time,solve_time,run_time,obj
QGROW22,QCOS_SOLVED,0.048563546,0.068281018,0.116844564,-149628953.47131267
QSCFXM1,QCOS_SOLVED,0.003943923,0.000393908,0.004337831,1.7976931348623157e+308
AUG3D,QCOS_SOLVED,0.070661801,0.007481925,0.078143726,-782.4322831498519
QBORE3D,QCOS_SOLVED,0.003166762,0.005073408,0.00824017,-29055387391.63776
QGROW15,QCOS_SOLVED,0.024558323,0.040013111,0.064571434,-101693640.46822008
DUALC2,QCOS_SOLVED,5.1378e-05,0.000152153,0.00020353100000000001,3551.3076926733697
DUAL3,QCOS_SOLVED,0.003403551,0.012582531,0.015986082,0.13575584059497456
ZECEVIC2,QCOS_SOLVED,3.1418e-05,3.4254e-05,6.5672e-05,-21.12499999560653
QSHIP08S,QCOS_NUMERICAL_ERROR,0.091411714,0.007680824,0.09909253800000001,1.7976931348623157e+308
QSHIP04L,QCOS_NUMERICAL_ERROR,0.015661256,0.001207813,0.016869068999999997,1.7976931348623157e+308
QSHIP04S,QCOS_NUMERICAL_ERROR,0.010611458,0.001064928,0.011676386,1.7976931348623157e+308
STADAT2,QCOS_SOLVED,0.206563031,0.024103495,0.230666526,-36.45371903729956
QSCRS8,QCOS_NUMERICAL_ERROR,0.009178337,0.000739133,0.00991747,1.7976931348623157e+308
HS51,QCOS_SOLVED,3.4041e-05,9.548e-06,4.3589000000000006e-05,-5.999999999999911
AUG2DQP,QCOS_SOLVED,3.154086383,0.062290595,3.216376978,1677511.595922315
QSHARE2B,QCOS_NUMERICAL_ERROR,0.000139129,5.9808e-05,0.000198937,1.7976931348623157e+308
QSC205,QCOS_SOLVED_INACCURATE,0.000699563,0.000176286,0.000875849,1.7976931348623157e+308
STADAT3,QCOS_SOLVED,0.787869926,0.053528407,0.8413983330000001,-39.384615168010555
QSHELL,QCOS_SOLVED,0.208706197,0.24445729,0.453163487,-952844485153.2107
DPKLO1,QCOS_SOLVED,0.001388884,0.00032352,0.0017124039999999998,0.3700954177075497
MOSARQP1,QCOS_SOLVED,0.015731394,0.000211459,0.015942853,-2148.806070670015
KSIP,QCOS_SOLVED,4.8603e-05,9.099e-06,5.7702000000000004e-05,-1.798869749999982
HS52,QCOS_SOLVED,3.6552e-05,1.7142e-05,5.3694e-05,-0.6733524764748817
STADAT1,QCOS_SOLVED,0.196514682,0.0218413,0.218355982,-10784059.839472221
DUALC1,QCOS_SOLVED,6.2519e-05,0.000171998,0.000234517,6155.250829473984
QBANDM,QCOS_SOLVED,0.00696209,0.000621798,0.007583888,-161614964.04604006
QE226,QCOS_SOLVED,0.001950646,0.000241622,0.0021922680000000003,1.7976931348623157e+308
QFORPLAN,QCOS_SOLVED,0.006088364,0.011311942,0.017400306,2738812870.975102
QRECIPE,QCOS_SOLVED,0.001006378,0.001674073,0.0026804510000000004,-266.6159989031519
HS21,QCOS_SOLVED,2.9187e-05,4.0705e-05,6.9892e-05,0.04000001136734762
CVXQP1_S,QCOS_SOLVED,0.001073832,0.00208287,0.003156702,11590.718120364472
LISWET2,QCOS_SOLVED,0.212277735,0.000840705,0.21311844,-1691.9919030189094
LISWET6,QCOS_SOLVED,0.206587156,0.000785405,0.20737256099999998,-2187.2241112951083
QSCAGR7,QCOS_SOLVED,0.000531572,7.4465e-05,0.000606037,-3340613051.2326617
LISWET11,QCOS_SOLVED,0.208539204,0.000792384,0.209331588,-2525.749919994002
LASER,QCOS_SOLVED,0.079794497,0.014293348,0.094087845,2409601.3456050367
UBH1,QCOS_SOLVED,4.707000946,0.094343237,4.801344183,1.2562200674901385
QSCFXM3,QCOS_SOLVED_INACCURATE,0.024826856,0.002271216,0.027098072,1.7976931348623157e+308
CVXQP1_L,QCOS_SOLVED,3.556753364,64.196494528,67.753247892,108704803.64305097
CONT-101,QCOS_SOLVED,4.902606605,1.355692309,6.258298914,0.19506937720804363
QPCBOEI1,QCOS_SOLVED,0.004532741,0.004446218,0.008978959,9749313.238323057
QETAMACR,QCOS_NUMERICAL_ERROR,0.016572188,0.00315357,0.019725758000000003,1.7976931348623157e+308
DUAL1,QCOS_SOLVED,0.001663767,0.006322464,0.007986231,0.035012993826946934
QISRAEL,QCOS_NUMERICAL_ERROR,0.000443293,0.000169727,0.0006130199999999999,1.7976931348623157e+308
HS35MOD,QCOS_SOLVED,2.7122e-05,7.996e-06,3.5118e-05,-8.750000003716083
QSEBA,QCOS_SOLVED,0.032626407,0.022824489,0.055450896,-2790212649.2185755
PRIMALC8,QCOS_NUMERICAL_ERROR,0.000896334,0.000101843,0.000998177,1.7976931348623157e+308
QPCBLEND,QCOS_SOLVED,0.000370253,7.9441e-05,0.00044969400000000005,-0.3457778805700451
QBEACONF,QCOS_NUMERICAL_ERROR,0.004968899,0.00118954,0.006158439,1.7976931348623157e+308
QPILOTNO,QCOS_NUMERICAL_ERROR,0.079728849,0.007546102,0.087274951,1.7976931348623157e+308
TAME,QCOS_SOLVED,2.6594e-05,6.645e-06,3.3239e-05,1.7976931348623157e+308
QFFFFF80,QCOS_SOLVED,0.023056565,0.00118331,0.024239875,-72529097.88806745
