,status,setup_time,solve_time,run_time,obj
QGROW22,QOCO_SOLVED,0.001755307,0.016897384,0.018652691000000002,-149628953.471356
QSCFXM1,QOCO_SOLVED,0.000566565,0.006767493,0.007334058,16882691.639376387
AUG3D,QOCO_SOLVED,0.001421805,0.000990754,0.002412559,-782.4323028229812
QBORE3D,QOCO_SOLVED,0.000337169,0.002998539,0.003335708,3114.689512334753
QGROW15,QOCO_SOLVED,0.00085232,0.014727102,0.015579422,-101693640.468231
DUALC2,QOCO_SOLVED,0.000116446,0.000802085,0.000918531,3551.30769268204
DUAL3,QOCO_SOLVED,0.000351938,0.004218609,0.0045705469999999995,0.1357558405949271
ZECEVIC2,QOCO_SOLVED,2.3006e-05,1.5017e-05,3.8023e-05,-4.124999996722212
QSHIP08S,QOCO_NUMERICAL_ERROR,0.003167054,0.002543734,0.005710788,2427902.3574323417
QSHIP04L,QOCO_NUMERICAL_ERROR,0.002390243,0.000656039,0.003046282,2393847.1151114847
QSHIP04S,QOCO_NUMERICAL_ERROR,0.001350224,0.00048723,0.0018374539999999999,2388344.2657575784
STADAT2,QOCO_SOLVED,0.001286394,0.023991033,0.025277426999999998,-32.62666468449407
QSCRS8,QOCO_SOLVED,0.001331619,0.009379033,0.010710652000000001,904.5600141098043
HS51,QOCO_SOLVED,1.3664e-05,2.692e-06,1.6356e-05,-5.999999999999995
AUG2DQP,QOCO_SOLVED,0.012342241,0.155627052,0.167969293,6227112.025636617
QSHARE2B,QOCO_SOLVED,0.000130224,0.000635528,0.000765752,11703.691721746485
QSC205,QOCO_NUMERICAL_ERROR,0.0001722,9.2979e-05,0.00026517900000000004,9014.808986050119
STADAT3,QOCO_SOLVED,0.002634588,0.063913232,0.06654782000000001,-35.779452876554956
QSHELL,QOCO_NUMERICAL_ERROR,0.021220369,0.153893046,0.175113415,511818249.74964267
DPKLO1,QOCO_SOLVED,0.000130846,9.1148e-05,0.000221994,0.37009613717241047
MOSARQP1,QOCO_SOLVED,0.000945811,0.008402214,0.009348025,-952.8754430188159
KSIP,QOCO_SOLVED,0.000586839,0.006471828,0.007058666999999999,0.5757979421358851
HS52,QOCO_SOLVED,1.4188e-05,3.939e-06,1.8127e-05,-0.6733525665531129
STADAT1,QOCO_SOLVED,0.001316885,0.020863997,0.022180882,-14530823.59358839
DUALC1,QOCO_SOLVED,8.4887e-05,0.000858393,0.00094328,6155.250829557737
QBANDM,QOCO_SOLVED,0.000596191,0.005815686,0.006411877,16352.342037180882
QE226,QOCO_SOLVED,0.000612939,0.005164184,0.0057771229999999995,205.54043336546104
QFORPLAN,QOCO_NUMERICAL_ERROR,0.001247065,0.000503624,0.001750689,4771946074907.984
QRECIPE,QOCO_SOLVED,0.000155357,0.001086381,0.001241738,-266.6159962788046
HS21,QOCO_SOLVED,1.0522e-05,1.2759e-05,2.3281e-05,0.04000004206487853
CVXQP1_S,QOCO_SOLVED,0.000140279,0.000549639,0.000689918,11590.718120364483
LISWET2,QOCO_SOLVED,0.003262485,0.019792466,0.023054951,-1666.9920995118462
LISWET6,QOCO_SOLVED,0.002943036,0.01870621,0.021649246,-2162.224321622776
QSCAGR7,QOCO_SOLVED,0.000143088,0.00087474,0.0010178280000000001,26865948.642415084
LISWET11,QOCO_NUMERICAL_ERROR,0.003124789,0.048080868,0.051205657,-2500.7482121907087
LASER,QOCO_SOLVED,0.000679872,0.003608065,0.004287937,2409601.3456050484
UBH1,QOCO_SOLVED,0.096940245,0.025685389,0.122625634,1.1379849450623156
QSCFXM3,QOCO_SOLVED,0.001706744,0.026199414,0.027906158,30816354.470911857
CVXQP1_L,QOCO_SOLVED,0.02024174,27.524476566,27.544718306,108704799.94437858
CONT-101,QOCO_SOLVED,0.019740016,0.375798343,0.395538359,0.19543105828255875
QPCBOEI1,QOCO_NUMERICAL_ERROR,0.000763535,0.000645593,0.001409128,5119460.53463957
QETAMACR,QOCO_SOLVED,0.001377026,0.067344494,0.06872152000000001,86760.36963587903
DUAL1,QOCO_SOLVED,0.000165711,0.001732719,0.00189843,0.035012993826581726
QISRAEL,QOCO_SOLVED,0.000381881,0.004083244,0.0044651249999999995,25347851.615612246
HS35MOD,QOCO_SOLVED,1.9104e-05,1.5467e-05,3.4571e-05,-8.74999949671704
QSEBA,QOCO_SOLVED,0.001297322,0.009758168,0.01105549,81481800.39675134
PRIMALC8,QOCO_NUMERICAL_ERROR,0.000234216,0.001376062,0.001610278,-1164.397339300689
QPCBLEND,QOCO_SOLVED,0.000120173,0.000508674,0.000628847,-0.007842456112303596
QBEACONF,QOCO_SOLVED,0.000547726,0.003847282,0.004395008,164712.86782885817
QPILOTNO,QOCO_NUMERICAL_ERROR,0.004233027,0.139292274,0.143525301,4729502.767807181
TAME,QOCO_SOLVED,1.3432e-05,1.0525e-05,2.3957e-05,2.7763360939478764e-17
QFFFFF80,QOCO_NUMERICAL_ERROR,0.001625562,0.001972273,0.003597835,332276532.4906288
QSCSD6,QOCO_SOLVED,0.00117193,0.005738382,0.006910312,50.80821391675669
S268,QOCO_SOLVED,1.4571e-05,2.8703e-05,4.3274e-05,-14462.99999987126
LISWET9,QOCO_SOLVED_INACCURATE,0.003138424,0.058699163,0.061837587,-2500.2570252567443
HS268,QOCO_SOLVED,1.569e-05,2.9709e-05,4.5399000000000004e-05,-14462.99999987126
HS76,QOCO_SOLVED,1.2104e-05,1.3999e-05,2.6102999999999997e-05,-4.681818177782852
POWELL20,QOCO_SOLVED,0.003075428,0.107300856,0.110376284,52089563789.738815
QSCSD8,QOCO_SOLVED,0.002650951,0.009908743,0.012559694,940.7635743872461
STCQP2,QOCO_SOLVED,0.004463789,0.115325855,0.119789644,22327.313274383458
QSIERRA,QOCO_MAX_ITER,0.00234801,0.041850173,0.044198182999999995,23750557.93148693
HUESTIS,QOCO_SOLVED,0.002670099,0.0281171,0.030787198999999998,348244638733.4507
AUG3DC,QOCO_SOLVED,0.001230388,0.001043701,0.002274089,-1165.2375951244223
PRIMALC5,QOCO_SOLVED,0.000126782,0.001007127,0.001133909,-427.23232679989405
QSHIP12L,QOCO_NUMERICAL_ERROR,0.01215611,0.023909855,0.036065965,2713891.2585702026
QAFIRO,QOCO_SOLVED,5.2926e-05,0.000120744,0.00017367,-1.5907806202767623
QSHIP08L,QOCO_NUMERICAL_ERROR,0.009310416,0.015247415,0.024557831000000002,2435834.337628786
EXDATA,QOCO_SOLVED,1.266615459,6.895719866,8.162335325,-141.8434318846577
QSTANDAT,QOCO_SOLVED,0.001044447,0.007828914,0.008873361,0.00014464543922943312
CVXQP2_L,QOCO_SOLVED,0.01685525,18.865262446,18.882117695999998,81842458.26284137
CONT-100,QOCO_SOLVED,0.012519888,0.429925733,0.44244562099999996,-4.644397900394381
QSCFXM2,QOCO_SOLVED,0.00155962,0.025335823,0.026895443,27776161.578752752
QSHIP12S,QOCO_NUMERICAL_ERROR,0.005074314,0.003890881,0.008965195,2702041.847848889
QPCBOEI2,QOCO_NUMERICAL_ERROR,0.000318954,0.000261625,0.0005805789999999999,24027513.954209734
AUG2D,QOCO_SOLVED,0.007842416,0.0242437,0.032086116,1677511.737233871
HS53,QOCO_SOLVED,2.4016e-05,2.5583e-05,4.9599e-05,-1.9069767441860455
PRIMAL3,QOCO_SOLVED,0.009805302,0.016098875,0.025904177,-0.13575582607315295
HS35,QOCO_SOLVED,1.503e-05,1.5354e-05,3.0384e-05,-8.888888835191226
PRIMAL4,QOCO_SOLVED,0.00840629,0.008371192,0.016777482,-0.7460907198519428
QSHARE1B,QOCO_NUMERICAL_ERROR,0.000296153,0.002321248,0.002617401,727606.9818258104
CVXQP3_S,QOCO_SOLVED,0.000255789,0.001174658,0.001430447,11943.432203053153
GENHS28,QOCO_SOLVED,2.3313e-05,5.503e-06,2.8815999999999997e-05,0.9271736834646794
AUG2DC,QOCO_SOLVED,0.007771808,0.024175237,0.031947045,1808268.0479809388
HUES-MOD,QOCO_SOLVED,0.003342768,0.035590358,0.038933126000000005,34824463.87334533
QSCSD1,QOCO_SOLVED,0.001142973,0.00418438,0.005327353,8.666666684836013
LISWET8,QOCO_NUMERICAL_ERROR,0.004072957,0.060139371,0.064212328,-2500.257284408823
YAO,QOCO_MAX_ITER,0.000816442,0.022056643,0.022873085,-253.90476446264918
