tau,qoco,qoco_custom,clarabel,ecos,gurobi,mosek
9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.0092621909870484e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0186101701559753e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0280447320933097e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0375666787451848e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0471768194855202e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.056875971184805e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0666649582795388e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0765446128423159e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0865157746525373e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.09657929126781e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1067360180959745e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1169868184678226e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1273325637104872e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1377741332214902e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.148312414543511e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1589483034398118e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1696827039703846e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1805165285688056e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1914506981197747e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2024861420374123e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2136237983442418e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2248646137509306e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2362095437367691e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2476595526308685e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.259215613694151e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.2708787092020594e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.28264983052806e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.294529978227916e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.3065201621247199e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.3186214013947484e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.330834724654076e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.3431611700460154e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.355601785329369e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.3681576279674705e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.3808297652180924e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.3936192742241435e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.4065272421052364e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.4195547660501015e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.4327029534098295e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.4459729217920196e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.4593657991557576e-05,0.0,0.015625,0.0,0.0,0.0,0.0
1.4728827239075018e-05,0.0,0.03125,0.0,0.0,0.0,0.0
1.4865248449978572e-05,0.0,0.03125,0.0,0.0,0.0,0.0
1.5002933220192168e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.514189325304352e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.5282140360258708e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.5423686462966275e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.556654359271062e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.5710723892474488e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.5856239617711373e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.6003103137387017e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.6151326935030895e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.630092360979741e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.6451905877536607e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.6604286571875295e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.6758078645307688e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.691329517029647e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.706994934038408e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.7228054471313922e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.7387624002162504e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.754867149648152e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.7711210643450867e-05,0.0,0.046875,0.0,0.0,0.0,0.0
1.7875255259042355e-05,0.0,0.0625,0.0,0.0,0.0,0.0
1.804081928719381e-05,0.0,0.0625,0.0,0.0,0.0,0.0
1.8207916800994626e-05,0.0,0.0625,0.0,0.0,0.0,0.0
1.8376562003881724e-05,0.0,0.0625,0.0,0.0,0.0,0.0
1.8546769230846977e-05,0.0,0.078125,0.0,0.0,0.0,0.0
1.8718552949655793e-05,0.0,0.078125,0.0,0.0,0.0,0.0
1.8891927762076646e-05,0.0,0.109375,0.0,0.0,0.0,0.0
1.906690840512252e-05,0.0,0.125,0.0,0.0,0.0,0.0
1.924350975230332e-05,0.0,0.140625,0.0,0.0,0.0,0.0
1.9421746814890246e-05,0.0,0.140625,0.0,0.0,0.0,0.0
1.9601634743191856e-05,0.0,0.140625,0.0,0.0,0.0,0.0
1.978318882784162e-05,0.0,0.140625,0.0,0.0,0.0,0.0
1.9966424501097934e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.0151357338155584e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.03380030584698e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.052637752709252e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.0716496756020666e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.09083769055575e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.1102034285685967e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.1297485357455188e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.1494746734379807e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.1693835183851823e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.189476762856621e-05,0.0,0.140625,0.0,0.0,0.0,0.0
