,size,status,setup_time,solve_time,run_time,obj,iters
matFiles_dcMotor_2,1114,optimal,0.0,0.001537802,0.001537802,34354.900612211684,9
matFiles_quadcopter_3,7912,optimal,0.0,0.00724661,0.00724661,28.05231365400174,7
matFiles_dcMotor_4,5514,optimal,0.0,0.005762462,0.005762462,361813.877283565,8
matFiles_dcMotor_1,564,optimal,0.0,0.000747536,0.000747536,34587.54289140437,8
matFiles_quadcopter_6,1678,optimal,0.0,0.001649948,0.001649948,212.32053126251918,7
matFiles_aircraft_13,3116,optimal,0.0,0.0052436,0.0052436,101232.75249160417,15
matFiles_ballOnPlate_4,658,optimal,0.0,0.000911166,0.000911166,56.19040862873148,9
matFiles_robotArm_1,276,optimal,0.0,0.000327422,0.000327422,136453.75967327578,5
matFiles_pendulum_1,435,optimal,0.0,0.000337112,0.000337112,35.997590845735296,5
matFiles_toyExample_3,199,optimal,0.0,0.000324525,0.000324525,831801.4760696618,12
matFiles_fiordosExample_1,119,optimal,0.0,0.000179221,0.000179221,39.56315345762994,7
matFiles_nonlinearCstr_3,294,optimal,0.0,0.000319417,0.000319417,2191.1132912374082,8
matFiles_dcMotor_5,1114,optimal,0.0,0.002451968,0.002451968,5502.075030265888,12
matFiles_tripleInvertedPendulum_3,2919,optimal,0.0,0.004629877,0.004629877,835.8362829674343,8
matFiles_binaryDistillationColumn_2,2936,optimal,0.0,0.00243872,0.00243872,967.0133062901637,9
matFiles_fiordosExample_2,139,optimal,0.0,0.000217753,0.000217753,41.688630165978445,8
matFiles_springMass_2,2159,optimal,0.0,0.00174214,0.00174214,2083.8788762023596,7
matFiles_helicopter_3,536,optimal,0.0,0.000579991,0.000579991,4132.033448758178,5
matFiles_spacecraft_2,1137,optimal,0.0,0.001221388,0.001221388,66.0615647864829,9
matFiles_doubleInvertedPendulum_3,542,optimal,0.0,0.000592375,0.000592375,370.48087673053993,6
matFiles_ballOnPlate_2,398,optimal,0.0,0.00037617,0.00037617,3.9544210472568038,6
matFiles_toyExample_4,959,optimal,0.0,0.001145644,0.001145644,855791.2989533413,10
matFiles_helicopter_2,1051,optimal,0.0,0.001147824,0.001147824,3903.7776915507848,5
matFiles_springMass_1,21239,optimal,0.0,0.050928397,0.050928397,9199.761027876546,12
matFiles_doubleInvertedPendulum_2,502,optimal,0.0,0.000651827,0.000651827,175.31638799874295,9
matFiles_shell_3,739,optimal,0.0,0.001388788,0.001388788,36.19251755040812,12
matFiles_forcesExample_4,369,optimal,0.0,0.000357324,0.000357324,44.393233975384035,7
matFiles_fiordosExample_3,119,optimal,0.0,0.00018235,0.00018235,22627.380375673725,8
matFiles_nonlinearCstr_2,1164,optimal,0.0,0.001379857,0.001379857,2493.040535094308,10
matFiles_aircraft_4,504,optimal,0.0,0.000597831,0.000597831,6767.2865330615,9
matFiles_aircraft_2,524,optimal,0.0,0.000580869,0.000580869,6773.790593789962,9
matFiles_ballOnPlate_1,398,optimal,0.0,0.000387438,0.000387438,3.378092543198899,6
matFiles_forcesExample_1,171,optimal,0.0,0.000197957,0.000197957,44.39323428703205,7
matFiles_dcMotor_6,1114,optimal,0.0,0.001732789,0.001732789,10959.521786526913,7
matFiles_shell_2,1469,optimal,0.0,0.00178972,0.00178972,32.054313286877736,7
matFiles_aircraft_3,464,optimal,0.0,0.000440186,0.000440186,4420.848561619307,7
matFiles_aircraft_12,636,optimal,0.0,0.000883522,0.000883522,68733.42931011826,12
matFiles_tripleInvertedPendulum_1,2739,optimal,0.0,0.003914631,0.003914631,835.3696986083065,7
matFiles_helicopter_1,201,optimal,0.0,0.00021404,0.00021404,3758.1994848168356,4
matFiles_quadcopter_1,1592,optimal,0.0,0.001508582,0.001508582,28.011081047561998,7
matFiles_forcesExample_3,189,optimal,0.0,0.000317518,0.000317518,93.90445007093408,9
matFiles_aircraft_1,504,optimal,0.0,0.000928868,0.000928868,6767.2865330615,9
matFiles_dcMotor_3,5514,optimal,0.0,0.014434148,0.014434148,65649.84332401457,10
matFiles_quadcopter_5,3072,optimal,0.0,0.016431186,0.016431186,2549223.124742607,26
matFiles_springMass_4,4279,optimal,0.0,0.005927949,0.005927949,2086.362585241618,7
matFiles_shell_1,739,optimal,0.0,0.001489945,0.001489945,32.052658307052056,7
matFiles_pendulum_3,155,optimal,0.0,0.000302917,0.000302917,19.135075048108874,5
matFiles_quadcopter_2,3172,optimal,0.0,0.005087818,0.005087818,28.049843751610897,7
matFiles_quadcopter_4,3172,optimal,0.0,0.006918311,0.006918311,21.146832780661004,10
matFiles_toyExample_5,1909,optimal,0.0,0.003688865,0.003688865,855791.2989488347,11
matFiles_robotArm_2,1056,optimal,0.0,0.003355471,0.003355471,449918.58767266176,10
matFiles_ballOnPlate_3,398,optimal,0.0,0.000719086,0.000719086,46.01310702001085,7
matFiles_spacecraft_1,1137,optimal,0.0,0.001973493,0.001973493,66.0615647864829,9
matFiles_pendulum_2,432,optimal,0.0,0.000803483,0.000803483,50.65227872670104,8
matFiles_toyExample_1,199,optimal,0.0,0.000393048,0.000393048,2950.075734582443,7
matFiles_toyExample_2,389,optimal,0.0,0.000618154,0.000618154,2950.0757812369193,6
matFiles_aircraft_11,636,optimal,0.0,0.001577372,0.001577372,68733.42931011826,12
matFiles_binaryDistillationColumn_1,2936,optimal,0.0,0.004923311,0.004923311,967.0133062901637,9
matFiles_nonlinearCstr_1,1164,optimal,0.0,0.002469246,0.002469246,2493.040535094308,10
matFiles_doubleInvertedPendulum_1,502,optimal,0.0,0.000980894,0.000980894,370.4808774100412,6
matFiles_springMass_3,2144,optimal,0.0,0.00294469,0.00294469,1767.1931937684099,7
matFiles_forcesExample_2,170,optimal,0.0,0.000326751,0.000326751,44.39554136056485,7
matFiles_aircraft_10,584,optimal,0.0,0.001184364,0.001184364,6767.2865330614995,9
matFiles_tripleInvertedPendulum_2,2919,optimal,0.0,0.007057926,0.007057926,835.3696948362152,7
