,size,status,setup_time,solve_time,run_time,obj,iters
matFiles_dcMotor_2,1114,optimal,0.000138675,0.002065431,0.002204106,34354.881645394285,17
matFiles_quadcopter_3,7912,optimal,0.000842808,0.009549716,0.010392524,28.05231365077299,13
matFiles_dcMotor_4,5514,optimal,0.000492573,0.00947808,0.009970653,361814.1097097163,17
matFiles_dcMotor_1,564,optimal,8.1578e-05,0.000968173,0.001049751,34587.350955603935,15
matFiles_quadcopter_6,1678,optimal,0.000571055,0.004049678,0.004620733,212.32053304478407,15
matFiles_aircraft_13,3116,optimal,0.000314853,0.007513675,0.007828528,101232.86827780711,25
matFiles_ballOnPlate_4,658,optimal,0.000107878,0.001351256,0.001459134,56.190408354948836,15
matFiles_robotArm_1,276,optimal_inaccurate,,,,,
matFiles_pendulum_1,435,optimal,6.9048e-05,0.000654087,0.000723135,35.997590284779264,12
matFiles_toyExample_3,199,optimal_inaccurate,,,,,
matFiles_fiordosExample_1,119,optimal,4.0723e-05,0.000284466,0.000325189,39.56315334217334,12
matFiles_nonlinearCstr_3,294,optimal,5.242e-05,0.000463804,0.000516224,2191.1132962084016,16
matFiles_dcMotor_5,1114,optimal,0.000130443,0.002159378,0.002289821,5502.071124700302,18
matFiles_tripleInvertedPendulum_3,2919,optimal,0.000270544,0.006115861,0.006386405,835.8298156320373,19
matFiles_binaryDistillationColumn_2,2936,optimal,0.000241361,0.003972016,0.004213377,967.0133230809529,17
matFiles_fiordosExample_2,139,optimal,5.0016e-05,0.000331941,0.000381957,41.68862876895145,15
matFiles_springMass_2,2159,optimal,0.000228861,0.004483906,0.0047127670000000005,2083.880092410061,21
matFiles_helicopter_3,536,optimal,0.000125492,0.001636133,0.001761625,4132.033650272713,22
matFiles_spacecraft_2,1137,optimal,0.000181668,0.001631014,0.0018126820000000001,66.06156450500181,16
matFiles_doubleInvertedPendulum_3,542,optimal,8.3018e-05,0.001054862,0.00113788,370.4783226473645,15
matFiles_ballOnPlate_2,398,optimal,9.6451e-05,0.000694122,0.000790573,3.9544209890988427,12
matFiles_toyExample_4,959,optimal_inaccurate,,,,,
matFiles_helicopter_2,1051,optimal,0.000172203,0.003299537,0.00347174,3903.7743824125328,23
matFiles_springMass_1,21239,optimal,0.002022981,0.053820774,0.055843755,9199.985163470505,24
matFiles_doubleInvertedPendulum_2,502,optimal,9.5726e-05,0.001025573,0.0011212989999999999,175.31646333200712,16
matFiles_shell_3,739,optimal,0.000187769,0.002191887,0.002379656,36.19251711798173,18
matFiles_forcesExample_4,369,optimal,7.925e-05,0.000826401,0.000905651,44.39323386209675,15
matFiles_fiordosExample_3,119,optimal_inaccurate,,,,,
matFiles_nonlinearCstr_2,1164,optimal,0.000129697,0.001660068,0.001789765,2493.0405673520722,17
matFiles_aircraft_4,504,optimal,7.721e-05,0.000871845,0.000949055,6767.29127280084,15
matFiles_aircraft_2,524,optimal,8.6495e-05,0.000888835,0.0009753300000000001,6773.813190922332,17
matFiles_ballOnPlate_1,398,optimal,7.3457e-05,0.000587484,0.000660941,3.3780925406499533,10
matFiles_forcesExample_1,171,optimal,5.2333e-05,0.000389699,0.000442032,44.393236649940505,13
matFiles_dcMotor_6,1114,optimal,0.000132548,0.002046532,0.0021790800000000003,10959.519331176916,17
matFiles_shell_2,1469,optimal,0.000316498,0.00712277,0.007439268,32.054313208091294,16
matFiles_aircraft_3,464,optimal,7.7623e-05,0.000771412,0.0008490349999999999,4420.854642563241,14
matFiles_aircraft_12,636,optimal,8.6938e-05,0.001436276,0.001523214,68733.43287994694,23
matFiles_tripleInvertedPendulum_1,2739,optimal,0.000279526,0.005641102,0.005920628000000001,835.3724493745653,19
matFiles_helicopter_1,201,optimal,5.9768e-05,0.000610663,0.000670431,3758.2000277599345,21
matFiles_quadcopter_1,1592,optimal,0.000280712,0.002257203,0.002537915,28.011081067937088,12
matFiles_forcesExample_3,189,optimal,6.5887e-05,0.000673195,0.0007390820000000001,93.90442038885148,17
matFiles_aircraft_1,504,optimal,0.00012387,0.001422016,0.0015458859999999998,6767.29127280084,15
matFiles_dcMotor_3,5514,optimal,0.000760569,0.017497167,0.018257736,65649.84433557633,21
matFiles_quadcopter_5,3072,optimal_inaccurate,,,,,
matFiles_springMass_4,4279,optimal,0.000644543,0.014803889,0.015448432000000002,2086.3616513432385,22
matFiles_shell_1,739,optimal,0.000277824,0.003101958,0.003379782,32.05265831337486,15
matFiles_pendulum_3,155,optimal,7.4189e-05,0.000462408,0.000536597,19.135077854542487,10
matFiles_quadcopter_2,3172,optimal,0.000746611,0.007510968,0.008257579,28.049843751176024,13
matFiles_quadcopter_4,3172,optimal,0.000714219,0.009735125,0.010449344000000001,21.146832797065322,15
matFiles_toyExample_5,1909,optimal_inaccurate,,,,,
matFiles_robotArm_2,1056,optimal_inaccurate,,,,,
matFiles_ballOnPlate_3,398,optimal,0.000114425,0.001280899,0.001395324,46.01310744887993,14
matFiles_spacecraft_1,1137,optimal,0.000286467,0.002779321,0.003065788,66.06156450500181,16
matFiles_pendulum_2,432,optimal,0.000120459,0.001276972,0.001397431,50.65228515956891,13
matFiles_toyExample_1,199,optimal,8.7853e-05,0.001078788,0.001166641,2950.0763741330934,18
matFiles_toyExample_2,389,optimal,0.000126345,0.001872375,0.00199872,2950.0758703620804,18
matFiles_aircraft_11,636,optimal,0.000173047,0.002834298,0.003007345,68733.43287994694,23
matFiles_binaryDistillationColumn_1,2936,optimal,0.000497104,0.008209962,0.008707066,967.0133230809529,17
matFiles_nonlinearCstr_1,1164,optimal,0.000240307,0.003080459,0.0033207659999999997,2493.0405673520722,17
matFiles_doubleInvertedPendulum_1,502,optimal,0.000138114,0.001657497,0.001795611,370.48324781869815,13
matFiles_springMass_3,2144,optimal,0.00036249,0.007735165,0.008097654999999999,1767.193304804409,21
matFiles_forcesExample_2,170,optimal,7.8466e-05,0.000638264,0.0007167300000000001,44.39554354894671,13
matFiles_aircraft_10,584,optimal,0.000136119,0.001594169,0.0017302880000000002,6767.291271896133,15
matFiles_tripleInvertedPendulum_2,2919,optimal,0.000428518,0.009443937,0.009872454999999999,835.3668284952483,19
