,size,status,setup_time,solve_time,run_time,obj,iters
matFiles_dcMotor_2,1114,optimal,0.0,0.011138916015625,0.011138916015625,34354.90056271345,11.0
matFiles_quadcopter_3,10662,optimal,0.0,0.032060861587524414,0.032060861587524414,32.76656322988976,15.0
matFiles_dcMotor_4,5514,optimal,0.0,0.012395143508911133,0.012395143508911133,361813.8773651978,13.0
matFiles_dcMotor_1,564,optimal,0.0,0.0019860267639160156,0.0019860267639160156,34587.54253215852,10.0
matFiles_quadcopter_6,2228,infeasible_or_unbounded,,,,,
matFiles_aircraft_13,3716,optimal,0.0,0.014374971389770508,0.014374971389770508,65495.75270496406,29.0
matFiles_ballOnPlate_4,758,infeasible_or_unbounded,,,,,
matFiles_robotArm_1,336,optimal,0.0,0.0022339820861816406,0.0022339820861816406,136453.75967310648,10.0
matFiles_pendulum_1,435,optimal,0.0,0.0026519298553466797,0.0026519298553466797,35.997590349603236,10.0
matFiles_toyExample_3,199,optimal,0.0,0.003741025924682617,0.003741025924682617,831801.4715184051,8.0
matFiles_fiordosExample_1,119,optimal,0.0,0.0024459362030029297,0.0024459362030029297,39.56315343454791,13.0
matFiles_nonlinearCstr_3,294,optimal,0.0,0.0022869110107421875,0.0022869110107421875,2191.1132838202916,9.0
matFiles_dcMotor_5,1114,optimal,0.0,0.0051538944244384766,0.0051538944244384766,5502.075024144332,15.0
matFiles_tripleInvertedPendulum_3,3279,optimal,0.0,0.005342960357666016,0.005342960357666016,835.3697106539871,13.0
matFiles_binaryDistillationColumn_2,2936,optimal,0.0,0.005339145660400391,0.005339145660400391,967.013304016101,12.0
matFiles_fiordosExample_2,159,infeasible_or_unbounded,,,,,
matFiles_springMass_2,3359,optimal,0.0,0.00459599494934082,0.00459599494934082,2083.8788795672417,9.0
matFiles_helicopter_3,536,optimal,0.0,0.0025599002838134766,0.0025599002838134766,4132.033465473772,10.0
matFiles_spacecraft_2,1977,optimal,0.0,0.003120899200439453,0.003120899200439453,66.06156465727564,12.0
matFiles_doubleInvertedPendulum_3,582,optimal,0.0,0.002635955810546875,0.002635955810546875,370.48087674474164,10.0
matFiles_ballOnPlate_2,458,optimal,0.0,0.0023310184478759766,0.0023310184478759766,3.954420988387558,11.0
matFiles_toyExample_4,959,optimal,0.0,0.00451207160949707,0.00451207160949707,855791.2986103466,14.0
matFiles_helicopter_2,1051,optimal,0.0,0.005124092102050781,0.005124092102050781,3903.777641976229,12.0
matFiles_springMass_1,33239,optimal,0.0,0.02515387535095215,0.02515387535095215,9139.183070313096,13.0
matFiles_doubleInvertedPendulum_2,502,optimal,0.0,0.002274036407470703,0.002274036407470703,175.3163884240045,12.0
matFiles_shell_3,859,optimal,0.0,0.0026128292083740234,0.0026128292083740234,35.840175943230065,14.0
matFiles_forcesExample_4,369,optimal,0.0,0.002274036407470703,0.002274036407470703,44.39323391957862,12.0
matFiles_fiordosExample_3,119,optimal,0.0,0.0019021034240722656,0.0019021034240722656,22627.380353012864,10.0
matFiles_nonlinearCstr_2,1164,optimal,0.0,0.002705812454223633,0.002705812454223633,2493.0405317235463,11.0
matFiles_aircraft_4,544,optimal,0.0,0.0020868778228759766,0.0020868778228759766,4420.848605592784,13.0
matFiles_aircraft_2,564,optimal,0.0,0.002401113510131836,0.002401113510131836,4430.341317195015,12.0
matFiles_ballOnPlate_1,458,infeasible_or_unbounded,,,,,
matFiles_forcesExample_1,171,optimal,0.0,0.00339508056640625,0.00339508056640625,44.39323392422453,12.0
matFiles_dcMotor_6,1114,optimal,0.0,0.0029039382934570312,0.0029039382934570312,10959.52183087766,10.0
matFiles_shell_2,1709,optimal,0.0,0.005040168762207031,0.005040168762207031,32.054313313011804,14.0
matFiles_aircraft_3,464,optimal,0.0,0.0023300647735595703,0.0023300647735595703,4420.848585353705,16.0
matFiles_aircraft_12,756,optimal,0.0,0.0023300647735595703,0.0023300647735595703,54417.91025368905,12.0
matFiles_tripleInvertedPendulum_1,2739,optimal,0.0,0.0050220489501953125,0.0050220489501953125,835.369692134773,13.0
matFiles_helicopter_1,201,optimal,0.0,0.0019218921661376953,0.0019218921661376953,3758.1994806631824,8.0
matFiles_quadcopter_1,2142,optimal,0.0,0.004425048828125,0.004425048828125,32.76354224561748,14.0
matFiles_forcesExample_3,189,optimal,0.0,0.003340005874633789,0.003340005874633789,93.90444931358067,10.0
matFiles_aircraft_1,544,optimal,0.0,0.0024089813232421875,0.0024089813232421875,4420.848605592784,13.0
matFiles_dcMotor_3,5514,optimal,0.0,0.007277965545654297,0.007277965545654297,65649.84279180135,15.0
matFiles_quadcopter_5,3072,optimal,0.0,0.014015913009643555,0.014015913009643555,2549223.056681755,55.0
matFiles_springMass_4,6679,optimal,0.0,0.005541086196899414,0.005541086196899414,2086.3626126354575,9.0
matFiles_shell_1,859,optimal,0.0,0.0026121139526367188,0.0026121139526367188,32.05265832047775,14.0
