,size,status,setup_time,solve_time,run_time,obj,iters
matFiles_dcMotor_2,1114,QOCO_SOLVED,8.6401e-05,0.000529496,0.000615897,34354.90098763719,8
matFiles_quadcopter_3,7912,QOCO_SOLVED,0.000674645,0.003413952,0.004088597,28.052313654870108,7
matFiles_dcMotor_4,5514,QOCO_SOLVED,0.000368281,0.002108759,0.00247704,361813.87971615186,8
matFiles_dcMotor_1,564,QOCO_SOLVED,5.2947e-05,0.000267432,0.00032037900000000003,34587.53917737238,7
matFiles_quadcopter_6,1678,QOCO_SOLVED,0.000179194,0.000806584,0.0009857779999999999,212.3205313090113,7
matFiles_aircraft_13,3116,QOCO_SOLVED,0.000203088,0.002037414,0.002240502,101232.75042760541,14
matFiles_ballOnPlate_4,658,QOCO_SOLVED,6.2333e-05,0.000358516,0.00042084900000000005,56.19040909972838,8
matFiles_robotArm_1,276,QOCO_SOLVED,4.7071e-05,0.000170073,0.000217144,136453.75970461915,5
matFiles_pendulum_1,435,QOCO_SOLVED,4.585e-05,0.000219591,0.000265441,35.99759029266436,6
matFiles_toyExample_3,199,QOCO_SOLVED,3.1653e-05,0.000159606,0.000191259,831801.4859018803,6
matFiles_fiordosExample_1,119,QOCO_SOLVED,3.5268e-05,0.000201335,0.000236603,39.5631534351479,8
matFiles_nonlinearCstr_3,294,QOCO_SOLVED,3.8775e-05,0.000201158,0.000239933,2191.1132862948402,7
matFiles_dcMotor_5,1114,QOCO_SOLVED,9.168e-05,0.00053374,0.00062542,5505.689772748649,8
matFiles_tripleInvertedPendulum_3,2919,QOCO_SOLVED,0.000188488,0.001101719,0.0012902069999999998,835.8364735377216,8
matFiles_binaryDistillationColumn_2,2936,QOCO_SOLVED,0.000163066,0.001154674,0.00131774,967.0133033375324,9
matFiles_fiordosExample_2,139,QOCO_SOLVED,2.6374e-05,0.000124344,0.000150718,41.688630275354406,7
matFiles_springMass_2,2159,QOCO_SOLVED,0.000157513,0.000694599,0.0008521119999999999,2083.8789039426647,6
matFiles_helicopter_3,536,QOCO_SOLVED,7.4668e-05,0.000209135,0.000283803,4132.03342369009,5
matFiles_spacecraft_2,1137,QOCO_SOLVED,9.6428e-05,0.000569399,0.0006658269999999999,66.06156468239114,9
matFiles_doubleInvertedPendulum_3,542,QOCO_SOLVED,4.9409e-05,0.000187554,0.00023696299999999997,370.4808777563745,5
matFiles_ballOnPlate_2,398,QOCO_SOLVED,4.8264e-05,0.000217709,0.000265973,3.954421002259729,7
matFiles_toyExample_4,959,QOCO_SOLVED,7.8482e-05,0.000487338,0.00056582,855791.2988211,9
matFiles_helicopter_2,1051,QOCO_SOLVED,0.000129281,0.000402644,0.000531925,3903.777642654874,6
matFiles_springMass_1,21239,QOCO_SOLVED,0.001299248,0.009891574,0.011190822,9199.75841748465,10
matFiles_doubleInvertedPendulum_2,502,QOCO_SOLVED,4.9549e-05,0.000264825,0.000314374,175.31638775254441,8
matFiles_shell_3,739,QOCO_SOLVED,0.000123435,0.000644857,0.000768292,36.19251873793209,10
matFiles_forcesExample_4,369,QOCO_SOLVED,4.0603e-05,0.000198344,0.00023894700000000001,44.393233924044836,7
matFiles_fiordosExample_3,119,QOCO_SOLVED,2.4253e-05,0.000160671,0.000184924,22627.380668985006,10
matFiles_nonlinearCstr_2,1164,QOCO_SOLVED,9.5041e-05,0.000539057,0.000634098,2493.040531905137,9
matFiles_aircraft_4,504,QOCO_SOLVED,5.641e-05,0.000275547,0.000331957,6767.286461604765,8
matFiles_aircraft_2,524,QOCO_SOLVED,5.4602e-05,0.000289857,0.00034445900000000003,6773.7905247243925,8
matFiles_ballOnPlate_1,398,QOCO_SOLVED,4.5597e-05,0.000222136,0.000267733,3.37809254261741,7
matFiles_forcesExample_1,171,QOCO_SOLVED,2.9026e-05,0.000130995,0.000160021,44.393233923007934,7
matFiles_dcMotor_6,1114,QOCO_SOLVED,9.5699e-05,0.000406357,0.000502056,10954.018880258007,6
matFiles_shell_2,1469,QOCO_SOLVED,0.000211576,0.000892023,0.001103599,32.05431325092484,7
matFiles_aircraft_3,464,QOCO_SOLVED,5.3254e-05,0.000234846,0.0002881,4420.848558305715,7
matFiles_aircraft_12,636,QOCO_SOLVED,6.1663e-05,0.000417565,0.000479228,68733.42973613464,11
matFiles_tripleInvertedPendulum_1,2739,QOCO_SOLVED,0.00017187,0.000911904,0.001083774,835.369801653694,7
matFiles_helicopter_1,201,QOCO_SOLVED,3.9269e-05,0.000107386,0.000146655,3758.1994831917928,4
matFiles_quadcopter_1,1592,QOCO_SOLVED,0.000188435,0.000826243,0.001014678,28.01108104787433,7
matFiles_forcesExample_3,189,QOCO_SOLVED,3.1314e-05,0.000199051,0.000230365,93.9044494033518,9
matFiles_aircraft_1,504,QOCO_SOLVED,5.287e-05,0.000282996,0.000335866,6767.286461604765,8
matFiles_dcMotor_3,5514,QOCO_SOLVED,0.000384346,0.002254276,0.0026386219999999998,65649.88523662827,8
matFiles_quadcopter_5,3072,QOCO_NUMERICAL_ERROR,,,,,
matFiles_springMass_4,4279,QOCO_SOLVED,0.000276388,0.001469099,0.001745487,2086.362582205519,7
matFiles_shell_1,739,QOCO_SOLVED,0.00019462,0.000623197,0.000817817,32.0526589827992,6
matFiles_pendulum_3,155,QOCO_SOLVED,5.2492e-05,0.000193708,0.0002462,19.135074866748816,5
matFiles_quadcopter_2,3172,QOCO_SOLVED,0.0006113,0.002880664,0.0034919639999999997,28.04984375225529,7
matFiles_quadcopter_4,3172,QOCO_SOLVED,0.000551751,0.003407067,0.003958818,21.146832789885952,10
matFiles_toyExample_5,1909,QOCO_SOLVED,0.000251063,0.001443975,0.0016950379999999998,855791.2988228498,9
matFiles_robotArm_2,1056,QOCO_SOLVED,0.000165863,0.000962074,0.001127937,449918.58789648494,10
matFiles_ballOnPlate_3,398,QOCO_SOLVED,9.8461e-05,0.000396641,0.000495102,46.0131068646007,7
matFiles_spacecraft_1,1137,QOCO_SOLVED,0.000189676,0.001053613,0.0012432889999999999,66.06156468239114,9
matFiles_pendulum_2,432,QOCO_SOLVED,8.9214e-05,0.00043679,0.0005260040000000001,50.65227738315052,8
matFiles_toyExample_1,199,QOCO_SOLVED,5.4701e-05,0.000239878,0.000294579,2950.0758274164873,6
matFiles_toyExample_2,389,QOCO_SOLVED,7.6967e-05,0.000363555,0.000440522,2950.075844549413,6
matFiles_aircraft_11,636,QOCO_SOLVED,0.000128421,0.000820679,0.0009491,68733.42973613464,11
matFiles_binaryDistillationColumn_1,2936,QOCO_SOLVED,0.000308378,0.002249964,0.002558342,967.0133033375324,9
matFiles_nonlinearCstr_1,1164,QOCO_SOLVED,0.000165239,0.001018223,0.001183462,2493.040531905137,9
matFiles_doubleInvertedPendulum_1,502,QOCO_SOLVED,9.5029e-05,0.00034947,0.000444499,370.4808775153404,5
matFiles_springMass_3,2144,QOCO_SOLVED,0.000286499,0.001125267,0.001411766,1767.1932056620378,5
matFiles_forcesExample_2,170,QOCO_SOLVED,4.7549e-05,0.000220489,0.000268038,44.395540987309445,7
matFiles_aircraft_10,584,QOCO_SOLVED,0.000106679,0.000589819,0.000696498,6767.286461604773,8
matFiles_tripleInvertedPendulum_2,2919,QOCO_SOLVED,0.000325388,0.001683019,0.0020084070000000002,835.3698837482996,7
