tau,qoco,qoco_custom,clarabel,ecos,gurobi,mosek
9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.0104259806171096e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0209606623060476e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0316051783820796e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0423606739764011e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0532283061593164e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0642092440647246e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0753046690158923e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0865157746525373e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0978437670592484e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1092898648952227e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1208552995253766e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1325413151528127e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1443491689526693e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1562801312073753e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1683354854432923e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1805165285688056e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.1928245710138415e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2052609368708414e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2178269640372162e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2305240043592616e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2433534237775994e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2563166024741215e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2694149350204671e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.28264983052806e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2960227127996843e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3095350204826676e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3231882072236462e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3369837418249452e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3509231084026028e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3650078065460137e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3792393514792659e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3936192742241435e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.4081491217648319e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.4228304572143519e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.437664859982702e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.4526539259467812e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.4677992676220705e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.4831025143361029e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.4985653124037576e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.514189325304352e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.5299762338606094e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.5459277364194785e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.562045549034837e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.5783314056521164e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.5947870582948208e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.61141427725302e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.6282148512737936e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.6451905877536607e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.6623433129330314e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.6796748720926532e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.6971871297521373e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.714881969870541e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.7327612960490418e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.7508270317357232e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.7690811204325116e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.7875255259042355e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.8061622323899016e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.8249932448161504e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.8440205890129598e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.86324631193156e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.8826724818646592e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.902301188668946e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.922134543989913e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.9421746814890246e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.96242375707327e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.9828839491270713e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.003557458746648e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.0244465099768016e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.045553350050195e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.066880249629082e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.0884295030496014e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.1102034285685967e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.132204368613011e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.1544346900318823e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.1768967843509833e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.199593068030075e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.222525982722885e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.2456979955397763e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.2691115993131512e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.2927693128656486e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.3166736812810897e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.3408272761782944e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.3652326959877307e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.389892566231048e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.414809539803547e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.43998629725955e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.4654255471007912e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.491130026067791e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.5171024994342686e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.543345761304648e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.5698626349146184e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.5966559729348725e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.6237286577779932e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.6510836019085362e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.6787237481563717e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.706652070033241e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.7348715720526675e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.7633852900531726e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.7921962915248672e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.8213076759394707e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.8507225750837183e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.8804441533962977e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.9104756083082744e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.9408201705870607e-05,0.0,0.0,0.0,0.0,0.0,0.0
2.9714811046840064e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.0024617090855492e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.033765316668089e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.06539529505653e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.0973550469865616e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.12964801067075e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.1622776601683795e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.1952475057592136e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.228561094321127e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.2622220097116666e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.296233873153629e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.3306003436245885e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.365325118250557e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.40041193270371e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.435864561604259e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.4716868189265594e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.507882558409363e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.5444556739704355e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.581410100125455e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.618749812411277e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.6564788278136455e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.6946012051993025e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.73312104575266e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.7720424934170016e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.811369735340273e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.8511070023255685e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.89125856928623e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.93182875570577e-05,0.0,0.0,0.0,0.0,0.0,0.0
3.9728219261025524e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.014242490499318e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.0560949048976415e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.098383671757261e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.141113340480481e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.1842885079015846e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.227913818781352e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.271993966306776e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.3165336925959e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.3615377892080056e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.4070110976590795e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.45295850994266e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.499384969056106e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.5462954695323996e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.5936950579773975e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.641588833612782e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.6899819488246115e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.738879609717651e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.7882870766753834e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.838209664925957e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.888652745113988e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.939621743878326e-05,0.0,0.0,0.0,0.0,0.0,0.0
4.991122144435844e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.043159487171359e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.0957393702336e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.148867450137497e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.202549442372687e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.2567911220184194e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.311598324364777e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.366976945540476e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.4229329431471555e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.4794723369002926e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.536601209276792e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.594325706169377e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.6526520375476976e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.711586478126435e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.7711353680403144e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.8313051135262185e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.892102187612295e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.95353313081437e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.01560455183956e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.078323128297236e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.141695607417379e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.2057288067765e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.270429615030991e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.335804992658255e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.401861972705483e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.468607661546321e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.53604923964529e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.604193962330305e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.673049160573193e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.742622241778349e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.812920690579608e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.883952069645496e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.955724020492732e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.028244264308353e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.101520602780328e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.17556091893692e-05,0.0,0.0,0.0,0.0,0.0,0.0
