,size,status,setup_time,solve_time,run_time,obj,iters
nonlinearCstr_1,1164,optimal,0.0,0.006283926,0.006283926,2493.040535094308,10
aircraft_13,3116,optimal,0.0,0.025862491,0.025862491,101232.75249160417,15
aircraft_11,636,optimal,0.0,0.004124363,0.004124363,68733.42931011826,12
ballOnPlate_4,658,optimal,0.0,0.004084472,0.004084472,56.19040862873148,9
toyExample_5,1909,optimal,0.0,0.011332733,0.011332733,855791.2989488347,11
binaryDistillationColumn_2,2936,optimal,0.0,0.01117031,0.01117031,967.0133062901637,9
toyExample_3,199,optimal,0.0,0.001383157,0.001383157,831801.4760696618,12
springMass_4,4279,optimal,0.0,0.019446754,0.019446754,2086.362585241618,7
pendulum_2,432,optimal,0.0,0.002039809,0.002039809,50.65227872670104,8
doubleInvertedPendulum_3,542,optimal,0.0,0.002543951,0.002543951,370.48087673054,6
shell_3,739,optimal,0.0,0.006757752,0.006757752,36.19251755040812,12
dcMotor_3,5514,optimal,0.0,0.044023116,0.044023116,65649.84332401457,10
aircraft_1,504,optimal,0.0,0.002685762,0.002685762,6767.2865330615,9
tripleInvertedPendulum_2,2919,optimal,0.0,0.019642346,0.019642346,835.3696948362152,7
quadcopter_3,7912,optimal,0.0,0.0431543,0.0431543,28.05231365400174,7
dcMotor_6,1114,optimal,0.0,0.008069211,0.008069211,10959.521786526913,7
doubleInvertedPendulum_2,502,optimal,0.0,0.003035218,0.003035218,175.31638799874293,9
toyExample_1,199,optimal,0.0,0.000947945,0.000947945,2950.075734582443,7
ballOnPlate_3,398,optimal,0.0,0.002021849,0.002021849,46.01310702001085,7
pendulum_1,435,optimal,0.0,0.001570486,0.001570486,35.997590845735296,5
robotArm_1,276,optimal,0.0,0.001412714,0.001412714,136453.75967327578,5
toyExample_4,959,optimal,0.0,0.005240044,0.005240044,855791.2989533413,10
robotArm_2,1056,optimal,0.0,0.010697915,0.010697915,449918.58767266176,10
forcesExample_2,170,optimal,0.0,0.000796372,0.000796372,44.39554136056485,7
forcesExample_1,171,optimal,0.0,0.000807426,0.000807426,44.39323428703205,7
doubleInvertedPendulum_1,502,optimal,0.0,0.002260975,0.002260975,370.4808774100412,6
spacecraft_2,1137,optimal,0.0,0.005727642,0.005727642,66.0615647864829,9
helicopter_1,201,optimal,0.0,0.000895,0.000895,3758.199484816836,4
spacecraft_1,1137,optimal,0.0,0.005741995,0.005741995,66.0615647864829,9
ballOnPlate_1,398,optimal,0.0,0.001784429,0.001784429,3.378092543198899,6
shell_2,1469,optimal,0.0,0.008553345,0.008553345,32.05431328687774,7
dcMotor_5,1114,optimal,0.0,0.011571308,0.011571308,5502.075030265889,12
helicopter_2,1051,optimal,0.0,0.005206916,0.005206916,3903.7776915507843,5
springMass_1,21239,optimal,0.0,0.308834929,0.308834929,9199.761027876546,12
forcesExample_3,189,optimal,0.0,0.001069369,0.001069369,93.90445007093408,9
aircraft_12,636,optimal,0.0,0.004116921,0.004116921,68733.42931011826,12
springMass_2,2159,optimal,0.0,0.008347317,0.008347317,2083.878876202359,7
quadcopter_1,1592,optimal,0.0,0.007204545,0.007204545,28.011081047561998,7
aircraft_2,524,optimal,0.0,0.002704946,0.002704946,6773.790593789961,9
fiordosExample_3,119,optimal,0.0,0.000732371,0.000732371,22627.380375673725,8
fiordosExample_1,119,optimal,0.0,0.000645893,0.000645893,39.56315345762994,7
dcMotor_4,5514,optimal,0.0,0.032111534,0.032111534,361813.877283565,8
springMass_3,2144,optimal,0.0,0.008301728,0.008301728,1767.1931937684094,7
shell_1,739,optimal,0.0,0.004387711,0.004387711,32.052658307052056,7
aircraft_3,464,optimal,0.0,0.001945017,0.001945017,4420.848561619307,7
fiordosExample_2,139,optimal,0.0,0.00086665,0.00086665,41.688630165978445,8
quadcopter_2,3172,optimal,0.0,0.014760117,0.014760117,28.049843751610897,7
nonlinearCstr_3,294,optimal,0.0,0.001441954,0.001441954,2191.113291237408,8
quadcopter_5,3072,optimal,0.0,0.055300896,0.055300896,2549223.124742607,26
ballOnPlate_2,398,optimal,0.0,0.001806999,0.001806999,3.9544210472568038,6
binaryDistillationColumn_1,2936,optimal,0.0,0.011159521,0.011159521,967.0133062901637,9
forcesExample_4,369,optimal,0.0,0.00153597,0.00153597,44.393233975384035,7
tripleInvertedPendulum_1,2739,optimal,0.0,0.017592469,0.017592469,835.3696986083066,7
helicopter_3,536,optimal,0.0,0.002543654,0.002543654,4132.033448758178,5
aircraft_4,504,optimal,0.0,0.002659316,0.002659316,6767.2865330615,9
quadcopter_4,3172,optimal,0.0,0.021085866,0.021085866,21.146832780661004,10
aircraft_10,584,optimal,0.0,0.003128199,0.003128199,6767.2865330614995,9
toyExample_2,389,optimal,0.0,0.001520582,0.001520582,2950.0757812369193,6
dcMotor_2,1114,optimal,0.0,0.007329969,0.007329969,34354.90061221169,9
quadcopter_6,1678,optimal,0.0,0.008018101,0.008018101,212.32053126251918,7
nonlinearCstr_2,1164,optimal,0.0,0.006281172,0.006281172,2493.040535094308,10
tripleInvertedPendulum_3,2919,optimal,0.0,0.021362562,0.021362562,835.8362829674343,8
dcMotor_1,564,optimal,0.0,0.003537413,0.003537413,34587.54289140438,8
pendulum_3,155,optimal,0.0,0.000663376,0.000663376,19.135075048108874,5
