,size,status,setup_time,solve_time,run_time,obj,iters
nonlinearCstr_1,1164,optimal,0.000571729,0.00789732,0.008469049,2493.0405675724305,17
aircraft_13,3116,optimal,0.001519413,0.039058815,0.040578227999999994,101232.87074524723,25
aircraft_11,636,optimal,0.000357307,0.006999265,0.0073565720000000005,68733.42900501107,23
ballOnPlate_4,658,optimal,0.00046625,0.00668642,0.00715267,56.190408354948595,15
toyExample_5,1909,optimal_inaccurate,,,,,
binaryDistillationColumn_2,2936,optimal,0.000994795,0.020274941,0.021269736,967.0133230941448,17
toyExample_3,199,optimal_inaccurate,,,,,
springMass_4,4279,optimal,0.001913054,0.049423168,0.051336222,2086.3616513220522,22
pendulum_2,432,optimal,0.000281365,0.003288989,0.003570354,50.65228515995907,13
doubleInvertedPendulum_3,542,optimal,0.000327419,0.004737904,0.005065323,370.4783226865981,15
shell_3,739,optimal,0.000596413,0.011164163,0.011760576,36.192517117978966,18
dcMotor_3,5514,optimal,0.002590967,0.062651704,0.065242671,65649.84433036926,21
aircraft_1,504,optimal,0.000292124,0.003831534,0.0041236580000000005,6767.291272810942,15
tripleInvertedPendulum_2,2919,optimal,0.001241012,0.029914919,0.031155931,835.3668302015001,19
quadcopter_3,7912,optimal,0.004246804,0.062048332,0.066295136,28.052313650773208,13
dcMotor_6,1114,optimal,0.000574211,0.009700528,0.010274739,10959.519331178602,17
doubleInvertedPendulum_2,502,optimal,0.000299105,0.004573557,0.004872662,175.31646333418436,16
toyExample_1,199,optimal,0.000185051,0.002293158,0.002478209,2950.0763742503614,18
ballOnPlate_3,398,optimal,0.000312068,0.00376698,0.004079048,46.01310744890267,14
pendulum_1,435,optimal,0.000287531,0.002898127,0.003185658,35.99759028191967,12
robotArm_1,276,optimal_inaccurate,,,,,
toyExample_4,959,optimal_inaccurate,,,,,
robotArm_2,1056,optimal_inaccurate,,,,,
forcesExample_2,170,optimal,0.000169052,0.001484359,0.001653411,44.395543548935606,13
forcesExample_1,171,optimal,0.000170941,0.001484526,0.0016554669999999999,44.39323664993766,13
doubleInvertedPendulum_1,502,optimal,0.000295272,0.003698686,0.003993958,370.483247983587,13
spacecraft_2,1137,optimal,0.000675839,0.008418165,0.009094004,66.06156450489941,16
helicopter_1,201,optimal,0.000185477,0.00253882,0.0027242969999999997,3758.200027758507,21
spacecraft_1,1137,optimal,0.000674524,0.008464387,0.009138911,66.06156450489941,16
ballOnPlate_1,398,optimal,0.000305568,0.00269678,0.003002348,3.378092540650158,10
shell_2,1469,optimal,0.001149033,0.029663224,0.030812257,32.054313208089255,16
dcMotor_5,1114,optimal,0.000568044,0.010506162,0.011074206,5502.071124704919,18
helicopter_2,1051,optimal,0.00068269,0.016089958,0.016772648,3903.7743828707653,23
springMass_1,21239,optimal,0.011803898,0.373625794,0.385429692,9199.962633202073,24
forcesExample_3,189,optimal,0.000190089,0.002011942,0.002202031,93.90442039075322,17
aircraft_12,636,optimal,0.000372437,0.006990641,0.0073630779999999995,68733.42900501107,23
springMass_2,2159,optimal,0.000977332,0.023315746,0.024293078,2083.880092412085,21
quadcopter_1,1592,optimal,0.000930982,0.010294428,0.01122541,28.011081067937074,12
aircraft_2,524,optimal,0.000324382,0.003950348,0.00427473,6773.813190399875,17
fiordosExample_3,119,optimal_inaccurate,,,,,
fiordosExample_1,119,optimal,0.00013485,0.000955945,0.001090795,39.563153342153335,12
dcMotor_4,5514,optimal,0.002623467,0.05284124,0.055464706999999995,361814.1097113651,17
springMass_3,2144,optimal,0.000967759,0.022928939,0.023896697999999997,1767.1933048176918,21
shell_1,739,optimal,0.00059734,0.009276725,0.009874065,32.05265831344763,15
aircraft_3,464,optimal,0.000269699,0.003255807,0.003525506,4420.854642543401,14
fiordosExample_2,139,optimal,0.000154016,0.001347992,0.001502008,41.68862876895376,15
quadcopter_2,3172,optimal,0.001709355,0.021629038,0.023338393,28.049843751178724,13
nonlinearCstr_3,294,optimal,0.000193792,0.00189561,0.002089402,2191.1132968922657,16
quadcopter_5,3072,optimal_inaccurate,,,,,
ballOnPlate_2,398,optimal,0.000315308,0.003189419,0.003504727,3.9544209890947206,12
binaryDistillationColumn_1,2936,optimal,0.001008591,0.020232695,0.021241285999999998,967.0133230941448,17
forcesExample_4,369,optimal,0.000286902,0.003571189,0.0038580909999999997,44.39323386209922,15
tripleInvertedPendulum_1,2739,optimal,0.0011487,0.026342353,0.027491052999999998,835.3724521546023,19
helicopter_3,536,optimal,0.000406492,0.008081619,0.008488111,4132.033650273639,22
aircraft_4,504,optimal,0.000294142,0.003908553,0.004202695,6767.291272810942,15
quadcopter_4,3172,optimal,0.001716503,0.030927893,0.032644396,21.146832797065215,15
aircraft_10,584,optimal,0.000311235,0.004147159,0.004458394,6767.291271978755,15
toyExample_2,389,optimal,0.000289828,0.004441802,0.00473163,2950.075870355663,18
dcMotor_2,1114,optimal,0.000565618,0.009933268,0.010498886,34354.88164483005,17
quadcopter_6,1678,optimal,0.001016369,0.016168701,0.01718507,212.3205330450167,15
nonlinearCstr_2,1164,optimal,0.000580692,0.00795564,0.008536332,2493.0405675724305,17
tripleInvertedPendulum_3,2919,optimal,0.001251772,0.029720047,0.030971818999999998,835.8298238069774,19
dcMotor_1,564,optimal,0.000322531,0.004515375,0.004837906,34587.350956491304,15
pendulum_3,155,optimal,0.000147183,0.000930001,0.001077184,19.13507785454238,10
