,size,status,setup_time,solve_time,run_time,obj,iters
nonlinearCstr_1,1164,optimal,0.0,0.005178213119506836,0.005178213119506836,2493.0405317235463,11.0
aircraft_13,3116,optimal,0.0,0.011098861694335938,0.011098861694335938,101232.75036640977,11.0
aircraft_11,636,optimal,0.0,0.0035271644592285156,0.0035271644592285156,68733.42972846197,9.0
ballOnPlate_4,658,optimal,0.0,0.00426793098449707,0.00426793098449707,56.19040858782606,11.0
toyExample_5,1909,optimal,0.0,0.014019012451171875,0.014019012451171875,855791.2986108173,16.0
binaryDistillationColumn_2,2936,optimal,0.0,0.011057138442993164,0.011057138442993164,967.0133040161238,12.0
toyExample_3,199,optimal,0.0,0.0028650760650634766,0.0028650760650634766,831801.4715184049,8.0
springMass_4,4279,optimal,0.0,0.015768051147460938,0.015768051147460938,2086.3626070919354,10.0
pendulum_2,432,optimal,0.0,0.003871917724609375,0.003871917724609375,50.65227772351331,14.0
doubleInvertedPendulum_3,542,optimal,0.0,0.004302978515625,0.004302978515625,370.4808766003009,11.0
shell_3,739,optimal,0.0,0.004858970642089844,0.004858970642089844,36.19251839294398,13.0
dcMotor_3,5514,optimal,0.0,0.028604984283447266,0.028604984283447266,65649.84279172127,15.0
aircraft_1,504,optimal,0.0,0.003401041030883789,0.003401041030883789,6767.286440623144,10.0
tripleInvertedPendulum_2,2919,optimal,0.0,0.013797998428344727,0.013797998428344727,835.3697188155038,13.0
quadcopter_3,7912,optimal,0.0,0.04018402099609375,0.04018402099609375,28.052313654977162,14.0
dcMotor_6,1114,optimal,0.0,0.006201982498168945,0.006201982498168945,10959.521826135806,11.0
doubleInvertedPendulum_2,502,optimal,0.0,0.004393100738525391,0.004393100738525391,175.31638838753705,12.0
toyExample_1,199,optimal,0.0,0.0029430389404296875,0.0029430389404296875,2950.0757747315893,9.0
ballOnPlate_3,398,optimal,0.0,0.0031099319458007812,0.0031099319458007812,46.013106890411244,9.0
pendulum_1,435,optimal,0.0,0.004096031188964844,0.004096031188964844,35.9975903496029,10.0
robotArm_1,276,optimal,0.0,0.0026378631591796875,0.0026378631591796875,136453.75967310622,9.0
toyExample_4,959,optimal,0.0,0.007827997207641602,0.007827997207641602,855791.2986103462,14.0
robotArm_2,1056,optimal,0.0,0.0062558650970458984,0.0062558650970458984,449918.5857627889,13.0
forcesExample_2,170,optimal,0.0,0.002595186233520508,0.002595186233520508,44.39554103875003,12.0
forcesExample_1,171,optimal,0.0,0.0029938220977783203,0.0029938220977783203,44.393233924860155,12.0
doubleInvertedPendulum_1,502,optimal,0.0,0.0041179656982421875,0.0041179656982421875,370.4808768767276,10.0
spacecraft_2,1137,optimal,0.0,0.004920005798339844,0.004920005798339844,66.06156463544083,10.0
helicopter_1,201,optimal,0.0,0.002794027328491211,0.002794027328491211,3758.1994782530437,8.0
spacecraft_1,1137,optimal,0.0,0.004930973052978516,0.004930973052978516,66.06156463544083,10.0
ballOnPlate_1,398,optimal,0.0,0.0033500194549560547,0.0033500194549560547,3.37809254260351,12.0
shell_2,1469,optimal,0.0,0.009063959121704102,0.009063959121704102,32.05431326951708,11.0
dcMotor_5,1114,optimal,0.0,0.006955146789550781,0.006955146789550781,5502.075020318573,15.0
helicopter_2,1051,optimal,0.0,0.008142948150634766,0.008142948150634766,3903.777642855398,12.0
springMass_1,21239,optimal,0.0,0.10139608383178711,0.10139608383178711,9199.761042405748,17.0
forcesExample_3,189,optimal,0.0,0.0029349327087402344,0.0029349327087402344,93.90444930222738,10.0
aircraft_12,636,optimal,0.0,0.003571033477783203,0.003571033477783203,68733.42972846197,9.0
springMass_2,2159,optimal,0.0,0.009229898452758789,0.009229898452758789,2083.8788882395297,10.0
quadcopter_1,1592,optimal,0.0,0.008016109466552734,0.008016109466552734,28.011081056483164,12.0
aircraft_2,524,optimal,0.0,0.0033240318298339844,0.0033240318298339844,6773.790501974615,10.0
fiordosExample_3,119,optimal,0.0,0.002537965774536133,0.002537965774536133,22627.380353012864,10.0
fiordosExample_1,119,optimal,0.0,0.002604961395263672,0.002604961395263672,39.56315343454669,13.0
dcMotor_4,5514,optimal,0.0,0.027055978775024414,0.027055978775024414,361813.8773564217,14.0
springMass_3,2144,optimal,0.0,0.00775599479675293,0.00775599479675293,1767.1931939207398,10.0
shell_1,739,optimal,0.0,0.004578113555908203,0.004578113555908203,32.052658298011515,11.0
aircraft_3,464,optimal,0.0,0.0037550926208496094,0.0037550926208496094,4420.848585353267,16.0
fiordosExample_2,139,optimal,0.0,0.00257110595703125,0.00257110595703125,41.68863014213183,11.0
quadcopter_2,3172,optimal,0.0,0.01692795753479004,0.01692795753479004,28.049843751293583,14.0
nonlinearCstr_3,294,optimal,0.0,0.0024940967559814453,0.0024940967559814453,2191.1132838202916,9.0
quadcopter_5,3072,optimal,0.0,0.03745698928833008,0.03745698928833008,2549223.0566816903,41.0
ballOnPlate_2,398,optimal,0.0,0.003183126449584961,0.003183126449584961,3.9544218567836706,10.0
binaryDistillationColumn_1,2936,optimal,0.0,0.011044025421142578,0.011044025421142578,967.0133040161238,12.0
forcesExample_4,369,optimal,0.0,0.00429987907409668,0.00429987907409668,44.39323391924689,12.0
