,size,status,setup_time,solve_time,run_time,obj,iters
nonlinearCstr_1,1164,optimal,0.0,0.014020759999766597,0.014020759999766597,2493.0407060763946,11
aircraft_13,3116,optimal,0.0,0.07581879700046557,0.07581879700046557,101232.75100632382,18
aircraft_11,636,optimal,0.0,0.009097703999941587,0.009097703999941587,68733.43232561114,14
ballOnPlate_4,658,optimal,0.0,0.011255019000600441,0.011255019000600441,56.19036442228563,16
toyExample_5,1909,optimal,0.0,0.043965629000012996,0.043965629000012996,855791.1894227088,16
binaryDistillationColumn_2,2936,optimal,0.0,0.023787981999703334,0.023787981999703334,967.0132939530696,8
toyExample_3,199,optimal,0.0,0.0068724440006917575,0.0068724440006917575,831801.4057166734,16
springMass_4,4279,optimal,0.0,0.10208485200018913,0.10208485200018913,2086.3625755835264,23
pendulum_2,432,optimal,0.0,0.008476517999952193,0.008476517999952193,50.652262225659385,15
doubleInvertedPendulum_3,542,optimal,0.0,0.008764407999478863,0.008764407999478863,370.480863763774,15
shell_3,739,optimal,0.0,0.010319111001081183,0.010319111001081183,36.192517100416225,14
dcMotor_3,5514,optimal,0.0,0.07429824099926918,0.07429824099926918,65649.84320709483,20
aircraft_1,504,optimal,0.0,0.007069480998325162,0.007069480998325162,6767.286179129437,11
tripleInvertedPendulum_2,2919,optimal,0.0,0.04591966599946318,0.04591966599946318,835.3697402287045,13
quadcopter_3,7912,optimal,0.0,0.10297038899989275,0.10297038899989275,28.052313596056827,12
dcMotor_6,1114,optimal,0.0,0.010573888999715564,0.010573888999715564,10959.52192602976,11
doubleInvertedPendulum_2,502,optimal,0.0,0.00965864799945848,0.00965864799945848,175.31605966323824,18
toyExample_1,199,optimal,0.0,0.005113944000186166,0.005113944000186166,2950.0757478219375,11
ballOnPlate_3,398,optimal,0.0,0.007858536999265198,0.007858536999265198,46.01310667837161,14
pendulum_1,435,optimal,0.0,0.008177314999556984,0.008177314999556984,35.99758959268434,14
robotArm_1,276,optimal,0.0,0.005710184999770718,0.005710184999770718,136453.7599787272,14
