,size,status,setup_time,solve_time,run_time,obj,iters
nonlinearCstr_1,1164,QOCO_SOLVED,0.000371473,0.002151086,0.0025225589999999997,2493.0405319051392,9
aircraft_13,3116,QOCO_SOLVED,0.000951739,0.009050019,0.010001758,101232.75042760541,14
aircraft_11,636,QOCO_SOLVED,0.000267495,0.001524006,0.001791501,68733.42973613465,11
ballOnPlate_4,658,QOCO_SOLVED,0.000296179,0.001385935,0.001682114,56.19040909972838,8
toyExample_5,1909,QOCO_SOLVED,0.000583396,0.003622815,0.0042062110000000005,855791.2988228498,9
binaryDistillationColumn_2,2936,QOCO_SOLVED,0.000692912,0.005060768,0.005753680000000001,967.0133033375324,9
toyExample_3,199,QOCO_SOLVED,0.00012472,0.000275198,0.000399918,831801.4859018803,6
springMass_4,4279,QOCO_SOLVED,0.001383454,0.006464702,0.007848156,2086.3625822055196,7
pendulum_2,432,QOCO_SOLVED,0.000235902,0.000714874,0.000950776,50.65227738315055,8
doubleInvertedPendulum_3,542,QOCO_SOLVED,0.000235828,0.000637821,0.000873649,370.4808777563745,5
shell_3,739,QOCO_SOLVED,0.000441565,0.002552782,0.002994347,36.19251873793209,10
dcMotor_3,5514,QOCO_SOLVED,0.001684058,0.010342773,0.012026831,65649.88523662766,8
aircraft_1,504,QOCO_SOLVED,0.000236014,0.000956128,0.001192142,6767.286461604765,8
tripleInvertedPendulum_2,2919,QOCO_SOLVED,0.000883389,0.004247507,0.005130896,835.3698837482996,7
quadcopter_3,7912,QOCO_SOLVED,0.003128511,0.017948807,0.021077318,28.05231365487011,7
dcMotor_6,1114,QOCO_SOLVED,0.000436324,0.001595949,0.002032273,10954.018880257281,6
doubleInvertedPendulum_2,502,QOCO_SOLVED,0.00021994,0.000842687,0.001062627,175.31638775254441,8
toyExample_1,199,QOCO_SOLVED,0.000130757,0.000273643,0.0004044,2950.075827416487,6
ballOnPlate_3,398,QOCO_SOLVED,0.000209347,0.000737781,0.000947128,46.0131068646007,7
pendulum_1,435,QOCO_SOLVED,0.000200293,0.000572693,0.000772986,35.99759029266441,6
robotArm_1,276,QOCO_SOLVED,0.000175978,0.000372307,0.000548285,136453.75970461915,5
toyExample_4,959,QOCO_SOLVED,0.000346234,0.001850852,0.002197086,855791.2988210998,9
robotArm_2,1056,QOCO_SOLVED,0.000458195,0.002533561,0.002991756,449918.58789648494,10
forcesExample_2,170,QOCO_SOLVED,0.000118164,0.000277679,0.000395843,44.39554098730944,7
forcesExample_1,171,QOCO_SOLVED,0.000123812,0.000284624,0.000408436,44.393233923007934,7
doubleInvertedPendulum_1,502,QOCO_SOLVED,0.000256495,0.000551656,0.000808151,370.4808775153405,5
spacecraft_2,1137,QOCO_SOLVED,0.000453546,0.00236186,0.002815406,66.06156468239114,9
helicopter_1,201,QOCO_SOLVED,0.000151423,0.000212663,0.000364086,3758.1994831917928,4
spacecraft_1,1137,QOCO_SOLVED,0.000438991,0.00232899,0.002767981,66.06156468239114,9
ballOnPlate_1,398,QOCO_SOLVED,0.000207292,0.000758263,0.000965555,3.37809254261741,7
shell_2,1469,QOCO_SOLVED,0.000747244,0.003666075,0.004413319,32.05431325092485,7
dcMotor_5,1114,QOCO_SOLVED,0.000431102,0.002098032,0.002529134,5505.689772745208,8
helicopter_2,1051,QOCO_SOLVED,0.000515397,0.001595376,0.002110773,3903.7776426548717,6
springMass_1,21239,QOCO_SOLVED,0.006852049,0.059548205,0.066400254,9199.758417484682,10
forcesExample_3,189,QOCO_SOLVED,0.000127794,0.00040077,0.000528564,93.90444940335182,9
aircraft_12,636,QOCO_SOLVED,0.000272625,0.001524322,0.0017969470000000001,68733.42973613465,11
springMass_2,2159,QOCO_SOLVED,0.000660802,0.002829852,0.003490654,2083.878903942667,6
quadcopter_1,1592,QOCO_SOLVED,0.00070056,0.00326101,0.00396157,28.011081047874338,7
aircraft_2,524,QOCO_SOLVED,0.000237754,0.000918723,0.001156477,6773.790524724394,8
fiordosExample_3,119,QOCO_SOLVED,0.000111109,0.000291124,0.000402233,22627.380668985013,10
fiordosExample_1,119,QOCO_SOLVED,0.000109775,0.000238032,0.000347807,39.5631534351479,8
dcMotor_4,5514,QOCO_SOLVED,0.001794743,0.010317335,0.012112078,361813.87971615186,8
springMass_3,2144,QOCO_SOLVED,0.000735874,0.002397064,0.003132938,1767.1932056620385,5
