,size,status,setup_time,solve_time,run_time,obj,iters
nonlinearCstr_1,1164,optimal,,0.001570505,0.001570505,2493.0405319080787,9
aircraft_13,3116,optimal,,0.007724694,0.007724694,101232.75042760556,14
aircraft_11,636,optimal,,0.001089274,0.001089274,68733.42973613468,11
ballOnPlate_4,658,optimal,,0.000994646,0.000994646,56.19040909972841,8
toyExample_5,1909,optimal,,0.002790647,0.002790647,855791.2988228484,9
binaryDistillationColumn_2,2936,optimal,,0.011313178,0.011313178,967.0133033375326,9
toyExample_3,199,optimal,,0.000163848,0.000163848,831801.4859018796,6
springMass_4,4279,optimal,,0.011002407,0.011002407,2086.362582205527,7
pendulum_2,432,optimal,,0.00044938,0.00044938,50.65227738315054,8
doubleInvertedPendulum_3,542,optimal,,0.00042151,0.00042151,370.4808777563739,5
shell_3,739,optimal,,0.001775038,0.001775038,36.19251873793209,10
dcMotor_3,5514,optimal,,0.018401406,0.018401406,65649.88523993346,8
aircraft_1,504,optimal,,0.000617395,0.000617395,6767.286461604485,8
tripleInvertedPendulum_2,2919,optimal,,0.003464005,0.003464005,835.3698837482328,7
quadcopter_3,7912,optimal,,0.046777061,0.046777061,28.052313654870133,7
dcMotor_6,1114,optimal,,0.001116311,0.001116311,10954.01888022827,6
doubleInvertedPendulum_2,502,optimal,,0.000540044,0.000540044,175.3163877525445,8
toyExample_1,199,optimal,,0.000162459,0.000162459,2950.075827416488,6
ballOnPlate_3,398,optimal,,0.000487916,0.000487916,46.01310686460075,7
pendulum_1,435,optimal,,0.000360123,0.000360123,35.99759029266436,6
robotArm_1,276,optimal,,0.000261161,0.000261161,136453.75970461924,5
toyExample_4,959,optimal,,0.001376157,0.001376157,855791.2988210984,9
robotArm_2,1056,optimal,,0.001846315,0.001846315,449918.5878964849,10
forcesExample_2,170,optimal,,0.000162275,0.000162275,44.39554098730941,7
forcesExample_1,171,optimal,,0.0001647,0.0001647,44.393233923007934,7
doubleInvertedPendulum_1,502,optimal,,0.000344438,0.000344438,370.48087751533967,5
spacecraft_2,1137,optimal,,0.001729466,0.001729466,66.06156468239128,9
helicopter_1,201,optimal,,0.000120534,0.000120534,3758.199483191793,4
spacecraft_1,1137,optimal,,0.001723447,0.001723447,66.06156468239128,9
ballOnPlate_1,398,optimal,,0.000492323,0.000492323,3.3780925426174098,7
shell_2,1469,optimal,,0.002934349,0.002934349,32.054313250924835,7
dcMotor_5,1114,optimal,,0.001485711,0.001485711,5505.689794595273,8
helicopter_2,1051,optimal,,0.001146366,0.001146366,3903.7776426548717,6
springMass_1,21239,optimal,,0.130573274,0.130573274,9199.75841748479,10
forcesExample_3,189,optimal,,0.000228384,0.000228384,93.90444940335185,9
aircraft_12,636,optimal,,0.001062091,0.001062091,68733.42973613468,11
springMass_2,2159,optimal,,0.002381657,0.002381657,2083.878903942661,6
quadcopter_1,1592,optimal,,0.002430156,0.002430156,28.011081047874296,7
aircraft_2,524,optimal,,0.000631876,0.000631876,6773.790524724389,8
fiordosExample_3,119,optimal,,0.000162238,0.000162238,22627.38066898506,10
fiordosExample_1,119,optimal,,0.000130516,0.000130516,39.563153435147946,8
dcMotor_4,5514,optimal,,0.018995183,0.018995183,361813.8797162012,8
springMass_3,2144,optimal,,0.001827261,0.001827261,1767.1932056620374,5
shell_1,739,optimal,,0.001132626,0.001132626,32.0526589827992,6
aircraft_3,464,optimal,,0.000460213,0.000460213,4420.848558305318,7
fiordosExample_2,139,optimal,,0.000151757,0.000151757,41.68863027535442,7
quadcopter_2,3172,optimal,,0.012439385,0.012439385,28.049843752255228,7
nonlinearCstr_3,294,optimal,,0.000266865,0.000266865,2191.1132863675866,7
quadcopter_5,3072,failed,,,,,
ballOnPlate_2,398,optimal,,0.000494249,0.000494249,3.9544210022597253,7
binaryDistillationColumn_1,2936,optimal,,0.011314704,0.011314704,967.0133033375326,9
forcesExample_4,369,optimal,,0.0003719,0.0003719,44.3932339240449,7
tripleInvertedPendulum_1,2739,optimal,,0.003204549,0.003204549,835.3698016536488,7
helicopter_3,536,optimal,,0.000467213,0.000467213,4132.033423690094,5
aircraft_4,504,optimal,,0.000622302,0.000622302,6767.286461604485,8
quadcopter_4,3172,optimal,,0.017705801,0.017705801,21.14683278988608,10
aircraft_10,584,optimal,,0.000765115,0.000765115,6767.286461604484,8
toyExample_2,389,optimal,,0.000335346,0.000335346,2950.0758445494175,6
dcMotor_2,1114,optimal,,0.001493341,0.001493341,34354.90098729258,8
quadcopter_6,1678,optimal,,0.002418545,0.002418545,212.32053130901102,7
nonlinearCstr_2,1164,optimal,,0.001559951,0.001559951,2493.0405319080787,9
tripleInvertedPendulum_3,2919,optimal,,0.004348062,0.004348062,835.8364735376471,8
dcMotor_1,564,optimal,,0.000621451,0.000621451,34587.53917740228,7
pendulum_3,155,optimal,,9.7665e-05,9.7665e-05,19.135074866748813,5
