,size,status,setup_time,solve_time,run_time,obj,iters
oscillating_masses_N_8_i_0,1344,optimal,0.0,0.000491312,0.000491312,447.29929171915734,5
oscillating_masses_N_8_i_1,1344,optimal,0.0,0.000477282,0.000477282,283.77803476337147,5
oscillating_masses_N_8_i_2,1344,optimal,0.0,0.000475933,0.000475933,429.36856857090436,5
oscillating_masses_N_8_i_3,1344,optimal,0.0,0.000474242,0.000474242,143.03501972376506,5
oscillating_masses_N_8_i_4,1344,optimal,0.0,0.000490783,0.000490783,350.3333545590365,5
oscillating_masses_N_8_i_5,1344,optimal,0.0,0.000474392,0.000474392,305.65413998840654,5
oscillating_masses_N_8_i_6,1344,optimal,0.0,0.000832364,0.000832364,714.1937458466463,10
oscillating_masses_N_8_i_7,1344,optimal,0.0,0.000480892,0.000480892,235.47483396438864,5
oscillating_masses_N_8_i_8,1344,optimal,0.0,0.000478263,0.000478263,339.9994434682389,5
oscillating_masses_N_8_i_9,1344,optimal,0.0,0.000477322,0.000477322,87.69336722222691,5
oscillating_masses_N_8_i_10,1344,optimal,0.0,0.000476412,0.000476412,87.56459499985068,5
oscillating_masses_N_8_i_11,1344,optimal,0.0,0.000481902,0.000481902,88.77284470293563,5
oscillating_masses_N_8_i_12,1344,optimal,0.0,0.000481022,0.000481022,196.76191382296528,5
oscillating_masses_N_8_i_13,1344,optimal,0.0,0.000475072,0.000475072,64.88961432688698,5
oscillating_masses_N_8_i_14,1344,optimal,0.0,0.000481262,0.000481262,266.12371539555716,5
oscillating_masses_N_8_i_15,1344,optimal,0.0,0.000476672,0.000476672,250.32165902825702,5
oscillating_masses_N_8_i_16,1344,optimal,0.0,0.000551683,0.000551683,313.86406850933446,6
oscillating_masses_N_8_i_17,1344,optimal,0.0,0.000474942,0.000474942,197.63540959753004,5
oscillating_masses_N_8_i_18,1344,optimal,0.0,0.000477053,0.000477053,409.4688821001597,5
oscillating_masses_N_8_i_19,1344,optimal,0.0,0.000481802,0.000481802,410.83549335020916,5
oscillating_masses_N_20_i_0,3312,optimal,0.0,0.001104136,0.001104136,564.129022963098,5
oscillating_masses_N_20_i_1,3312,optimal,0.0,0.001170256,0.001170256,308.5963995294136,5
oscillating_masses_N_20_i_2,3312,optimal,0.0,0.001150526,0.001150526,149.41078620398645,5
oscillating_masses_N_20_i_3,3312,optimal,0.0,0.001445977,0.001445977,464.7552028981829,7
oscillating_masses_N_20_i_4,3312,optimal,0.0,0.001508028,0.001508028,664.5771038741785,7
oscillating_masses_N_20_i_5,3312,optimal,0.0,0.001127376,0.001127376,330.0411591752544,5
oscillating_masses_N_20_i_6,3312,optimal,0.0,0.001144776,0.001144776,259.40764540833135,5
oscillating_masses_N_20_i_7,3312,optimal,0.0,0.001152116,0.001152116,412.9066882084886,5
oscillating_masses_N_20_i_8,3312,optimal,0.0,0.001158826,0.001158826,406.7605970372089,5
oscillating_masses_N_20_i_9,3312,optimal,0.0,0.001130396,0.001130396,248.07285391338826,5
oscillating_masses_N_20_i_10,3312,optimal,0.0,0.001142826,0.001142826,300.313932338977,5
oscillating_masses_N_20_i_11,3312,optimal,0.0,0.001143826,0.001143826,256.31991165147684,5
oscillating_masses_N_20_i_12,3312,optimal,0.0,0.001175116,0.001175116,336.55726989647104,5
oscillating_masses_N_20_i_13,3312,optimal,0.0,0.001117256,0.001117256,216.65161283668675,5
oscillating_masses_N_20_i_14,3312,optimal,0.0,0.001108816,0.001108816,258.17594696692584,5
oscillating_masses_N_20_i_15,3312,optimal,0.0,0.001128946,0.001128946,383.77175774334626,5
oscillating_masses_N_20_i_16,3312,optimal,0.0,0.001130686,0.001130686,191.17565445147574,5
oscillating_masses_N_20_i_17,3312,optimal,0.0,0.001149606,0.001149606,535.5482488721983,5
oscillating_masses_N_20_i_18,3312,optimal,0.0,0.001129056,0.001129056,166.20185602431366,5
oscillating_masses_N_20_i_19,3312,optimal,0.0,0.001093646,0.001093646,467.53617754578175,5
oscillating_masses_N_32_i_0,5280,optimal,0.0,0.001789159,0.001789159,299.6827399399743,5
oscillating_masses_N_32_i_1,5280,optimal,0.0,0.001811179,0.001811179,325.83793094579823,5
oscillating_masses_N_32_i_2,5280,optimal,0.0,0.001784919,0.001784919,185.75571697368667,5
oscillating_masses_N_32_i_3,5280,optimal,0.0,0.002260992,0.002260992,83.58300927851533,7
oscillating_masses_N_32_i_4,5280,optimal,0.0,0.002853275,0.002853275,966.5824218668225,9
oscillating_masses_N_32_i_5,5280,optimal,0.0,0.001767959,0.001767959,327.58882334707863,5
oscillating_masses_N_32_i_6,5280,optimal,0.0,0.00197023,0.00197023,164.24939261726345,6
oscillating_masses_N_32_i_7,5280,optimal,0.0,0.002017601,0.002017601,314.99928551203465,6
oscillating_masses_N_32_i_8,5280,optimal,0.0,0.00181993,0.00181993,266.42102430075755,5
oscillating_masses_N_32_i_9,5280,optimal,0.0,0.00178281,0.00178281,102.03714752080944,5
oscillating_masses_N_32_i_10,5280,optimal,0.0,0.002042191,0.002042191,206.3741144515141,6
oscillating_masses_N_32_i_11,5280,optimal,0.0,0.001788159,0.001788159,235.24594029392867,5
oscillating_masses_N_32_i_12,5280,optimal,0.0,0.001766729,0.001766729,69.96122572000216,5
oscillating_masses_N_32_i_13,5280,optimal,0.0,0.001791679,0.001791679,350.52589843172814,5
oscillating_masses_N_32_i_14,5280,optimal,0.0,0.001992461,0.001992461,67.0897353186186,6
oscillating_masses_N_32_i_15,5280,optimal,0.0,0.001785749,0.001785749,183.49861026888513,5
oscillating_masses_N_32_i_16,5280,optimal,0.0,0.001789389,0.001789389,232.21615790186692,5
oscillating_masses_N_32_i_17,5280,optimal,0.0,0.001753109,0.001753109,184.01382811037033,5
oscillating_masses_N_32_i_18,5280,optimal,0.0,0.001791349,0.001791349,450.7116854780546,5
oscillating_masses_N_32_i_19,5280,optimal,0.0,0.001805749,0.001805749,259.6264261082827,5
oscillating_masses_N_44_i_0,7248,optimal,0.0,0.002373913,0.002373913,80.85387678296787,5
oscillating_masses_N_44_i_1,7248,optimal,0.0,0.002767644,0.002767644,230.4455341404141,6
oscillating_masses_N_44_i_2,7248,optimal,0.0,0.002823415,0.002823415,156.03692283898133,6
oscillating_masses_N_44_i_3,7248,optimal,0.0,0.002467093,0.002467093,298.456023706326,5
oscillating_masses_N_44_i_4,7248,optimal,0.0,0.002413143,0.002413143,464.8442885872174,5
oscillating_masses_N_44_i_5,7248,optimal,0.0,0.002450793,0.002450793,118.50614987498936,5
oscillating_masses_N_44_i_6,7248,optimal,0.0,0.002867285,0.002867285,590.2692828527089,6
oscillating_masses_N_44_i_7,7248,optimal,0.0,0.002425843,0.002425843,146.88618696260963,5
oscillating_masses_N_44_i_8,7248,optimal,0.0,0.002453983,0.002453983,243.29005866662985,5
oscillating_masses_N_44_i_9,7248,optimal,0.0,0.002445763,0.002445763,157.06916490381067,5
oscillating_masses_N_44_i_10,7248,optimal,0.0,0.002517744,0.002517744,334.8948100879644,5
oscillating_masses_N_44_i_11,7248,optimal,0.0,0.002399613,0.002399613,145.02545835085752,5
oscillating_masses_N_44_i_12,7248,optimal,0.0,0.002409803,0.002409803,189.8924229230773,5
oscillating_masses_N_44_i_13,7248,optimal,0.0,0.002460184,0.002460184,176.71108810553216,5
oscillating_masses_N_44_i_14,7248,optimal,0.0,0.002493594,0.002493594,358.96343631169015,5
oscillating_masses_N_44_i_15,7248,optimal,0.0,0.002408493,0.002408493,258.7915671656718,5
oscillating_masses_N_44_i_16,7248,optimal,0.0,0.002445724,0.002445724,237.29021887298427,5
oscillating_masses_N_44_i_17,7248,optimal,0.0,0.002439153,0.002439153,337.58344977680224,5
oscillating_masses_N_44_i_18,7248,optimal,0.0,0.002452853,0.002452853,251.59643792650527,5
oscillating_masses_N_44_i_19,7248,optimal,0.0,0.002475263,0.002475263,231.46646344129613,5
oscillating_masses_N_56_i_0,9216,optimal,0.0,0.003121567,0.003121567,395.418504664071,5
oscillating_masses_N_56_i_1,9216,optimal,0.0,0.003033607,0.003033607,90.56971939669009,5
oscillating_masses_N_56_i_2,9216,optimal,0.0,0.003032867,0.003032867,90.92090532613167,5
oscillating_masses_N_56_i_3,9216,optimal,0.0,0.003190718,0.003190718,357.1850575885804,5
oscillating_masses_N_56_i_4,9216,optimal,0.0,0.003151297,0.003151297,297.4544604238329,5
oscillating_masses_N_56_i_5,9216,optimal,0.0,0.004066272,0.004066272,244.51570628125543,7
oscillating_masses_N_56_i_6,9216,optimal,0.0,0.003133167,0.003133167,214.93374044034883,5
oscillating_masses_N_56_i_7,9216,optimal,0.0,0.003123527,0.003123527,306.7092426757849,5
oscillating_masses_N_56_i_8,9216,optimal,0.0,0.003119517,0.003119517,343.0388138068788,5
oscillating_masses_N_56_i_9,9216,optimal,0.0,0.003541869,0.003541869,308.85146509887113,6
oscillating_masses_N_56_i_10,9216,optimal,0.0,0.003132887,0.003132887,382.0776503466538,5
oscillating_masses_N_56_i_11,9216,optimal,0.0,0.003113287,0.003113287,261.7256353398339,5
oscillating_masses_N_56_i_12,9216,optimal,0.0,0.003111407,0.003111407,276.70878214392644,5
oscillating_masses_N_56_i_13,9216,optimal,0.0,0.003107577,0.003107577,202.27609942186598,5
oscillating_masses_N_56_i_14,9216,optimal,0.0,0.003106737,0.003106737,142.3165661989773,5
oscillating_masses_N_56_i_15,9216,optimal,0.0,0.00356788,0.00356788,354.7808408789173,6
oscillating_masses_N_56_i_16,9216,optimal,0.0,0.003114637,0.003114637,266.31433338435266,5
oscillating_masses_N_56_i_17,9216,optimal,0.0,0.003525969,0.003525969,311.07373082393593,6
oscillating_masses_N_56_i_18,9216,optimal,0.0,0.003121057,0.003121057,313.1843539420618,5
oscillating_masses_N_56_i_19,9216,optimal,0.0,0.004219243,0.004219243,752.1097485835417,7
oscillating_masses_N_76_i_0,12496,optimal,0.0,0.004170522,0.004170522,141.0193650103934,5
oscillating_masses_N_76_i_1,12496,optimal,0.0,0.004905367,0.004905367,319.7440584772239,6
oscillating_masses_N_76_i_2,12496,optimal,0.0,0.004245873,0.004245873,266.4747781983228,5
oscillating_masses_N_76_i_3,12496,optimal,0.0,0.004304304,0.004304304,124.2609408437015,5
oscillating_masses_N_76_i_4,12496,optimal,0.0,0.004180493,0.004180493,371.1241917820863,5
oscillating_masses_N_76_i_5,12496,optimal,0.0,0.004274334,0.004274334,162.62996786259723,5
oscillating_masses_N_76_i_6,12496,optimal,0.0,0.004238843,0.004238843,216.71277630265456,5
oscillating_masses_N_76_i_7,12496,optimal,0.0,0.004191492,0.004191492,196.09630569212553,5
oscillating_masses_N_76_i_8,12496,optimal,0.0,0.004879416,0.004879416,200.83539757434838,6
oscillating_masses_N_76_i_9,12496,optimal,0.0,0.004230723,0.004230723,250.38238693291873,5
oscillating_masses_N_76_i_10,12496,optimal,0.0,0.004657635,0.004657635,164.34485247830744,6
oscillating_masses_N_76_i_11,12496,optimal,0.0,0.004229753,0.004229753,204.22502986035482,5
oscillating_masses_N_76_i_12,12496,optimal,0.0,0.005432969,0.005432969,749.7186345476334,7
oscillating_masses_N_76_i_13,12496,optimal,0.0,0.00550077,0.00550077,299.39814724034517,7
oscillating_masses_N_76_i_14,12496,optimal,0.0,0.004240893,0.004240893,447.915057986192,5
oscillating_masses_N_76_i_15,12496,optimal,0.0,0.004247743,0.004247743,156.52656540663136,5
oscillating_masses_N_76_i_16,12496,optimal,0.0,0.004265674,0.004265674,96.3499945029031,5
oscillating_masses_N_76_i_17,12496,optimal,0.0,0.004287643,0.004287643,345.02022387131143,5
oscillating_masses_N_76_i_18,12496,optimal,0.0,0.004214493,0.004214493,505.94561329867366,5
oscillating_masses_N_76_i_19,12496,optimal,0.0,0.004201653,0.004201653,191.32525718441988,5
oscillating_masses_N_96_i_0,15776,optimal,0.0,0.005369859,0.005369859,149.8609737364187,5
oscillating_masses_N_96_i_1,15776,optimal,0.0,0.006177764,0.006177764,449.2603752540638,6
oscillating_masses_N_96_i_2,15776,optimal,0.0,0.005276979,0.005276979,129.2178469475388,5
oscillating_masses_N_96_i_3,15776,optimal,0.0,0.005297989,0.005297989,147.97012555389642,5
oscillating_masses_N_96_i_4,15776,optimal,0.0,0.005260378,0.005260378,45.240130708343436,5
oscillating_masses_N_96_i_5,15776,optimal,0.0,0.005349689,0.005349689,362.22636785885624,5
oscillating_masses_N_96_i_6,15776,optimal,0.0,0.005361279,0.005361279,179.1560745410665,5
oscillating_masses_N_96_i_7,15776,optimal,0.0,0.00543042,0.00543042,455.5347375861915,5
oscillating_masses_N_96_i_8,15776,optimal,0.0,0.00552277,0.00552277,300.87371641132506,5
oscillating_masses_N_96_i_9,15776,optimal,0.0,0.005363698,0.005363698,193.0580549289177,5
oscillating_masses_N_96_i_10,15776,optimal,0.0,0.00588749,0.00588749,78.50790899575588,6
oscillating_masses_N_96_i_11,15776,optimal,0.0,0.006076991,0.006076991,507.16608477598356,6
oscillating_masses_N_96_i_12,15776,optimal,0.0,0.005270167,0.005270167,190.51570385907067,5
oscillating_masses_N_96_i_13,15776,optimal,0.0,0.005307667,0.005307667,361.91637774849033,5
oscillating_masses_N_96_i_14,15776,optimal,0.0,0.005337708,0.005337708,356.2437244941225,5
oscillating_masses_N_96_i_15,15776,optimal,0.0,0.006029922,0.006029922,508.0831920638047,6
oscillating_masses_N_96_i_16,15776,optimal,0.0,0.005425769,0.005425769,230.12363873548807,5
oscillating_masses_N_96_i_17,15776,optimal,0.0,0.005290788,0.005290788,163.27981559905126,5
oscillating_masses_N_96_i_18,15776,optimal,0.0,0.005172087,0.005172087,54.52747188018103,5
oscillating_masses_N_96_i_19,15776,optimal,0.0,0.005273187,0.005273187,179.6098008149642,5
oscillating_masses_N_116_i_0,19056,optimal,0.0,0.006450044,0.006450044,330.5353109782785,5
oscillating_masses_N_116_i_1,19056,optimal,0.0,0.007227338,0.007227338,238.59937869154246,6
