,size,status,setup_time,solve_time,run_time,iters,obj
oscillating_masses_N_8_i_0,1344,optimal,,0.00015696,0.00015696,7,447.2992917191572
oscillating_masses_N_8_i_1,1344,optimal,,0.000125721,0.000125721,6,283.77803476320446
oscillating_masses_N_8_i_2,1344,optimal,,0.00013599,0.00013599,6,429.36856857056245
oscillating_masses_N_8_i_3,1344,optimal,,0.000126251,0.000126251,6,143.03501972375398
oscillating_masses_N_8_i_4,1344,optimal,,0.00014518,0.00014518,7,350.3333545390799
oscillating_masses_N_8_i_5,1344,optimal,,0.00013642,0.00013642,6,305.6541399881666
oscillating_masses_N_8_i_6,1344,optimal,,0.000220821,0.000220821,10,714.193744636913
oscillating_masses_N_8_i_7,1344,optimal,,0.000135841,0.000135841,6,235.47483396422507
oscillating_masses_N_8_i_8,1344,optimal,,0.00013382,0.00013382,6,339.99944346799725
oscillating_masses_N_8_i_9,1344,optimal,,0.00012596,0.00012596,6,87.6933672222158
oscillating_masses_N_8_i_10,1344,optimal,,0.00013647,0.00013647,6,87.56459499983568
oscillating_masses_N_8_i_11,1344,optimal,,0.000134361,0.000134361,6,88.77284470290252
oscillating_masses_N_8_i_12,1344,optimal,,0.000156451,0.000156451,7,196.7619138228762
oscillating_masses_N_8_i_13,1344,optimal,,0.00013488,0.00013488,6,64.88961432687638
oscillating_masses_N_8_i_14,1344,optimal,,0.00012442,0.00012442,6,266.1237153954453
oscillating_masses_N_8_i_15,1344,optimal,,0.000145821,0.000145821,7,250.32165902782285
oscillating_masses_N_8_i_16,1344,optimal,,0.0001677,0.0001677,8,313.86406843452136
oscillating_masses_N_8_i_17,1344,optimal,,0.00012546,0.00012546,6,197.6354095975066
oscillating_masses_N_8_i_18,1344,optimal,,0.000122001,0.000122001,6,409.4688820997744
oscillating_masses_N_8_i_19,1344,optimal,,0.000123441,0.000123441,6,410.83549334969206
oscillating_masses_N_20_i_0,3312,optimal,,0.000403612,0.000403612,7,564.1290229623357
oscillating_masses_N_20_i_1,3312,optimal,,0.000378402,0.000378402,7,308.5963995294137
oscillating_masses_N_20_i_2,3312,optimal,,0.000399552,0.000399552,7,149.41078620398625
oscillating_masses_N_20_i_3,3312,optimal,,0.000452051,0.000452051,8,464.75520289789984
oscillating_masses_N_20_i_4,3312,optimal,,0.000511612,0.000511612,9,664.5771019953497
oscillating_masses_N_20_i_5,3312,optimal,,0.000339222,0.000339222,6,330.04115917507295
oscillating_masses_N_20_i_6,3312,optimal,,0.000399772,0.000399772,7,259.4076454081341
oscillating_masses_N_20_i_7,3312,optimal,,0.000338381,0.000338381,6,412.9066882083911
oscillating_masses_N_20_i_8,3312,optimal,,0.000394862,0.000394862,7,406.76059703720927
oscillating_masses_N_20_i_9,3312,optimal,,0.000344881,0.000344881,6,248.07285391333096
oscillating_masses_N_20_i_10,3312,optimal,,0.000347371,0.000347371,6,300.31393233874223
oscillating_masses_N_20_i_11,3312,optimal,,0.000402802,0.000402802,7,256.3199116514768
oscillating_masses_N_20_i_12,3312,optimal,,0.000399601,0.000399601,7,336.55726989647155
oscillating_masses_N_20_i_13,3312,optimal,,0.000346042,0.000346042,6,216.6516128366598
oscillating_masses_N_20_i_14,3312,optimal,,0.000384911,0.000384911,6,258.17594696687024
oscillating_masses_N_20_i_15,3312,optimal,,0.000341791,0.000341791,6,383.7717577432488
oscillating_masses_N_20_i_16,3312,optimal,,0.000347181,0.000347181,6,191.17565445144413
oscillating_masses_N_20_i_17,3312,optimal,,0.000396221,0.000396221,7,535.5482488721836
oscillating_masses_N_20_i_18,3312,optimal,,0.000349611,0.000349611,6,166.2018560242479
oscillating_masses_N_20_i_19,3312,optimal,,0.000403942,0.000403942,7,467.53617754540926
