,size,status,setup_time,solve_time,run_time,obj,iters
oscillating_masses_N_8_i_0,1344,QOCO_SOLVED,7.192e-05,0.000193281,0.000265201,447.2992917191572,5
oscillating_masses_N_8_i_1,1344,QOCO_SOLVED,6.889e-05,0.00019039,0.00025927999999999997,283.778034763205,5
oscillating_masses_N_8_i_2,1344,QOCO_SOLVED,7.183e-05,0.00019896,0.00027079000000000003,429.36856857056273,5
oscillating_masses_N_8_i_3,1344,QOCO_SOLVED,6.826e-05,0.00018828,0.00025654,143.0350197237541,5
oscillating_masses_N_8_i_4,1344,QOCO_SOLVED,6.864e-05,0.00019046,0.00025909999999999996,350.3333545689475,5
oscillating_masses_N_8_i_5,1344,QOCO_SOLVED,6.771e-05,0.00019022,0.00025793,305.6541399881667,5
oscillating_masses_N_8_i_6,1344,QOCO_SOLVED,6.706e-05,0.000255091,0.000322151,714.1937454613306,7
oscillating_masses_N_8_i_7,1344,QOCO_SOLVED,6.969e-05,0.00018854,0.00025823,235.47483396422507,5
oscillating_masses_N_8_i_8,1344,QOCO_SOLVED,6.808e-05,0.000157831,0.00022591099999999997,339.9994434679972,4
oscillating_masses_N_8_i_9,1344,QOCO_SOLVED,6.908e-05,0.000192631,0.000261711,87.6933672222158,5
oscillating_masses_N_8_i_10,1344,QOCO_SOLVED,6.826e-05,0.00018929,0.00025755,87.5645949998358,5
oscillating_masses_N_8_i_11,1344,QOCO_SOLVED,6.957e-05,0.000189121,0.000258691,88.77284470290257,5
oscillating_masses_N_8_i_12,1344,QOCO_SOLVED,6.7981e-05,0.00018881,0.00025679100000000003,196.76191382287644,5
oscillating_masses_N_8_i_13,1344,QOCO_SOLVED,6.7401e-05,0.00019333,0.000260731,64.8896143268764,5
oscillating_masses_N_8_i_14,1344,QOCO_SOLVED,6.917e-05,0.000196371,0.000265541,266.1237153954451,5
oscillating_masses_N_8_i_15,1344,QOCO_SOLVED,6.99e-05,0.00019567,0.00026557,250.3216590278229,5
oscillating_masses_N_8_i_16,1344,QOCO_SOLVED,6.758e-05,0.00022258,0.00029016000000000003,313.86406845047946,6
oscillating_masses_N_8_i_17,1344,QOCO_SOLVED,6.762e-05,0.00019347,0.00026109,197.63540959750654,5
