,size,status,setup_time,solve_time,run_time,obj,iters
oscillating_masses_N_8_i_0,1344,optimal,,0.000139461,0.000139461,447.2992917191571,6
oscillating_masses_N_8_i_1,1344,optimal,,0.00013972,0.00013972,283.77803476320463,6
oscillating_masses_N_8_i_2,1344,optimal,,0.00013799,0.00013799,429.3685685705626,6
oscillating_masses_N_8_i_3,1344,optimal,,0.0001398,0.0001398,143.03501972375398,6
oscillating_masses_N_8_i_4,1344,optimal,,0.000138641,0.000138641,350.33335457406054,6
oscillating_masses_N_8_i_5,1344,optimal,,0.00013756,0.00013756,305.65413998816666,6
oscillating_masses_N_8_i_6,1344,optimal,,0.00018209,0.00018209,714.1937457702735,8
oscillating_masses_N_8_i_7,1344,optimal,,0.00015006,0.00015006,235.474833964225,6
oscillating_masses_N_8_i_8,1344,optimal,,0.00013958,0.00013958,339.99944346799754,6
oscillating_masses_N_8_i_9,1344,optimal,,0.000152021,0.000152021,87.69336722221578,6
oscillating_masses_N_8_i_10,1344,optimal,,0.000138101,0.000138101,87.56459499983569,6
oscillating_masses_N_8_i_11,1344,optimal,,0.00013696,0.00013696,88.77284470290253,6
oscillating_masses_N_8_i_12,1344,optimal,,0.00014014,0.00014014,196.76191382287627,6
oscillating_masses_N_8_i_13,1344,optimal,,0.00013265,0.00013265,64.88961432687637,6
oscillating_masses_N_8_i_14,1344,optimal,,0.00014125,0.00014125,266.1237153954452,6
oscillating_masses_N_8_i_15,1344,optimal,,0.000140341,0.000140341,250.3216590278228,6
oscillating_masses_N_8_i_16,1344,optimal,,0.00015862,0.00015862,313.86406843686706,7
oscillating_masses_N_8_i_17,1344,optimal,,0.00013876,0.00013876,197.63540959750665,6
oscillating_masses_N_8_i_18,1344,optimal,,0.00013982,0.00013982,409.4688820997744,6
oscillating_masses_N_8_i_19,1344,optimal,,0.00014738,0.00014738,410.8354933496922,6
oscillating_masses_N_20_i_0,3312,optimal,,0.000395791,0.000395791,564.1290229623356,6
oscillating_masses_N_20_i_1,3312,optimal,,0.000403241,0.000403241,308.59639952941393,6
oscillating_masses_N_20_i_2,3312,optimal,,0.000396901,0.000396901,149.41078620398628,6
oscillating_masses_N_20_i_3,3312,optimal,,0.000422691,0.000422691,464.75520289907763,7
oscillating_masses_N_20_i_4,3312,optimal,,0.000480291,0.000480291,664.5771024542763,8
oscillating_masses_N_20_i_5,3312,optimal,,0.00036623,0.00036623,330.04115917507255,6
oscillating_masses_N_20_i_6,3312,optimal,,0.000402421,0.000402421,259.40764540813416,6
oscillating_masses_N_20_i_7,3312,optimal,,0.000368691,0.000368691,412.90668820839096,6
oscillating_masses_N_20_i_8,3312,optimal,,0.000363071,0.000363071,406.7605970372094,6
oscillating_masses_N_20_i_9,3312,optimal,,0.000370781,0.000370781,248.07285391333096,6
oscillating_masses_N_20_i_10,3312,optimal,,0.000395531,0.000395531,300.31393233874235,6
oscillating_masses_N_20_i_11,3312,optimal,,0.000371911,0.000371911,256.3199116514768,6
oscillating_masses_N_20_i_12,3312,optimal,,0.000360801,0.000360801,336.5572698964709,6
oscillating_masses_N_20_i_13,3312,optimal,,0.000396801,0.000396801,216.6516128366599,6
oscillating_masses_N_20_i_14,3312,optimal,,0.000371621,0.000371621,258.17594696686996,6
oscillating_masses_N_20_i_15,3312,optimal,,0.000368071,0.000368071,383.77175774324905,6
oscillating_masses_N_20_i_16,3312,optimal,,0.000369221,0.000369221,191.1756544514442,6
oscillating_masses_N_20_i_17,3312,optimal,,0.000367511,0.000367511,535.5482488721835,6
oscillating_masses_N_20_i_18,3312,optimal,,0.000399891,0.000399891,166.2018560242478,6
oscillating_masses_N_20_i_19,3312,optimal,,0.000402451,0.000402451,467.5361775454092,6
oscillating_masses_N_32_i_0,5280,optimal,,0.000682422,0.000682422,299.68273993904995,6
oscillating_masses_N_32_i_1,5280,optimal,,0.000673262,0.000673262,325.83793094555796,6
oscillating_masses_N_32_i_2,5280,optimal,,0.000616052,0.000616052,185.7557169736223,6
oscillating_masses_N_32_i_3,5280,optimal,,0.000703512,0.000703512,83.58300927834915,7
oscillating_masses_N_32_i_4,5280,optimal,,0.000882323,0.000882323,966.5824219952302,9
oscillating_masses_N_32_i_5,5280,optimal,,0.000608462,0.000608462,327.5888233468537,6
oscillating_masses_N_32_i_6,5280,optimal,,0.000776442,0.000776442,164.24939261725015,7
oscillating_masses_N_32_i_7,5280,optimal,,0.000719132,0.000719132,314.99928552307426,7
oscillating_masses_N_32_i_8,5280,optimal,,0.000613562,0.000613562,266.4210243006635,6
