,status,setup_time,solve_time,run_time,obj
QGROW22,maximum iterations reached,0.003507218,0.338392686,0.341899904,-149667112.7560944
QSCFXM1,dual infeasible,0.000649939,0.000261478,0.000911417,-inf
AUG3D,solved,0.003122512,0.004452202,0.007574714,-782.4322736146912
QBORE3D,dual infeasible,0.000538413,0.000237693,0.0007761059999999999,-inf
QGROW15,maximum iterations reached,0.001256261,0.129135714,0.13039197500000002,-101669856.3902039
DUALC2,solved,5.0258e-05,7.2058e-05,0.000122316,3551.30791272295
DUAL3,solved,0.00078749,0.002046222,0.002833712,0.13575583283785775
ZECEVIC2,solved,1.4223e-05,8.399e-06,2.2622e-05,-21.12500001486121
QSHIP08S,dual infeasible,0.003548976,0.002171695,0.005720671,-inf
QSHIP04L,dual infeasible,0.001443525,0.00050932,0.001952845,-inf
QSHIP04S,dual infeasible,0.000920869,0.000390615,0.0013114840000000001,-inf
STADAT2,solved,0.001030124,0.026934438,0.027964562000000002,-36.45371915095016
QSCRS8,dual infeasible,0.000557951,0.000365654,0.000923605,-inf
HS51,solved,3.8142e-05,2.4906e-05,6.3048e-05,-5.999999999999997
AUG2DQP,solved,0.01912419,0.038448474,0.057572664,1677511.7529094212
QSHARE2B,dual infeasible,0.000112018,5.5778e-05,0.000167796,-inf
QSC205,solved,9.7495e-05,0.000128465,0.00022595999999999998,-0.02272727272715138
STADAT3,solved,0.002111948,0.06717059,0.069282538,-39.38461525527488
QSHELL,dual infeasible,0.008271485,0.058896962,0.06716844699999999,-inf
DPKLO1,solved,0.000335511,0.000568894,0.000904405,0.3700962174750899
MOSARQP1,solved,0.000524959,0.000529191,0.00105415,-2148.8060706700494
KSIP,solved,2.8279e-05,1.1624e-05,3.9903e-05,-1.7988697500000002
HS52,solved,1.7631e-05,1.0971e-05,2.8602e-05,-0.6733524354635844
STADAT1,solved,0.0010005,0.107770446,0.10877094600000001,-28711816.227629982
DUALC1,solved,5.7754e-05,0.000416438,0.000474192,6155.1321138305075
QBANDM,dual infeasible,0.000877072,0.000389313,0.001266385,-inf
QE226,dual infeasible,0.000321265,0.000150562,0.00047182699999999997,-inf
QFORPLAN,dual infeasible,0.001395731,0.000678229,0.00207396,-inf
QRECIPE,solved,0.000250518,0.002050062,0.00230058,-266.61600922742497
HS21,solved,1.078e-05,7.101e-06,1.7881e-05,0.04000000000376907
CVXQP1_S,solved,0.000278049,0.005877576,0.006155625,11590.71816339202
LISWET2,solved,0.00210623,0.002213136,0.004319366,-1691.9919030189267
LISWET6,solved,0.002093474,0.002193971,0.004287445,-2187.2241112951237
QSCAGR7,dual infeasible,0.000270013,0.000121002,0.000391015,-inf
LISWET11,solved,0.001628518,0.001697467,0.003325985,-2525.7499199940276
LASER,solved,0.000806419,0.002256452,0.003062871,2409601.3311974946
UBH1,dual infeasible,0.010666303,0.056849742,0.067516045,-inf
QSCFXM3,dual infeasible,0.001553818,0.00080414,0.002357958,-inf
CVXQP1_L,maximum iterations reached,1.660232786,33.917966215999996,35.578199002,108703110.76739159
CONT-101,maximum iterations reached,0.041615515,5.826070117,5.867685632000001,0.8797868166675785
QPCBOEI1,solved,0.000411202,0.00080792,0.001219122,9749312.802640362
QETAMACR,dual infeasible,0.001187215,0.00089043,0.002077645,-inf
DUAL1,solved,0.000335941,0.001237436,0.001573377,0.035012961589683554
QISRAEL,dual infeasible,8.2406e-05,4.7084e-05,0.00012949,-inf
HS35MOD,solved,1.4684e-05,7.877e-06,2.2561e-05,-8.750000000850754
QSEBA,dual infeasible,0.001109847,0.002978774,0.004088621,-inf
PRIMALC8,dual infeasible,0.000131288,6.3954e-05,0.00019524199999999999,-inf
QPCBLEND,solved,0.000101492,7.0563e-05,0.000172055,-0.34577373759603103
QBEACONF,dual infeasible,0.000561952,0.000251422,0.000813374,-inf
QPILOTNO,dual infeasible,0.003633472,0.001869453,0.0055029250000000005,-inf
TAME,solved,3.1994e-05,2.1385e-05,5.3379e-05,0.0
QFFFFF80,dual infeasible,0.001554621,0.001594484,0.003149105,-inf
QSCSD6,dual infeasible,0.001205732,0.000579733,0.001785465,-inf
S268,solved,1.7205e-05,1.0001e-05,2.7205999999999997e-05,-14462.99999999997
LISWET9,solved,0.002116616,0.002212776,0.004329392,-2525.2570423340044
HS268,solved,3.432e-05,2.3349e-05,5.766899999999999e-05,-14462.99999999997
HS76,solved,1.5895e-05,1.0538e-05,2.6433e-05,-7.500000000000004
POWELL20,solved,0.001583657,0.000805805,0.002389462,0.0
QSCSD8,dual infeasible,0.001618578,0.001022191,0.0026407690000000003,-inf
STCQP2,solved,0.015543269,0.043938677,0.059481946,22327.313272407944
QSIERRA,solved,0.001164551,0.064486685,0.065651236,23737431.359451804
HUESTIS,primal infeasible,0.002682802,0.003191855,0.005874657,inf
AUG3DC,solved,0.002661523,0.003615549,0.006277072,-1165.2375610458087
PRIMALC5,dual infeasible,5.5089e-05,2.5346e-05,8.0435e-05,-inf
QSHIP12L,dual infeasible,0.017572909,0.010062286,0.027635195,-inf
QAFIRO,dual infeasible,3.5075e-05,1.458e-05,4.9655e-05,-inf
QSHIP08L,dual infeasible,0.015308401,0.007713363,0.023021764,-inf
EXDATA,dual infeasible,0.647838475,0.070984106,0.7188225810000001,-inf
QSTANDAT,dual infeasible,0.000676143,0.000383439,0.001059582,-inf
CVXQP2_L,solved,1.087855907,5.990410732,7.078266639,81842458.2625602
CONT-100,maximum iterations reached,0.049152533,6.996185158,7.045337691,-4.644038254105195
QSCFXM2,dual infeasible,0.000912559,0.00041474,0.0013272989999999999,-inf
QSHIP12S,dual infeasible,0.003139536,0.002129857,0.005269393000000001,-inf
QPCBOEI2,solved,7.0121e-05,5.9559e-05,0.00012968,4600737.339101516
AUG2D,solved,0.013227645,0.029137123,0.042364768,1677511.7529094212
HS53,solved,4.3669e-05,3.157e-05,7.5239e-05,-1.9069767441787542
PRIMAL3,dual infeasible,0.000125906,5.6459e-05,0.000182365,-inf
HS35,solved,1.2848e-05,6.822e-06,1.967e-05,-9.0
PRIMAL4,dual infeasible,0.000250036,0.000114259,0.000364295,-inf
QSHARE1B,dual infeasible,0.000229584,9.8683e-05,0.000328267,-inf
CVXQP3_S,solved,0.000187729,0.000501805,0.000689534,11943.432182483228
GENHS28,solved,1.77e-05,1.3516e-05,3.1216e-05,0.9271736960999332
AUG2DC,solved,0.016243776,0.035946503,0.052190279,1808268.065583434
HUES-MOD,solved,0.003632561,0.006556261,0.010188822,34573136.0400642
QSCSD1,dual infeasible,0.000779162,0.000362399,0.0011415610000000001,-inf
LISWET8,solved,0.002169956,0.002321259,0.004491215,-2525.256983545407
YAO,solved,0.0003169,0.000326971,0.0006438710000000001,-272.4175125278912
CVXQP3_M,solved,0.006217877,0.419640649,0.42585852599999996,1362828.7363422243
Q25FV47,dual infeasible,0.010521286,0.003311864,0.013833149999999999,-inf
PRIMAL2,dual infeasible,0.000148382,6.7586e-05,0.00021596799999999998,-inf
GOULDQP3,solved,0.000590663,0.001001541,0.001592204,-29647.837216027074
LISWET1,solved,0.002184542,0.002254299,0.004438841,-2525.4082100576425
QPCSTAIR,solved,0.000462959,0.001035199,0.001498158,954093.383736923
QSCAGR25,dual infeasible,0.000355344,0.000208323,0.000563667,-inf
QCAPRI,dual infeasible,0.000469749,0.000241909,0.000711658,-inf
CVXQP2_M,solved,0.004415238,0.050663979,0.055079217,820155.4309268321
CONT-050,solved,0.0072827,0.86730959,0.8745922899999999,-4.563850778080854
QSTAIR,solved,0.000644029,0.001551878,0.002195907,765592.1654492154
CVXQP1_M,solved,0.006307326,0.150506852,0.156814178,1087511.5660955613
PRIMALC1,dual infeasible,5.9139e-05,2.6821e-05,8.596e-05,-inf
MOSARQP2,solved,0.000199051,0.000191744,0.000390795,-2859.25311492007
QSCTAP1,dual infeasible,0.000155757,8.8303e-05,0.00024406,-inf
LISWET3,solved,0.001648582,0.001688215,0.003336797,-1025.2585932192492
LISWET7,solved,0.002169201,0.002242632,0.004411833,-2525.2570741090003
AUG3DQP,solved,0.003107811,0.004542442,0.007650252999999999,-782.4322736146912
CVXQP2_S,solved,0.000182324,0.000289002,0.000471326,8120.9404498032045
DUAL2,solved,0.000579378,0.000679145,0.001258523,0.03373368136918517
QGROW7,maximum iterations reached,0.000711909,0.060384617,0.061096526,-42773724.732121326
QSCTAP3,dual infeasible,0.000724712,0.00047222,0.001196932,-inf
AUG3DCQP,solved,0.003279774,0.004625744,0.007905518,-1165.2375610458087
LISWET4,solved,0.002111365,0.002195812,0.004307177000000001,-739.5156945985166
PRIMAL1,dual infeasible,8.0908e-05,3.5258e-05,0.00011616600000000001,-inf
HS118,solved,3.0547e-05,0.000204012,0.000234559,274.27744011828196
AUG2DCQP,solved,0.017839614,0.038607933,0.056447547,1808268.065583434
STCQP1,solved,0.011432898,0.023054358,0.034487256,155143.55470415435
QGFRDXPN,dual infeasible,0.00081361,0.00605772,0.00687133,-inf
QPTEST,solved,2.1204e-05,1.6013e-05,3.7217e-05,-0.19999999964231263
LISWET5,solved,0.00266103,0.002781057,0.005442087,-16001.16552952833
VALUES,solved,0.000493795,0.015282851,0.015776646,-1.3966212104471056
LISWET10,solved,0.002218048,0.002337504,0.004555551999999999,-2525.9474086906007
CVXQP3_L,maximum iterations reached,1.9983735280000001,39.85011244,41.848485968,115707388.44421735
DTOC3,solved,0.008230105,0.043801663,0.052031768,235.26208773272882
QSCORPIO,dual infeasible,0.000309721,0.000181609,0.00049133,-inf
PRIMALC2,dual infeasible,6.4172e-05,2.9561e-05,9.373299999999999e-05,-inf
QSCTAP2,dual infeasible,0.0005865,0.000385532,0.0009720320000000001,-inf
DUALC8,solved,3.0232e-05,1.9998e-05,5.023e-05,18309.358870959248
DUAL4,solved,0.00036822,0.001099693,0.001467913,0.7460908296084856
QADLITTL,dual infeasible,8.9492e-05,3.8039e-05,0.000127531,-inf
LOTSCHD,solved,4.3166e-05,2.2543e-05,6.5709e-05,165.65528676269253
QBRANDY,dual infeasible,0.000596195,0.000286001,0.000882196,-inf
GOULDQP2,solved inaccurate,0.000465485,0.076645964,0.077111449,0.00018427305934927418
DUALC5,solved,2.4934e-05,2.3178e-05,4.8112e-05,427.232270833589
LISWET12,solved,0.002109655,0.002197359,0.004307014,-2525.7502232964684
