,Unnamed: 0,size,status,setup_time,solve_time,run_time,obj,iters
0,lcvx_N_15_i_0,644,optimal,0.0,0.000738785,0.000738785,-3.341060338744775,8
1,lcvx_N_15_i_1,644,optimal,0.0,0.000720555,0.000720555,-3.341061107019156,8
2,lcvx_N_15_i_2,644,optimal,0.0,0.000848805,0.000848805,-3.341056440438085,10
3,lcvx_N_15_i_3,644,optimal,0.0,0.000732004,0.000732004,-3.341061431376042,8
4,lcvx_N_15_i_4,644,optimal,0.0,0.000781215,0.000781215,-3.3410577017891163,9
5,lcvx_N_15_i_5,644,optimal,0.0,0.000841945,0.000841945,-3.341058693536014,10
6,lcvx_N_15_i_6,644,optimal,0.0,0.000683414,0.000683414,-3.341062258874289,7
7,lcvx_N_15_i_7,644,optimal,0.0,0.000784535,0.000784535,-3.341058176797728,9
8,lcvx_N_15_i_8,644,optimal,0.0,0.000738505,0.000738505,-3.341060407971034,8
9,lcvx_N_15_i_9,644,optimal,0.0,0.000729704,0.000729704,-3.3410594731164505,8
10,lcvx_N_15_i_10,644,optimal,0.0,0.000724924,0.000724924,-3.341058265173605,8
11,lcvx_N_15_i_11,644,optimal,0.0,0.000674524,0.000674524,-3.341062183281396,7
12,lcvx_N_15_i_12,644,optimal,0.0,0.000866475,0.000866475,-3.341058566732666,9
13,lcvx_N_15_i_13,644,optimal,0.0,0.000691504,0.000691504,-3.341061925859943,7
14,lcvx_N_15_i_14,644,optimal,0.0,0.000743424,0.000743424,-3.341061311593646,8
15,lcvx_N_15_i_15,644,optimal,0.0,0.000797855,0.000797855,-3.341060720013508,8
16,lcvx_N_15_i_16,644,optimal,0.0,0.000661604,0.000661604,-3.3410619897022698,7
17,lcvx_N_15_i_17,644,optimal,0.0,0.000724854,0.000724854,-3.341059481246713,8
18,lcvx_N_15_i_18,644,optimal,0.0,0.000732224,0.000732224,-3.3410608088947007,8
19,lcvx_N_15_i_19,644,optimal,0.0,0.000788684,0.000788684,-3.341058223042807,9
20,lcvx_N_50_i_0,2114,optimal,0.0,0.002822436,0.002822436,-3.35126534980291,9
21,lcvx_N_50_i_1,2114,optimal,0.0,0.002662855,0.002662855,-3.35126236974048,9
22,lcvx_N_50_i_2,2114,optimal,0.0,0.002686966,0.002686966,-3.351262732937691,9
23,lcvx_N_50_i_3,2114,optimal,0.0,0.002983087,0.002983087,-3.3512616237511303,10
24,lcvx_N_50_i_4,2114,optimal,0.0,0.002477725,0.002477725,-3.351264526368796,8
25,lcvx_N_50_i_5,2114,optimal,0.0,0.002455494,0.002455494,-3.351266062495446,8
26,lcvx_N_50_i_6,2114,optimal,0.0,0.002677326,0.002677326,-3.351262079771073,9
27,lcvx_N_50_i_7,2114,optimal,0.0,0.002465894,0.002465894,-3.3512652487170858,8
28,lcvx_N_50_i_8,2114,optimal,0.0,0.002806506,0.002806506,-3.3512584478953724,10
29,lcvx_N_50_i_9,2114,optimal,0.0,0.002840086,0.002840086,-3.351259800631667,10
30,lcvx_N_50_i_10,2114,optimal,0.0,0.002826526,0.002826526,-3.3512587350948966,10
31,lcvx_N_50_i_11,2114,optimal,0.0,0.002978297,0.002978297,-3.351264189449472,10
32,lcvx_N_50_i_12,2114,optimal,0.0,0.002622635,0.002622635,-3.351262795195168,9
33,lcvx_N_50_i_13,2114,optimal,0.0,0.002803836,0.002803836,-3.3512656926775657,9
34,lcvx_N_50_i_14,2114,optimal,0.0,0.002817177,0.002817177,-3.351258631253075,10
35,lcvx_N_50_i_15,2114,optimal,0.0,0.002625565,0.002625565,-3.3512622976381885,9
36,lcvx_N_50_i_16,2114,optimal,0.0,0.002666355,0.002666355,-3.351262601089469,9
37,lcvx_N_50_i_17,2114,optimal,0.0,0.002980107,0.002980107,-3.3512627219928715,10
38,lcvx_N_50_i_18,2114,optimal,0.0,0.002666145,0.002666145,-3.351265570787054,9
39,lcvx_N_50_i_19,2114,optimal,0.0,0.003345669,0.003345669,-3.3512595030009424,12
40,lcvx_N_75_i_0,3164,optimal,0.0,0.004227305,0.004227305,-3.352638444572452,10
41,lcvx_N_75_i_1,3164,optimal,0.0,0.004409746,0.004409746,-3.3526404413981736,10
42,lcvx_N_75_i_2,3164,optimal,0.0,0.004472336,0.004472336,-3.352643438433083,10
43,lcvx_N_75_i_3,3164,optimal,0.0,0.003706252,0.003706252,-3.352643436935829,8
44,lcvx_N_75_i_4,3164,optimal,0.0,0.004424185,0.004424185,-3.352640972229691,10
45,lcvx_N_75_i_5,3164,optimal,0.0,0.003959363,0.003959363,-3.3526402194958917,9
46,lcvx_N_75_i_6,3164,optimal,0.0,0.003650172,0.003650172,-3.3526452062646297,8
47,lcvx_N_75_i_7,3164,optimal,0.0,0.004708307,0.004708307,-3.3526390791432585,11
48,lcvx_N_75_i_8,3164,optimal,0.0,0.004462626,0.004462626,-3.352643363734781,10
49,lcvx_N_75_i_9,3164,optimal,0.0,0.004742948,0.004742948,-3.352638213504292,11
50,lcvx_N_75_i_10,3164,optimal,0.0,0.004194205,0.004194205,-3.3526400953732125,10
51,lcvx_N_75_i_11,3164,optimal,0.0,0.003664292,0.003664292,-3.3526434368925786,8
52,lcvx_N_75_i_12,3164,optimal,0.0,0.004789383,0.004789383,-3.3526402391854324,11
53,lcvx_N_75_i_13,3164,optimal,0.0,0.004209803,0.004209803,-3.352645121398901,9
54,lcvx_N_75_i_14,3164,optimal,0.0,0.004550034,0.004550034,-3.352640273527049,10
55,lcvx_N_75_i_15,3164,optimal,0.0,0.004416574,0.004416574,-3.352641546024385,10
56,lcvx_N_75_i_16,3164,optimal,0.0,0.004472424,0.004472424,-3.3526432873378185,10
57,lcvx_N_75_i_17,3164,optimal,0.0,0.004729605,0.004729605,-3.3526365902091246,11
58,lcvx_N_75_i_18,3164,optimal,0.0,0.004187185,0.004187185,-3.352636912995555,10
59,lcvx_N_75_i_19,3164,optimal,0.0,0.003844295,0.003844295,-3.352641288679456,9
60,lcvx_N_100_i_0,4214,optimal,0.0,0.005499268,0.005499268,-3.3533236470391268,9
61,lcvx_N_100_i_1,4214,optimal,0.0,0.006122565,0.006122565,-3.3533248522209997,10
62,lcvx_N_100_i_2,4214,optimal,0.0,0.006796117,0.006796117,-3.353320549209642,12
63,lcvx_N_100_i_3,4214,optimal,0.0,0.006178206,0.006178206,-3.3533250392417053,10
64,lcvx_N_100_i_4,4214,optimal,0.0,0.004541032,0.004541032,-3.3533265451130414,8
65,lcvx_N_100_i_5,4214,optimal,0.0,0.006550408,0.006550408,-3.353320954301905,11
66,lcvx_N_100_i_6,4214,optimal,0.0,0.005956047,0.005956047,-3.3533236620772744,10
67,lcvx_N_100_i_7,4214,optimal,0.0,0.006252678,0.006252678,-3.353321476251564,11
68,lcvx_N_100_i_8,4214,optimal,0.0,0.005299956,0.005299956,-3.3533256016869304,9
69,lcvx_N_100_i_9,4214,optimal,0.0,0.004951645,0.004951645,-3.353325946695073,9
70,lcvx_N_100_i_10,4214,optimal,0.0,0.005798588,0.005798588,-3.353325368551558,10
71,lcvx_N_100_i_11,4214,optimal,0.0,0.005791179,0.005791179,-3.3533251986705728,10
72,lcvx_N_100_i_12,4214,optimal,0.0,0.00605765,0.00605765,-3.353323780213492,10
73,lcvx_N_100_i_13,4214,optimal,0.0,0.00592976,0.00592976,-3.3533245568063927,10
74,lcvx_N_100_i_14,4214,optimal,0.0,0.006281821,0.006281821,-3.353320587589427,11
75,lcvx_N_100_i_15,4214,optimal,0.0,0.00579155,0.00579155,-3.3533229768517514,10
76,lcvx_N_100_i_16,4214,optimal,0.0,0.00582172,0.00582172,-3.353321130650159,10
77,lcvx_N_100_i_17,4214,optimal,0.0,0.006819384,0.006819384,-3.353321190459585,12
78,lcvx_N_100_i_18,4214,optimal,0.0,0.005767291,0.005767291,-3.353317623550001,10
79,lcvx_N_100_i_19,4214,optimal,0.0,0.006621924,0.006621924,-3.353321192510681,11
80,lcvx_N_125_i_0,5264,optimal,0.0,0.007770468,0.007770468,-3.3537275895268897,11
81,lcvx_N_125_i_1,5264,optimal,0.0,0.007649323,0.007649323,-3.353730073146312,11
82,lcvx_N_125_i_2,5264,optimal,0.0,0.007600203,0.007600203,-3.353727923371403,10
83,lcvx_N_125_i_3,5264,optimal,0.0,0.007618133,0.007618133,-3.353730182477502,11
84,lcvx_N_125_i_4,5264,optimal,0.0,0.006533899,0.006533899,-3.353733545874165,9
85,lcvx_N_125_i_5,5264,optimal,0.0,0.008071385,0.008071385,-3.353727866211765,11
86,lcvx_N_125_i_6,5264,optimal,0.0,0.007669375,0.007669375,-3.3537271365328527,11
87,lcvx_N_125_i_7,5264,optimal,0.0,0.007503484,0.007503484,-3.3537229821642045,11
88,lcvx_N_125_i_8,5264,optimal,0.0,0.006064777,0.006064777,-3.3537323116950284,9
89,lcvx_N_125_i_9,5264,optimal,0.0,0.007794605,0.007794605,-3.353731808727344,10
90,lcvx_N_125_i_10,5264,optimal,0.0,0.006134428,0.006134428,-3.353733199602991,9
91,lcvx_N_125_i_11,5264,optimal,0.0,0.005769216,0.005769216,-3.3537345467115736,8
92,lcvx_N_125_i_12,5264,optimal,0.0,0.007265364,0.007265364,-3.353733534234619,9
93,lcvx_N_125_i_13,5264,optimal,0.0,0.007082513,0.007082513,-3.3537243155481598,11
94,lcvx_N_125_i_14,5264,optimal,0.0,0.006120099,0.006120099,-3.3537289594879014,9
95,lcvx_N_125_i_15,5264,optimal,0.0,0.008005018,0.008005018,-3.353727070489242,11
96,lcvx_N_125_i_16,5264,optimal,0.0,0.007734227,0.007734227,-3.353727909518497,11
97,lcvx_N_125_i_17,5264,optimal,0.0,0.007970438,0.007970438,-3.353730274766974,11
98,lcvx_N_125_i_18,5264,optimal,0.0,0.008044089,0.008044089,-3.353725721773137,11
99,lcvx_N_125_i_19,5264,optimal,0.0,0.0082857,0.0082857,-3.3537276286991333,11
100,lcvx_N_150_i_0,6314,optimal,0.0,0.008031168,0.008031168,-3.353997703057225,10
101,lcvx_N_150_i_1,6314,optimal,0.0,0.009916128,0.009916128,-3.353998181707929,11
102,lcvx_N_150_i_2,6314,optimal,0.0,0.00821664,0.00821664,-3.3540051450285566,9
103,lcvx_N_150_i_3,6314,optimal,0.0,0.009368916,0.009368916,-3.3540032794667747,10
104,lcvx_N_150_i_4,6314,optimal,0.0,0.008351211,0.008351211,-3.3540043182905173,9
105,lcvx_N_150_i_5,6314,optimal,0.0,0.009551026,0.009551026,-3.3539997787577045,11
106,lcvx_N_150_i_6,6314,optimal,0.0,0.006820113,0.006820113,-3.3540056750842155,8
107,lcvx_N_150_i_7,6314,optimal,0.0,0.007369726,0.007369726,-3.354000441933867,9
108,lcvx_N_150_i_8,6314,optimal,0.0,0.009356816,0.009356816,-3.35399977926803,11
109,lcvx_N_150_i_9,6314,optimal,0.0,0.010447682,0.010447682,-3.3539949967098046,12
110,lcvx_N_150_i_10,6314,optimal,0.0,0.009499027,0.009499027,-3.3539999954666744,11
111,lcvx_N_150_i_11,6314,optimal,0.0,0.008884604,0.008884604,-3.3540021524810726,10
112,lcvx_N_150_i_12,6314,optimal,0.0,0.008989564,0.008989564,-3.354003482473729,10
113,lcvx_N_150_i_13,6314,optimal,0.0,0.010403251,0.010403251,-3.353997887462484,12
114,lcvx_N_150_i_14,6314,optimal,0.0,0.00795014,0.00795014,-3.3540045420607707,9
115,lcvx_N_150_i_15,6314,optimal,0.0,0.008806334,0.008806334,-3.354002480072156,10
116,lcvx_N_150_i_16,6314,optimal,0.0,0.009815609,0.009815609,-3.353998306206375,11
117,lcvx_N_150_i_17,6314,optimal,0.0,0.007993971,0.007993971,-3.353999484098468,9
118,lcvx_N_150_i_18,6314,optimal,0.0,0.007395927,0.007395927,-3.354000340637351,9
119,lcvx_N_150_i_19,6314,optimal,0.0,0.009556938,0.009556938,-3.354000701364886,11
120,lcvx_N_200_i_0,8414,optimal,0.0,0.011814439,0.011814439,-3.354339968382964,10
121,lcvx_N_200_i_1,8414,optimal,0.0,0.012064181,0.012064181,-3.354339007843709,10
122,lcvx_N_200_i_2,8414,optimal,0.0,0.010925586,0.010925586,-3.3543420689656167,9
123,lcvx_N_200_i_3,8414,optimal,0.0,0.013469958,0.013469958,-3.354336966559916,12
124,lcvx_N_200_i_4,8414,optimal,0.0,0.014259332,0.014259332,-3.35433903467815,12
125,lcvx_N_200_i_5,8414,optimal,0.0,0.012466633,0.012466633,-3.354337385435261,11
126,lcvx_N_200_i_6,8414,optimal,0.0,0.011609409,0.011609409,-3.354338760725428,11
127,lcvx_N_200_i_7,8414,optimal,0.0,0.013447139,0.013447139,-3.354336005305974,11
128,lcvx_N_200_i_8,8414,optimal,0.0,0.011597859,0.011597859,-3.354339346430072,10
129,lcvx_N_200_i_9,8414,optimal,0.0,0.010013471,0.010013471,-3.354339338359372,9
130,lcvx_N_200_i_10,8414,optimal,0.0,0.013006926,0.013006926,-3.3543369752073966,11
131,lcvx_N_200_i_11,8414,optimal,0.0,0.011069347,0.011069347,-3.354341416409752,9
132,lcvx_N_200_i_12,8414,optimal,0.0,0.010626505,0.010626505,-3.3543403954444617,10
133,lcvx_N_200_i_13,8414,optimal,0.0,0.010777266,0.010777266,-3.3543394737223964,10
134,lcvx_N_200_i_14,8414,optimal,0.0,0.012948806,0.012948806,-3.354336110305012,11
135,lcvx_N_200_i_15,8414,optimal,0.0,0.012463064,0.012463064,-3.354335665878443,11
136,lcvx_N_200_i_16,8414,optimal,0.0,0.010084342,0.010084342,-3.3543366151221568,9
137,lcvx_N_200_i_17,8414,optimal,0.0,0.013439589,0.013439589,-3.3543363385173106,12
138,lcvx_N_200_i_18,8414,optimal,0.0,0.009998622,0.009998622,-3.3543421355842926,9
139,lcvx_N_200_i_19,8414,optimal,0.0,0.014125723,0.014125723,-3.3543390096172154,12
140,lcvx_N_250_i_0,10514,optimal,0.0,0.014063893,0.014063893,-3.354543463666192,10
141,lcvx_N_250_i_1,10514,optimal,0.0,0.015243669,0.015243669,-3.3545406399615496,11
142,lcvx_N_250_i_2,10514,optimal,0.0,0.015406649,0.015406649,-3.354537457615026,11
143,lcvx_N_250_i_3,10514,optimal,0.0,0.012366894,0.012366894,-3.3545428257371603,9
144,lcvx_N_250_i_4,10514,optimal,0.0,0.01347847,0.01347847,-3.3545415643669427,10
145,lcvx_N_250_i_5,10514,optimal,0.0,0.014497905,0.014497905,-3.3545359773014822,11
146,lcvx_N_250_i_6,10514,optimal,0.0,0.012509255,0.012509255,-3.3545442543681823,9
147,lcvx_N_250_i_7,10514,optimal,0.0,0.014535896,0.014535896,-3.354540421645212,11
148,lcvx_N_250_i_8,10514,optimal,0.0,0.016240765,0.016240765,-3.3545324560198573,12
