,Unnamed: 0,size,status,setup_time,solve_time,run_time,obj,iters
0,lcvx_N_15_i_0,704,optimal_inaccurate,,,,,
1,lcvx_N_15_i_1,704,optimal_inaccurate,,,,,
2,lcvx_N_15_i_2,704,optimal,0.000101401,0.000699713,0.000801114,-3.3410555914658344,8.0
3,lcvx_N_15_i_3,704,optimal,9.983e-05,0.000687223,0.000787053,-3.3410614136610914,8.0
4,lcvx_N_15_i_4,704,optimal,0.00010115,0.000699283,0.000800433,-3.3410573234926124,8.0
5,lcvx_N_15_i_5,704,optimal_inaccurate,,,,,
6,lcvx_N_15_i_6,704,optimal,0.000109981,0.000782813,0.000892794,-3.341062295479408,8.0
7,lcvx_N_15_i_7,704,optimal,0.00010883,0.000774533,0.000883363,-3.341057935281396,8.0
8,lcvx_N_15_i_8,704,optimal_inaccurate,,,,,
9,lcvx_N_15_i_9,704,optimal,0.00010928,0.000772883,0.000882163,-3.34105936597946,8.0
10,lcvx_N_15_i_10,704,optimal_inaccurate,,,,,
11,lcvx_N_15_i_11,704,optimal_inaccurate,,,,,
12,lcvx_N_15_i_12,704,optimal,0.00010916,0.000743563,0.000852723,-3.34105816416305,8.0
13,lcvx_N_15_i_13,704,optimal,0.00010985,0.000645842,0.000755692,-3.341061952412455,7.0
14,lcvx_N_15_i_14,704,optimal,0.000109901,0.000771413,0.000881314,-3.341061290921451,8.0
15,lcvx_N_15_i_15,704,optimal,0.000110411,0.000736273,0.000846684,-3.341060706951849,8.0
16,lcvx_N_15_i_16,704,optimal,0.000109121,0.000623543,0.000732664,-3.341062009213524,7.0
17,lcvx_N_15_i_17,704,optimal,0.000109891,0.000773343,0.000883234,-3.3410593568417286,8.0
18,lcvx_N_15_i_18,704,optimal_inaccurate,,,,,
19,lcvx_N_15_i_19,704,optimal,0.00010216,0.000721883,0.000824043,-3.3410579145107566,8.0
20,lcvx_N_50_i_0,2314,optimal_inaccurate,,,,,
21,lcvx_N_50_i_1,2314,optimal,0.000255161,0.002046778,0.002301939,-3.351262038842533,8.0
22,lcvx_N_50_i_2,2314,optimal,0.000268291,0.002144579,0.00241287,-3.3512624037518366,8.0
23,lcvx_N_50_i_3,2314,optimal,0.000260731,0.00244596,0.002706691,-3.3512611962225445,9.0
24,lcvx_N_50_i_4,2314,optimal,0.000256291,0.002107789,0.00236408,-3.3512644651538155,8.0
25,lcvx_N_50_i_5,2314,optimal,0.000258631,0.002088189,0.00234682,-3.3512660657282565,8.0
26,lcvx_N_50_i_6,2314,optimal,0.000289951,0.00232653,0.002616481,-3.35126169718048,8.0
27,lcvx_N_50_i_7,2314,optimal,0.000289091,0.00233126,0.002620351,-3.3512652350873178,8.0
28,lcvx_N_50_i_8,2314,optimal,0.000270041,0.002126509,0.00239655,-3.3512575460723064,8.0
29,lcvx_N_50_i_9,2314,optimal,0.000271911,0.00215398,0.002425891,-3.3512590536986835,8.0
30,lcvx_N_50_i_10,2314,optimal,0.000264671,0.002079628,0.002344299,-3.351257847653825,8.0
31,lcvx_N_50_i_11,2314,optimal_inaccurate,,,,,
32,lcvx_N_50_i_12,2314,optimal,0.000266551,0.00215949,0.002426041,-3.3512625002798035,8.0
33,lcvx_N_50_i_13,2314,optimal_inaccurate,,,,,
34,lcvx_N_50_i_14,2314,optimal,0.000271411,0.002136259,0.00240767,-3.3512577337462166,8.0
