tau,clarabel,ecos,gurobi,mosek,qoco
1.0,0.0,0.0,0.0,0.011,0.989
1.0046204213468128,0.001,0.0,0.0,0.012,0.99
1.0092621909870476,0.001,0.0,0.0,0.012,0.991
1.013925407558815,0.001,0.0,0.0,0.013,0.991
1.0186101701559758,0.001,0.0,0.0,0.014,0.991
1.023316578330245,0.001,0.001,0.0,0.014,0.991
1.0280447320933093,0.001,0.001,0.0,0.014,0.993
1.0327947319189517,0.001,0.001,0.0,0.015,0.993
1.0375666787451858,0.001,0.001,0.0,0.015,0.995
1.0423606739764015,0.001,0.001,0.0,0.016,0.995
1.0471768194855202,0.001,0.001,0.0,0.016,0.995
1.0520152176161586,0.002,0.003,0.0,0.016,0.995
1.0568759711848041,0.002,0.004,0.0,0.016,0.996
1.0617591834829998,0.004,0.004,0.0,0.016,0.996
1.0666649582795393,0.004,0.005,0.0,0.016,0.996
1.0715933998226712,0.004,0.005,0.0,0.016,0.996
1.0765446128423155,0.006,0.005,0.0,0.016,0.997
1.0815187025522883,0.006,0.007,0.0,0.016,0.997
1.0865157746525382,0.006,0.008,0.0,0.016,0.998
1.0915359353313916,0.006,0.009,0.0,0.016,0.998
1.0965792912678098,0.006,0.009,0.0,0.016,0.999
1.1016459496336566,0.006,0.011,0.0,0.018,1.0
1.1067360180959736,0.007,0.012,0.0,0.018,1.0
1.1118496048192708,0.009,0.016,0.0,0.019,1.0
1.116986818467823,0.01,0.017,0.0,0.02,1.0
1.1221477682079803,0.012,0.017,0.0,0.02,1.0
1.1273325637104867,0.012,0.018,0.0,0.02,1.0
1.1325413151528119,0.012,0.02,0.0,0.02,1.0
1.1377741332214912,0.012,0.022,0.0,0.02,1.0
1.1430311291144792,0.014,0.022,0.0,0.02,1.0
1.148312414543511,0.014,0.022,0.0,0.02,1.0
1.1536181017364782,0.019,0.023,0.0,0.02,1.0
1.158948303439811,0.022,0.023,0.0,0.02,1.0
1.1643031329208766,0.024,0.023,0.0,0.02,1.0
1.1696827039703852,0.024,0.024,0.0,0.021,1.0
1.1750871309048077,0.03,0.028,0.0,0.023,1.0
1.180516528568805,0.031,0.03,0.0,0.023,1.0
1.1859710123376697,0.032,0.036,0.0,0.024,1.0
1.1914506981197759,0.035,0.045,0.001,0.025,1.0
1.1969557023590434,0.035,0.055,0.001,0.026,1.0
1.2024861420374122,0.035,0.059,0.001,0.027,1.0
1.2080421346773285,0.04,0.063,0.001,0.027,1.0
1.2136237983442408,0.04,0.068,0.001,0.029,1.0
1.2192312516491106,0.042,0.076,0.001,0.029,1.0
1.2248646137509314,0.043,0.08,0.001,0.029,1.0
1.2305240043592616,0.044,0.095,0.001,0.029,1.0
1.2362095437367686,0.047,0.102,0.001,0.03,1.0
1.2419213527017836,0.05,0.116,0.001,0.031,1.0
1.2476595526308696,0.052,0.118,0.001,0.032,1.0
1.2534242654614,0.055,0.121,0.001,0.032,1.0
1.259215613694151,0.057,0.123,0.001,0.032,1.0
1.2650337203959034,0.063,0.128,0.001,0.032,1.0
1.2708787092020586,0.068,0.131,0.001,0.035,1.0
1.2767507043192656,0.071,0.132,0.001,0.037,1.0
1.2826498305280605,0.078,0.133,0.001,0.038,1.0
1.288576213185518,0.082,0.135,0.001,0.038,1.0
1.2945299782279156,0.087,0.138,0.001,0.038,1.0
1.3005112521734088,0.091,0.138,0.001,0.038,1.0
1.306520162124721,0.095,0.139,0.003,0.04,1.0
1.3125568357718433,0.096,0.14,0.003,0.042,1.0
1.3186214013947486,0.106,0.14,0.004,0.043,1.0
1.324713987866117,0.11,0.14,0.005,0.043,1.0
1.330834724654075,0.116,0.141,0.005,0.044,1.0
1.3369837418249464,0.122,0.142,0.006,0.046,1.0
1.343161170046016,0.129,0.144,0.006,0.047,1.0
1.3493671405883065,0.135,0.146,0.007,0.047,1.0
1.3556017853293685,0.146,0.148,0.007,0.047,1.0
1.3618652367560817,0.156,0.149,0.007,0.05,1.0
1.3681576279674716,0.164,0.152,0.008,0.052,1.0
1.3744790926775374,0.174,0.157,0.009,0.053,1.0
1.3808297652180925,0.178,0.158,0.01,0.053,1.0
1.3872097805416206,0.182,0.162,0.011,0.053,1.0
1.3936192742241424,0.184,0.168,0.012,0.055,1.0
1.4000583824680974,0.189,0.175,0.012,0.057,1.0
1.406527242105237,0.196,0.178,0.014,0.057,1.0
1.413025990599534,0.2,0.183,0.014,0.057,1.0
1.4195547660501011,0.205,0.188,0.015,0.059,1.0
1.4261137071941288,0.214,0.189,0.016,0.059,1.0
1.4327029534098308,0.223,0.19,0.016,0.062,1.0
1.4393226447194072,0.233,0.19,0.016,0.062,1.0
1.4459729217920199,0.24,0.191,0.016,0.063,1.0
1.4526539259467808,0.249,0.191,0.016,0.065,1.0
1.4593657991557567,0.259,0.192,0.019,0.066,1.0
1.4661086840469844,0.268,0.192,0.019,0.068,1.0
1.4728827239075026,0.279,0.193,0.02,0.068,1.0
1.4796880626863964,0.295,0.193,0.02,0.069,1.0
1.4865248449978568,0.301,0.194,0.021,0.069,1.0
1.4933932161242522,0.309,0.194,0.022,0.069,1.0
1.500293322019218,0.314,0.194,0.022,0.071,1.0
1.5072253093107564,0.322,0.194,0.022,0.073,1.0
1.5141893253043521,0.331,0.195,0.023,0.073,1.0
1.5211855179861045,0.341,0.196,0.023,0.073,1.0
1.5282140360258698,0.348,0.197,0.023,0.073,1.0
1.5352750287804227,0.356,0.197,0.024,0.074,1.0
1.5423686462966282,0.367,0.197,0.025,0.075,1.0
1.5494950393146318,0.381,0.197,0.026,0.076,1.0
1.5566543592710615,0.393,0.197,0.026,0.076,1.0
1.5638467583022468,0.406,0.197,0.026,0.076,1.0
1.5710723892474503,0.415,0.197,0.026,0.076,1.0
1.5783314056521174,0.425,0.198,0.026,0.076,1.0
1.5856239617711374,0.435,0.199,0.027,0.076,1.0
