,size,status,setup_time,solve_time,run_time,obj,iters
portfolio_N_2_i_0,804,optimal,0.0,0.000420282,0.000420282,-2.1699869228016966,9
portfolio_N_2_i_1,804,optimal,0.0,0.000411892,0.000411892,-1.8900183380967115,9
portfolio_N_2_i_2,804,optimal,0.0,0.000373181,0.000373181,-1.9782135691893867,8
portfolio_N_2_i_3,804,optimal,0.0,0.000380022,0.000380022,-2.4448746068981952,8
portfolio_N_2_i_4,804,optimal,0.0,0.000404712,0.000404712,-2.031124615776306,9
portfolio_N_2_i_5,804,optimal,0.0,0.000490582,0.000490582,-2.1010952410866914,10
portfolio_N_2_i_6,804,optimal,0.0,0.000456762,0.000456762,-1.984335200265073,10
portfolio_N_2_i_7,804,optimal,0.0,0.000378862,0.000378862,-3.403628163535331,8
portfolio_N_2_i_8,804,optimal,0.0,0.000407942,0.000407942,-2.274170267302118,9
portfolio_N_2_i_9,804,optimal,0.0,0.000642193,0.000642193,-2.619175930349712,16
portfolio_N_2_i_10,804,optimal,0.0,0.000452352,0.000452352,-2.492713161709879,10
portfolio_N_2_i_11,804,optimal,0.0,0.000495382,0.000495382,-1.9531984949400143,10
portfolio_N_2_i_12,804,optimal,0.0,0.000483672,0.000483672,-2.2329373192925352,10
portfolio_N_2_i_13,804,optimal,0.0,0.000450052,0.000450052,-2.1666525824792897,9
portfolio_N_2_i_14,804,optimal,0.0,0.000454472,0.000454472,-3.0292319920439357,9
portfolio_N_2_i_15,804,optimal,0.0,0.000449812,0.000449812,-1.7148069521265226,9
portfolio_N_2_i_16,804,optimal,0.0,0.000439942,0.000439942,-2.1427114770056006,10
portfolio_N_2_i_17,804,optimal,0.0,0.000382681,0.000382681,-2.879567059402283,8
portfolio_N_2_i_18,804,optimal,0.0,0.000419682,0.000419682,-2.046634433372783,9
portfolio_N_2_i_19,804,optimal,0.0,0.000442942,0.000442942,-2.5317350421902183,10
portfolio_N_4_i_0,2008,optimal,0.0,0.001125666,0.001125666,-2.7877068565791387,10
portfolio_N_4_i_1,2008,optimal,0.0,0.001099706,0.001099706,-1.9435252972249162,10
portfolio_N_4_i_2,2008,optimal,0.0,0.001199206,0.001199206,-2.4962740293954377,11
portfolio_N_4_i_3,2008,optimal,0.0,0.001193156,0.001193156,-2.5644396749110205,11
portfolio_N_4_i_4,2008,optimal,0.0,0.001021515,0.001021515,-3.1216854875689637,9
portfolio_N_4_i_5,2008,optimal,0.0,0.001185456,0.001185456,-2.745663360506877,11
portfolio_N_4_i_6,2008,optimal,0.0,0.001194806,0.001194806,-2.2732446961138755,10
portfolio_N_4_i_7,2008,optimal,0.0,0.001255266,0.001255266,-2.307017899399373,11
portfolio_N_4_i_8,2008,optimal,0.0,0.001262756,0.001262756,-2.3002902988482172,11
portfolio_N_4_i_9,2008,optimal,0.0,0.001297275,0.001297275,-2.228633116158805,11
portfolio_N_4_i_10,2008,optimal,0.0,0.001297588,0.001297588,-2.053719310010904,11
portfolio_N_4_i_11,2008,optimal,0.0,0.001095336,0.001095336,-2.2287852655841798,9
portfolio_N_4_i_12,2008,optimal,0.0,0.001349007,0.001349007,-2.1175495335016947,12
portfolio_N_4_i_13,2008,optimal,0.0,0.001099356,0.001099356,-2.2347701232980977,10
portfolio_N_4_i_14,2008,optimal,0.0,0.001095216,0.001095216,-2.6173535020182435,10
portfolio_N_4_i_15,2008,optimal,0.0,0.001176246,0.001176246,-2.264277113138408,11
portfolio_N_4_i_16,2008,optimal,0.0,0.001300617,0.001300617,-2.038259837109688,11
portfolio_N_4_i_17,2008,optimal,0.0,0.001122396,0.001122396,-3.2636581110900442,9
portfolio_N_4_i_18,2008,optimal,0.0,0.001287397,0.001287397,-2.46417987893324,11
portfolio_N_4_i_19,2008,optimal,0.0,0.001114055,0.001114055,-2.733163461920096,9
portfolio_N_6_i_0,3612,optimal,0.0,0.002491053,0.002491053,-2.603797649838832,13
portfolio_N_6_i_1,3612,optimal,0.0,0.002638393,0.002638393,-2.7196490370502415,14
portfolio_N_6_i_2,3612,optimal,0.0,0.00213484,0.00213484,-2.2573485935511277,12
portfolio_N_6_i_3,3612,optimal,0.0,0.002818285,0.002818285,-2.1908747042220247,15
portfolio_N_6_i_4,3612,optimal,0.0,0.0021292,0.0021292,-2.5037398702204023,12
portfolio_N_6_i_5,3612,optimal,0.0,0.002225891,0.002225891,-2.5619673829862677,11
portfolio_N_6_i_6,3612,optimal,0.0,0.00207691,0.00207691,-2.5635571397987214,10
portfolio_N_6_i_7,3612,optimal,0.0,0.002170681,0.002170681,-2.377709659224553,12
portfolio_N_6_i_8,3612,optimal,0.0,0.002353071,0.002353071,-2.5880718153491995,12
portfolio_N_6_i_9,3612,optimal,0.0,0.002531322,0.002531322,-2.3181617944900657,13
portfolio_N_6_i_10,3612,optimal,0.0,0.00218433,0.00218433,-2.2546702991505803,11
portfolio_N_6_i_11,3612,optimal,0.0,0.00220527,0.00220527,-2.7243216460796384,11
