,size,status,setup_time,solve_time,run_time,obj,iters
portfolio_N_2_i_0,804,optimal,0.000151671,0.000719114,0.000870785,-2.1699869449394504,12
portfolio_N_2_i_1,804,optimal,0.000148481,0.000808005,0.000956486,-1.8900183433496116,14
portfolio_N_2_i_2,804,optimal,0.000148971,0.000744314,0.0008932850000000001,-1.9782135882919154,12
portfolio_N_2_i_3,804,optimal,0.00015277,0.000943755,0.001096525,-2.444874650430695,15
portfolio_N_2_i_4,804,optimal,0.000145891,0.000845485,0.000991376,-2.031124663896368,14
portfolio_N_2_i_5,804,optimal,0.000148621,0.000824685,0.0009733060000000001,-2.1010953094357996,14
portfolio_N_2_i_6,804,optimal,0.000143571,0.001181586,0.001325157,-1.98433522621171,18
portfolio_N_2_i_7,804,optimal,0.00014599,0.000637364,0.000783354,-3.4036281642395805,10
portfolio_N_2_i_8,804,optimal,0.00014406,0.001193847,0.0013379070000000002,-2.27417031648986,17
portfolio_N_2_i_9,804,optimal,0.000148071,0.000748114,0.0008961850000000001,-2.6191759497504767,13
portfolio_N_2_i_10,804,optimal,0.000147071,0.000740154,0.0008872250000000001,-2.492713219313655,13
portfolio_N_2_i_11,804,optimal,0.000141001,0.000726624,0.000867625,-1.9531985175266213,12
portfolio_N_2_i_12,804,optimal,0.000147361,0.000690024,0.000837385,-2.232937322219067,11
portfolio_N_2_i_13,804,optimal,0.000147491,0.000729664,0.000877155,-2.1666525825399625,12
portfolio_N_2_i_14,804,optimal,0.000149201,0.000865705,0.001014906,-3.029232185329618,14
portfolio_N_2_i_15,804,optimal,0.000145751,0.000660554,0.000806305,-1.714807016096785,11
portfolio_N_2_i_16,804,optimal,0.000151671,0.000857085,0.001008756,-2.142711477478105,14
portfolio_N_2_i_17,804,optimal,0.000148171,0.000690964,0.000839135,-2.879567078082698,11
portfolio_N_2_i_18,804,optimal,0.00014711,0.000822815,0.000969925,-2.0466344757770965,13
portfolio_N_2_i_19,804,optimal,0.000147501,0.000685634,0.0008331349999999999,-2.5317351243977764,11
portfolio_N_4_i_0,2008,optimal,0.000179031,0.00176143,0.001940461,-2.7877069078678565,13
portfolio_N_4_i_1,2008,optimal,0.000178931,0.001938921,0.002117852,-1.943525307757491,14
portfolio_N_4_i_2,2008,optimal,0.000179211,0.002497784,0.0026769949999999997,-2.496274068692869,15
portfolio_N_4_i_3,2008,optimal,0.000177341,0.002094202,0.002271543,-2.5644397023323537,16
portfolio_N_4_i_4,2008,optimal,0.000178101,0.002316613,0.002494714,-3.1216854931128095,17
portfolio_N_4_i_5,2008,optimal,0.000182251,0.00183811,0.002020361,-2.745663370599301,13
portfolio_N_4_i_6,2008,optimal,0.000180621,0.001914441,0.002095062,-2.273244719013867,14
portfolio_N_4_i_7,2008,optimal,0.000177881,0.002027722,0.002205603,-2.3070178955032015,15
portfolio_N_4_i_8,2008,optimal,0.000178441,0.00174348,0.001921921,-2.3002902980855793,13
portfolio_N_4_i_9,2008,optimal,0.000178441,0.002270622,0.002449063,-2.2286331390081036,16
portfolio_N_4_i_10,2008,optimal,0.000180431,0.002378003,0.002558434,-2.053719395658076,18
portfolio_N_4_i_11,2008,optimal,0.000178541,0.002126272,0.0023048129999999997,-2.2287852593255923,15
portfolio_N_4_i_12,2008,optimal,0.000178691,0.001910711,0.002089402,-2.1175495888438096,14
portfolio_N_4_i_13,2008,optimal,0.000177721,0.002209813,0.002387534,-2.234770124576662,15
portfolio_N_4_i_14,2008,optimal,0.000180071,0.002224563,0.002404634,-2.617353615487266,17
portfolio_N_4_i_15,2008,optimal,0.000178311,0.00172508,0.001903391,-2.264277121354286,12
portfolio_N_4_i_16,2008,optimal,0.000177931,0.002591564,0.0027694950000000003,-2.0382598443627216,17
portfolio_N_4_i_17,2008,optimal,0.000179141,0.00175886,0.001938001,-3.26365815478892,13
portfolio_N_4_i_18,2008,optimal,0.000180941,0.001861031,0.002041972,-2.464180039814607,14
portfolio_N_4_i_19,2008,optimal,0.000179781,0.002797306,0.002977087,-2.7331634705382535,19
portfolio_N_6_i_0,3612,optimal,0.000399812,0.003645301,0.004045113,-2.603797692191354,16
portfolio_N_6_i_1,3612,optimal,0.000398822,0.003777202,0.0041760239999999995,-2.7196490378459677,16
portfolio_N_6_i_2,3612,optimal,0.000395822,0.003050858,0.00344668,-2.257348643710652,14
portfolio_N_6_i_3,3612,optimal,0.000394212,0.003913217,0.004307429,-2.190874745066726,18
portfolio_N_6_i_4,3612,optimal,0.000400692,0.003297636,0.003698328,-2.5037398893999523,14
portfolio_N_6_i_5,3612,optimal,0.000398892,0.002922204,0.003321096,-2.5619674997133286,13
portfolio_N_6_i_6,3612,optimal,0.000393242,0.003507031,0.0039002729999999997,-2.563557336027894,15
portfolio_N_6_i_7,3612,optimal,0.000389192,0.003007147,0.003396339,-2.377709763856114,14
portfolio_N_6_i_8,3612,optimal,0.000397172,0.00358644,0.003983612,-2.588071812263928,16
portfolio_N_6_i_9,3612,optimal,0.000399663,0.003521739,0.003921402,-2.318161848554404,15
portfolio_N_6_i_10,3612,optimal,0.000396662,0.003294168,0.00369083,-2.254670301259731,15
portfolio_N_6_i_11,3612,optimal,0.000396583,0.003195808,0.003592391,-2.724321739833526,14
portfolio_N_6_i_12,3612,optimal,0.000408142,0.00369226,0.004100402,-2.548351590338446,15
portfolio_N_6_i_13,3612,optimal,0.000396322,0.003291248,0.0036875700000000003,-2.798156561782351,15
portfolio_N_6_i_14,3612,optimal,0.000397352,0.003544208,0.00394156,-2.058712826492709,16
portfolio_N_6_i_15,3612,optimal,0.000395362,0.003779,0.004174362,-1.7614562654215897,17
portfolio_N_6_i_16,3612,optimal,0.000398092,0.003807871,0.004205963,-2.352458519518286,17
portfolio_N_6_i_17,3612,optimal,0.000396652,0.003186527,0.003583179,-2.1860015990339554,15
portfolio_N_6_i_18,3612,optimal,0.000398462,0.004884587,0.005283049,-2.8196149382901274,20
portfolio_N_6_i_19,3612,optimal,0.000401102,0.003041507,0.003442609,-2.6681445731292297,13
portfolio_N_8_i_0,5616,optimal,0.000791084,0.004927406,0.00571849,-2.249223841431897,15
portfolio_N_8_i_1,5616,optimal,0.000802205,0.005046477,0.005848682,-2.531217888505294,15
portfolio_N_8_i_2,5616,optimal,0.000800244,0.005224348,0.0060245920000000005,-2.4345111189846955,16
portfolio_N_8_i_3,5616,optimal,0.000804805,0.004831826,0.005636631,-1.892287186269144,15
portfolio_N_8_i_4,5616,optimal,0.000800264,0.00559252,0.006392784,-2.369120669186862,16
portfolio_N_8_i_5,5616,optimal,0.000803104,0.005066418,0.005869521999999999,-2.287580937885485,15
portfolio_N_8_i_6,5616,optimal,0.000802354,0.00553962,0.006341974,-2.3519587556645654,17
