,size,status,setup_time,solve_time,run_time,obj,iters
portfolio_N_2_i_0,804,optimal,0.0,0.0043529910035431385,0.0043529910035431385,-2.169987028187003,12
portfolio_N_2_i_1,804,optimal,0.0,0.004421391990035772,0.004421391990035772,-1.8900192160908764,12
portfolio_N_2_i_2,804,optimal,0.0,0.004080489976331592,0.004080489976331592,-1.97821433340565,11
portfolio_N_2_i_3,804,optimal,0.0,0.004311831900849938,0.004311831900849938,-2.4448747738698975,12
portfolio_N_2_i_4,804,optimal,0.0,0.004121070960536599,0.004121070960536599,-2.0311249020355326,11
portfolio_N_2_i_5,804,optimal,0.0,0.00524854613468051,0.00524854613468051,-2.1010959661569597,14
portfolio_N_2_i_6,804,optimal,0.0,0.004400742007419467,0.004400742007419467,-1.984335258586998,12
portfolio_N_2_i_7,804,optimal,0.0,0.004213911015540361,0.004213911015540361,-3.4036282782864618,11
portfolio_N_2_i_8,804,optimal,0.0,0.003996829967945814,0.003996829967945814,-2.274171302993651,10
portfolio_N_2_i_9,804,optimal,0.0,0.004630313022062182,0.004630313022062182,-2.6191765942330654,13
portfolio_N_2_i_10,804,optimal,0.0,0.004559282911941409,0.004559282911941409,-2.4927143720284493,13
portfolio_N_2_i_11,804,optimal,0.0,0.004978094948455691,0.004978094948455691,-1.9531986076406889,13
portfolio_N_2_i_12,804,optimal,0.0,0.004756944021210074,0.004756944021210074,-2.232937377126956,12
portfolio_N_2_i_13,804,optimal,0.0,0.004495501983910799,0.004495501983910799,-2.1666526728215185,11
portfolio_N_2_i_14,804,optimal,0.0,0.00500615406781435,0.00500615406781435,-3.0292324602129765,13
portfolio_N_2_i_15,804,optimal,0.0,0.004747833125293255,0.004747833125293255,-1.7148071014275579,12
portfolio_N_2_i_16,804,optimal,0.0,0.004342620959505439,0.004342620959505439,-2.1427119710530054,12
portfolio_N_2_i_17,804,optimal,0.0,0.003676527878269553,0.003676527878269553,-2.8795679011169866,9
portfolio_N_2_i_18,804,optimal,0.0,0.004149310989305377,0.004149310989305377,-2.046634766191758,11
portfolio_N_2_i_19,804,optimal,0.0,0.004132920876145363,0.004132920876145363,-2.531735918885319,11
portfolio_N_4_i_0,2008,optimal,0.0,0.007199996151030064,0.007199996151030064,-2.7877074746286534,12
portfolio_N_4_i_1,2008,optimal,0.0,0.007109855068847537,0.007109855068847537,-1.9435253464856854,12
portfolio_N_4_i_2,2008,optimal,0.0,0.006958754034712911,0.006958754034712911,-2.4962755320705603,12
portfolio_N_4_i_3,2008,optimal,0.0,0.008296040818095207,0.008296040818095207,-2.5644407061202514,14
portfolio_N_4_i_4,2008,optimal,0.0,0.0071065849624574184,0.0071065849624574184,-3.1216858947803248,12
portfolio_N_4_i_5,2008,optimal,0.0,0.008223599987104535,0.008223599987104535,-2.7456635123082758,14
portfolio_N_4_i_6,2008,optimal,0.0,0.0072887560818344355,0.0072887560818344355,-2.2732473734159897,11
portfolio_N_4_i_7,2008,optimal,0.0,0.007829649141058326,0.007829649141058326,-2.307020274836179,12
portfolio_N_4_i_8,2008,optimal,0.0,0.007805458968505263,0.007805458968505263,-2.300290597762235,12
portfolio_N_4_i_9,2008,optimal,0.0,0.00832594116218388,0.00832594116218388,-2.2286356270180554,13
portfolio_N_4_i_10,2008,optimal,0.0,0.008793434128165245,0.008793434128165245,-2.053720788344675,14
portfolio_N_4_i_11,2008,optimal,0.0,0.007804557913914323,0.007804557913914323,-2.2287876807937987,12
portfolio_N_4_i_12,2008,optimal,0.0,0.007809869013726711,0.007809869013726711,-2.1175507630712573,12
portfolio_N_4_i_13,2008,optimal,0.0,0.006837253924459219,0.006837253924459219,-2.2347702830347624,11
portfolio_N_4_i_14,2008,optimal,0.0,0.007735508028417826,0.007735508028417826,-2.6173544859518603,14
portfolio_N_4_i_15,2008,optimal,0.0,0.007812968920916319,0.007812968920916319,-2.264278608941849,13
portfolio_N_4_i_16,2008,optimal,0.0,0.00784563785418868,0.00784563785418868,-2.0382599292600463,12
portfolio_N_4_i_17,2008,optimal,0.0,0.00832275114953518,0.00832275114953518,-3.2636584700826905,13
portfolio_N_4_i_18,2008,optimal,0.0,0.008723653154447675,0.008723653154447675,-2.4641803989581037,14
portfolio_N_4_i_19,2008,optimal,0.0,0.007828918052837253,0.007828918052837253,-2.7331639172161504,12
portfolio_N_6_i_0,3612,optimal,0.0,0.013390315929427743,0.013390315929427743,-2.6037979180373827,14
portfolio_N_6_i_1,3612,optimal,0.0,0.011906339088454843,0.011906339088454843,-2.719649326471862,12
portfolio_N_6_i_2,3612,optimal,0.0,0.011654977919533849,0.011654977919533849,-2.257349665989376,13
portfolio_N_6_i_3,3612,optimal,0.0,0.01340623595751822,0.01340623595751822,-2.1908799529025487,14
