,size,status,setup_time,solve_time,run_time,obj,iters
portfolio_N_2_i_0,804,QOCO_SOLVED,6.27e-05,0.000190111,0.00025281100000000003,-2.169986943434871,9
portfolio_N_2_i_1,804,QOCO_SOLVED,6.029e-05,0.000166141,0.000226431,-1.890018225520993,8
portfolio_N_2_i_2,804,QOCO_SOLVED,6.728e-05,0.000182061,0.000249341,-1.9782135826177483,8
portfolio_N_2_i_3,804,QOCO_SOLVED,6.523e-05,0.000174251,0.000239481,-2.4448746425604932,8
portfolio_N_2_i_4,804,QOCO_SOLVED,6.0071e-05,0.000170301,0.000230372,-2.0311246327780736,8
portfolio_N_2_i_5,804,QOCO_SOLVED,6.163e-05,0.000195111,0.000256741,-2.1010951414451973,9
portfolio_N_2_i_6,804,QOCO_SOLVED,6.019e-05,0.000206921,0.000267111,-1.984335193234192,10
portfolio_N_2_i_7,804,QOCO_SOLVED,0.00012774,0.000166021,0.000293761,-3.403628157171713,7
portfolio_N_2_i_8,804,QOCO_SOLVED,6.079e-05,0.000185721,0.000246511,-2.274170298199888,9
portfolio_N_2_i_9,804,QOCO_SOLVED,6.249e-05,0.000185501,0.00024799100000000003,-2.6191759266018404,9
portfolio_N_2_i_10,804,QOCO_SOLVED,6.092e-05,0.000190541,0.00025146099999999997,-2.49271310462547,9
portfolio_N_2_i_11,804,QOCO_SOLVED,6.02e-05,0.000209751,0.000269951,-1.953198334106989,10
portfolio_N_2_i_12,804,QOCO_SOLVED,0.00011018,0.000210191,0.000320371,-2.232937322986871,10
portfolio_N_2_i_13,804,QOCO_SOLVED,6.189e-05,0.000170621,0.00023251100000000002,-2.1666525722418757,8
portfolio_N_2_i_14,804,QOCO_SOLVED,6.215e-05,0.000189131,0.000251281,-3.029232162032786,9
portfolio_N_2_i_15,804,QOCO_SOLVED,6.375e-05,0.000184271,0.000248021,-1.7148068918681423,8
portfolio_N_2_i_16,804,QOCO_SOLVED,7.29e-05,0.000186651,0.000259551,-2.1427114449654754,8
portfolio_N_2_i_17,804,QOCO_SOLVED,6.568e-05,0.000188701,0.000254381,-2.8795670585952293,8
portfolio_N_2_i_18,804,QOCO_SOLVED,6.413e-05,0.000206871,0.000271001,-2.0466344652609836,9
portfolio_N_2_i_19,804,QOCO_SOLVED,6.2101e-05,0.000162711,0.00022481200000000002,-2.531734896117184,7
portfolio_N_4_i_0,2008,QOCO_SOLVED,0.000146751,0.000452162,0.000598913,-2.7877068832702396,9
portfolio_N_4_i_1,2008,QOCO_SOLVED,0.000153391,0.000550313,0.000703704,-1.9435253125673888,11
portfolio_N_4_i_2,2008,QOCO_SOLVED,0.000147311,0.000450243,0.000597554,-2.4962739393523816,10
