,size,status,setup_time,solve_time,run_time,obj,iters
portfolio_N_2_i_0,804,optimal,,0.00012638,0.00012638,-2.1699869434348718,9
portfolio_N_2_i_1,804,optimal,,0.00010676,0.00010676,-1.890018225520999,8
portfolio_N_2_i_2,804,optimal,,0.00010066,0.00010066,-1.978213582617748,8
portfolio_N_2_i_3,804,optimal,,0.00011499,0.00011499,-2.4448746425604924,8
portfolio_N_2_i_4,804,optimal,,0.000104821,0.000104821,-2.03112463277807,8
portfolio_N_2_i_5,804,optimal,,0.00011959,0.00011959,-2.1010951414451986,9
portfolio_N_2_i_6,804,optimal,,0.00013724,0.00013724,-1.9843351932341917,10
portfolio_N_2_i_7,804,optimal,,9.848e-05,9.848e-05,-3.403628157171712,7
portfolio_N_2_i_8,804,optimal,,0.00011996,0.00011996,-2.274170298199879,9
portfolio_N_2_i_9,804,optimal,,0.00012115,0.00012115,-2.619175926601807,9
portfolio_N_2_i_10,804,optimal,,0.000114011,0.000114011,-2.4927131046254702,9
portfolio_N_2_i_11,804,optimal,,0.00012738,0.00012738,-1.953198334106828,10
portfolio_N_2_i_12,804,optimal,,0.00012482,0.00012482,-2.232937322986873,10
portfolio_N_2_i_13,804,optimal,,9.776e-05,9.776e-05,-2.1666525722418744,8
portfolio_N_2_i_14,804,optimal,,0.00010836,0.00010836,-3.029232162032785,9
portfolio_N_2_i_15,804,optimal,,0.000102561,0.000102561,-1.7148068918681354,8
portfolio_N_2_i_16,804,optimal,,0.000102811,0.000102811,-2.142711444965475,8
portfolio_N_2_i_17,804,optimal,,0.00010301,0.00010301,-2.8795670585952253,8
portfolio_N_2_i_18,804,optimal,,0.000112611,0.000112611,-2.0466344652609805,9
portfolio_N_2_i_19,804,optimal,,9.016e-05,9.016e-05,-2.531734896117178,7
portfolio_N_4_i_0,2008,optimal,,0.000261551,0.000261551,-2.787706883270338,9
portfolio_N_4_i_1,2008,optimal,,0.000329521,0.000329521,-1.9435253125673875,11
portfolio_N_4_i_2,2008,optimal,,0.000302511,0.000302511,-2.496273939352322,10
portfolio_N_4_i_3,2008,optimal,,0.000269041,0.000269041,-2.5644394316733017,9
portfolio_N_4_i_4,2008,optimal,,0.000243721,0.000243721,-3.121685489953937,8
portfolio_N_4_i_5,2008,optimal,,0.000275422,0.000275422,-2.7456632682301674,9
portfolio_N_4_i_6,2008,optimal,,0.000299981,0.000299981,-2.273244564684425,9
portfolio_N_4_i_7,2008,optimal,,0.000279041,0.000279041,-2.3070178982666643,9
portfolio_N_4_i_8,2008,optimal,,0.000266841,0.000266841,-2.3002902894469646,9
portfolio_N_4_i_9,2008,optimal,,0.000300891,0.000300891,-2.228633138932994,10
portfolio_N_4_i_10,2008,optimal,,0.000309512,0.000309512,-2.0537193172821806,10
portfolio_N_4_i_11,2008,optimal,,0.000273581,0.000273581,-2.2287852262059773,9
portfolio_N_4_i_12,2008,optimal,,0.000267872,0.000267872,-2.117549585224317,9
portfolio_N_4_i_13,2008,optimal,,0.000273471,0.000273471,-2.234770098006837,9
portfolio_N_4_i_14,2008,optimal,,0.000273181,0.000273181,-2.617353594246375,9
portfolio_N_4_i_15,2008,optimal,,0.000303951,0.000303951,-2.2642771136451882,10
portfolio_N_4_i_16,2008,optimal,,0.000300671,0.000300671,-2.0382598309724855,10
portfolio_N_4_i_17,2008,optimal,,0.000277272,0.000277272,-3.263658112679152,9
portfolio_N_4_i_18,2008,optimal,,0.000270421,0.000270421,-2.4641797231938556,9
portfolio_N_4_i_19,2008,optimal,,0.000266712,0.000266712,-2.7331633424010664,8
portfolio_N_6_i_0,3612,optimal,,0.000562103,0.000562103,-2.6037977003452424,11
portfolio_N_6_i_1,3612,optimal,,0.000410512,0.000410512,-2.719648940058745,8
portfolio_N_6_i_2,3612,optimal,,0.000570362,0.000570362,-2.257348579827274,10
portfolio_N_6_i_3,3612,optimal,,0.000567773,0.000567773,-2.190874722404085,10
portfolio_N_6_i_4,3612,optimal,,0.000625063,0.000625063,-2.503739844502853,11
portfolio_N_6_i_5,3612,optimal,,0.000521132,0.000521132,-2.5619674203538603,9
portfolio_N_6_i_6,3612,optimal,,0.000517052,0.000517052,-2.5635573291288107,9
portfolio_N_6_i_7,3612,optimal,,0.000513032,0.000513032,-2.37770955699062,9
portfolio_N_6_i_8,3612,optimal,,0.000526252,0.000526252,-2.588071815567609,10
portfolio_N_6_i_9,3612,optimal,,0.000565253,0.000565253,-2.318161850950131,10
portfolio_N_6_i_10,3612,optimal,,0.000497104,0.000497104,-2.254670183132793,10
portfolio_N_6_i_11,3612,optimal,,0.000511983,0.000511983,-2.7243215374742222,9
portfolio_N_6_i_12,3612,optimal,,0.000562793,0.000562793,-2.5483514640684084,11
portfolio_N_6_i_13,3612,optimal,,0.000527102,0.000527102,-2.798156550924491,10
portfolio_N_6_i_14,3612,optimal,,0.000576593,0.000576593,-2.0587126707547547,10
portfolio_N_6_i_15,3612,optimal,,0.000577471,0.000577471,-1.7614560876631096,10
portfolio_N_6_i_16,3612,optimal,,0.000473262,0.000473262,-2.352458500428011,9
portfolio_N_6_i_17,3612,optimal,,0.000574582,0.000574582,-2.186001591905895,10
portfolio_N_6_i_18,3612,optimal,,0.000565872,0.000565872,-2.819614924939286,10
portfolio_N_6_i_19,3612,optimal,,0.000462402,0.000462402,-2.6681445620151263,9
portfolio_N_8_i_0,5616,optimal,,0.001006154,0.001006154,-2.2492237274210582,11
portfolio_N_8_i_1,5616,optimal,,0.000970934,0.000970934,-2.5312178468668294,11
portfolio_N_8_i_2,5616,optimal,,0.000898854,0.000898854,-2.4345109809852814,11
portfolio_N_8_i_3,5616,optimal,,0.000865393,0.000865393,-1.8922870643940912,10
portfolio_N_8_i_4,5616,optimal,,0.000998184,0.000998184,-2.3691206643190394,11
portfolio_N_8_i_5,5616,optimal,,0.000834134,0.000834134,-2.2875809397492084,10
portfolio_N_8_i_6,5616,optimal,,0.000854944,0.000854944,-2.351958711983706,10
portfolio_N_8_i_7,5616,optimal,,0.000836524,0.000836524,-2.4501911080492054,9
portfolio_N_8_i_8,5616,optimal,,0.000883034,0.000883034,-2.4874244725292645,11
portfolio_N_8_i_9,5616,optimal,,0.000837623,0.000837623,-2.4385217503842016,10
portfolio_N_8_i_10,5616,optimal,,0.000865774,0.000865774,-2.340112833112677,10
portfolio_N_8_i_11,5616,optimal,,0.000837194,0.000837194,-1.9874765631770315,10
portfolio_N_8_i_12,5616,optimal,,0.000740943,0.000740943,-2.6568499438644326,9
portfolio_N_8_i_13,5616,optimal,,0.000828773,0.000828773,-2.5872559548415426,10
portfolio_N_8_i_14,5616,optimal,,0.000862133,0.000862133,-2.5238361887996263,10
portfolio_N_8_i_15,5616,optimal,,0.000838534,0.000838534,-2.38665042658829,10
portfolio_N_8_i_16,5616,optimal,,0.000984595,0.000984595,-2.511026615685833,12
portfolio_N_8_i_17,5616,optimal,,0.000746293,0.000746293,-2.337221409583867,9
portfolio_N_8_i_18,5616,optimal,,0.000830664,0.000830664,-2.431658067317517,10
portfolio_N_8_i_19,5616,optimal,,0.000825883,0.000825883,-2.4672859721684155,10
portfolio_N_10_i_0,8020,optimal,,0.001437566,0.001437566,-2.6755715644752884,9
portfolio_N_10_i_1,8020,optimal,,0.001565946,0.001565946,-2.5511579786607896,10
portfolio_N_10_i_2,8020,optimal,,0.001581987,0.001581987,-2.4095434770961495,10
portfolio_N_10_i_3,8020,optimal,,0.001783568,0.001783568,-2.7903883170507027,10
portfolio_N_10_i_4,8020,optimal,,0.001433376,0.001433376,-2.3625527525774297,9
portfolio_N_10_i_5,8020,optimal,,0.001953217,0.001953217,-2.2909386710793185,11
portfolio_N_10_i_6,8020,optimal,,0.001982954,0.001982954,-2.9160339720485373,11
portfolio_N_10_i_7,8020,optimal,,0.001953461,0.001953461,-2.402593314439397,11
portfolio_N_10_i_8,8020,optimal,,0.001718506,0.001718506,-2.476334484054071,11
portfolio_N_10_i_9,8020,optimal,,0.001954707,0.001954707,-2.2560965202659156,11
portfolio_N_10_i_10,8020,optimal,,0.001961506,0.001961506,-2.4020744729029917,11
portfolio_N_10_i_11,8020,optimal,,0.001611172,0.001611172,-2.6345797782093956,10
portfolio_N_10_i_12,8020,optimal,,0.001854163,0.001854163,-2.400522048052966,12
portfolio_N_10_i_13,8020,optimal,,0.001434239,0.001434239,-3.0481275398965435,9
portfolio_N_10_i_14,8020,optimal,,0.001614981,0.001614981,-2.390553195741606,10
portfolio_N_10_i_15,8020,optimal,,0.001741801,0.001741801,-2.5530404116909526,11
portfolio_N_10_i_16,8020,optimal,,0.001882912,0.001882912,-2.287022478944456,12
portfolio_N_10_i_17,8020,optimal,,0.001573979,0.001573979,-2.1870740396967143,10
portfolio_N_10_i_18,8020,optimal,,0.00178791,0.00178791,-2.5002410305153995,10
portfolio_N_10_i_19,8020,optimal,,0.001857571,0.001857571,-2.3455575989455695,12
