,status,setup_time,solve_time,run_time,obj
QGROW22,QCOS_SOLVED,0.003350556,0.081446145,0.084796701,-149628953.47136757
QSCFXM1,QCOS_SOLVED,0.000725268,0.012492865,0.013218133,16882691.63932232
AUG3D,QCOS_SOLVED,0.001823972,0.001639897,0.003463869,-782.4323028229369
QBORE3D,QCOS_SOLVED,0.000464435,0.007107777,0.007572212,3112.2049280770384
QGROW15,QCOS_SOLVED,0.001032069,0.021430406,0.022462475,-101693640.46822856
DUALC2,QCOS_SOLVED,0.000195012,0.003065455,0.003260467,3551.307692682039
DUAL3,QCOS_SOLVED,0.000273386,0.00601757,0.0062909559999999995,0.13575584059492707
ZECEVIC2,QCOS_SOLVED,1.6206e-05,2.131e-05,3.7516e-05,-4.124999996722212
QSHIP08S,QCOS_NUMERICAL_ERROR,0.004157722,0.005136023,0.009293744999999999,2427902.407316333
QSHIP04L,QCOS_NUMERICAL_ERROR,0.003188617,0.001496339,0.004684956,2393847.1402049004
QSHIP04S,QCOS_NUMERICAL_ERROR,0.001788785,0.001072089,0.0028608740000000002,2388344.2906269403
STADAT2,QCOS_SOLVED,0.001593045,0.050883514,0.052476559,-32.62666481562867
QSCRS8,QCOS_SOLVED,0.001196234,0.018851948,0.020048182,904.5600155788627
HS51,QCOS_SOLVED,3.4486e-05,9.646e-06,4.4132000000000004e-05,-5.999999999999997
AUG2DQP,QCOS_SOLVED,0.011819967,0.275129127,0.28694909399999996,6227112.02563662
QSHARE2B,QCOS_SOLVED,0.000311468,0.003419639,0.003731107,11703.691721744804
QSC205,QCOS_NUMERICAL_ERROR,0.000199426,0.000188342,0.00038776800000000003,9014.80898608328
STADAT3,QCOS_SOLVED,0.003202088,0.141075294,0.14427738199999998,-35.77945279393647
QSHELL,QCOS_NUMERICAL_ERROR,0.027973212,0.18368202,0.211655232,820738759.0667485
DPKLO1,QCOS_SOLVED,0.000158642,0.000157898,0.00031654000000000003,0.37009613717345513
MOSARQP1,QCOS_SOLVED,0.001252945,0.017359899,0.018612844000000003,-952.8754430188159
KSIP,QCOS_SOLVED,0.000780177,0.016155219,0.016935396,0.5757979421475444
HS52,QCOS_SOLVED,1.5964e-05,4.359e-06,2.0323000000000002e-05,-0.6733525665529534
STADAT1,QCOS_SOLVED,0.001559295,0.043512195,0.04507149,-22986329.70772026
DUALC1,QCOS_SOLVED,0.000256626,0.005073554,0.00533018,6155.250829557625
QBANDM,QCOS_SOLVED,0.00065612,0.020968988,0.021625108,16352.34203752106
QE226,QCOS_SOLVED,0.000688173,0.010385479,0.011073652,205.54043349726385
QFORPLAN,QCOS_NUMERICAL_ERROR,0.003092125,0.001797234,0.004889358999999999,4771946074909.543
QRECIPE,QCOS_SOLVED,0.000433968,0.005337337,0.005771305,-266.61599591562276
HS21,QCOS_SOLVED,1.0019e-05,1.7507e-05,2.7526e-05,0.04000004206487853
CVXQP1_S,QCOS_SOLVED,0.000226203,0.002024166,0.002250369,11590.718120364452
LISWET2,QCOS_SOLVED,0.004071832,0.05146289,0.055534721999999995,-1666.992060229905
LISWET6,QCOS_SOLVED,0.004082719,0.051456089,0.055538808,-2162.2242878415846
QSCAGR7,QCOS_SOLVED,0.000378584,0.004569697,0.0049482810000000006,26865948.58933889
LISWET11,QCOS_SOLVED_INACCURATE,0.003192245,0.122126395,0.12531864,-2500.74405445158
LASER,QCOS_SOLVED,0.000739366,0.007755896,0.008495262,2409601.345605048
UBH1,QCOS_SOLVED,0.128973711,0.063453313,0.192427024,1.116098131489429
QSCFXM3,QCOS_SOLVED,0.002129754,0.055768836,0.05789859,30816354.470883247
CVXQP1_L,QCOS_SOLVED,0.028690186,35.287968142,35.316658327999995,108704799.91544715
CONT-101,QCOS_SOLVED,0.0206039,0.44138433,0.46198823,0.19552624789278625
