,size,status,setup_time,solve_time,run_time,obj,iters
robust_kalman_filter_N_25_i_0,775,optimal,0.0,0.000914415,0.000914415,766.18050378651,12
robust_kalman_filter_N_25_i_1,775,optimal,0.0,0.000809914,0.000809914,464.9850471437688,10
robust_kalman_filter_N_25_i_2,775,optimal,0.0,0.000854654,0.000854654,1534.6659751947209,11
robust_kalman_filter_N_25_i_3,775,optimal,0.0,0.000814335,0.000814335,706.2163162004948,10
robust_kalman_filter_N_25_i_4,775,optimal,0.0,0.000865324,0.000865324,914.4432185103519,11
robust_kalman_filter_N_25_i_5,775,optimal,0.0,0.000809184,0.000809184,299.9203372393185,10
robust_kalman_filter_N_25_i_6,775,optimal,0.0,0.000862915,0.000862915,1116.2452471328245,11
robust_kalman_filter_N_25_i_7,775,optimal,0.0,0.000719153,0.000719153,1301.0375582641789,10
robust_kalman_filter_N_25_i_8,775,optimal,0.0,0.000731963,0.000731963,1041.876829084731,10
robust_kalman_filter_N_25_i_9,775,optimal,0.0,0.000743504,0.000743504,650.0235608113851,9
robust_kalman_filter_N_25_i_10,775,optimal,0.0,0.000881424,0.000881424,1205.4704960024903,11
robust_kalman_filter_N_25_i_11,775,optimal,0.0,0.000930185,0.000930185,1435.8281680129166,12
robust_kalman_filter_N_25_i_12,775,optimal,0.0,0.000720594,0.000720594,337.36480277761274,10
robust_kalman_filter_N_25_i_13,775,optimal,0.0,0.000623243,0.000623243,574.9030018762105,8
robust_kalman_filter_N_25_i_14,775,optimal,0.0,0.000796424,0.000796424,632.7262508597895,10
robust_kalman_filter_N_25_i_15,775,optimal,0.0,0.000716014,0.000716014,324.21760571850973,10
robust_kalman_filter_N_25_i_16,775,optimal,0.0,0.000747243,0.000747243,1002.2603302413058,10
robust_kalman_filter_N_25_i_17,775,optimal,0.0,0.000658903,0.000658903,565.6364879244887,9
robust_kalman_filter_N_25_i_18,775,optimal,0.0,0.000751774,0.000751774,1030.1790104561546,11
robust_kalman_filter_N_25_i_19,775,optimal,0.0,0.000769524,0.000769524,1125.0839665157416,11
robust_kalman_filter_N_50_i_0,1550,optimal,0.0,0.00177674,0.00177674,1242.505727232601,13
robust_kalman_filter_N_50_i_1,1550,optimal,0.0,0.001826759,0.001826759,2986.4141672616015,14
robust_kalman_filter_N_50_i_2,1550,optimal,0.0,0.001482238,0.001482238,2914.381796319798,11
robust_kalman_filter_N_50_i_3,1550,optimal,0.0,0.001683569,0.001683569,2462.5657531747797,11
robust_kalman_filter_N_50_i_4,1550,optimal,0.0,0.001492717,0.001492717,888.2934217946901,11
robust_kalman_filter_N_50_i_5,1550,optimal,0.0,0.001499928,0.001499928,2676.556502440076,11
robust_kalman_filter_N_50_i_6,1550,optimal,0.0,0.001681048,0.001681048,2493.980707077702,12
robust_kalman_filter_N_50_i_7,1550,optimal,0.0,0.001459657,0.001459657,1707.4562457096565,10
robust_kalman_filter_N_50_i_8,1550,optimal,0.0,0.001534788,0.001534788,1174.7189485016172,11
robust_kalman_filter_N_50_i_9,1550,optimal,0.0,0.001589928,0.001589928,1733.0776614063004,12
robust_kalman_filter_N_50_i_10,1550,optimal,0.0,0.001537538,0.001537538,1707.4888288981035,11
robust_kalman_filter_N_50_i_11,1550,optimal,0.0,0.001561518,0.001561518,2305.701237397235,11
robust_kalman_filter_N_50_i_12,1550,optimal,0.0,0.001588248,0.001588248,2691.980068413641,12
