,size,status,setup_time,solve_time,run_time,obj,iters
robust_kalman_filter_N_25_i_0,775,optimal,0.00011106,0.001374377,0.001485437,766.1805083836326,15
robust_kalman_filter_N_25_i_1,775,optimal,0.000113021,0.001441107,0.001554128,464.98505057034447,15
robust_kalman_filter_N_25_i_2,775,optimal,0.000107441,0.001625078,0.001732519,1534.6659777808236,18
robust_kalman_filter_N_25_i_3,775,optimal,0.00012129,0.001800949,0.001922239,706.2163236587361,17
robust_kalman_filter_N_25_i_4,775,optimal,0.00011065,0.001394927,0.0015055770000000001,914.4432225455482,15
robust_kalman_filter_N_25_i_5,775,optimal,0.000113681,0.001369297,0.001482978,299.9203386125354,14
robust_kalman_filter_N_25_i_6,775,optimal,0.00011185,0.001434598,0.001546448,1116.245248878712,15
robust_kalman_filter_N_25_i_7,775,optimal,0.000112831,0.001645948,0.001758779,1301.0375576705887,17
robust_kalman_filter_N_25_i_8,775,optimal,0.00011513,0.001415077,0.001530207,1041.8768304498906,15
robust_kalman_filter_N_25_i_9,775,optimal,0.00010801,0.001681999,0.001790009,650.0235657344803,18
robust_kalman_filter_N_25_i_10,775,optimal,0.000111091,0.001493468,0.001604559,1205.4705075768666,16
robust_kalman_filter_N_25_i_11,775,optimal,0.00011365,0.001790239,0.001903889,1435.8281736358854,19
robust_kalman_filter_N_25_i_12,775,optimal,0.000109891,0.001538958,0.001648849,337.3648029864557,17
robust_kalman_filter_N_25_i_13,775,optimal,0.000111111,0.001720208,0.001831319,574.9030046554819,18
robust_kalman_filter_N_25_i_14,775,optimal,0.00010798,0.001533868,0.001641848,632.7262577654237,17
robust_kalman_filter_N_25_i_15,775,optimal,0.00011404,0.001551448,0.001665488,324.2176074952624,16
robust_kalman_filter_N_25_i_16,775,optimal,0.00011076,0.001559608,0.0016703680000000002,1002.2603299892739,17
robust_kalman_filter_N_25_i_17,775,optimal,0.00012097,0.001835189,0.0019561590000000003,565.6364880954363,17
robust_kalman_filter_N_25_i_18,775,optimal,0.000120551,0.001636028,0.001756579,1030.1790165306993,16
robust_kalman_filter_N_25_i_19,775,optimal,0.00011209,0.00184052,0.00195261,1125.0839670999574,19
robust_kalman_filter_N_50_i_0,1550,optimal,0.000206071,0.003529308,0.003735379,1242.505730636069,18
robust_kalman_filter_N_50_i_1,1550,optimal,0.000210241,0.003550727,0.003760968,2986.4141690710076,19
robust_kalman_filter_N_50_i_2,1550,optimal,0.000200311,0.003671808,0.003872119,2914.381798633859,20
robust_kalman_filter_N_50_i_3,1550,optimal,0.000209921,0.003702718,0.003912639,2462.5657528127817,19
robust_kalman_filter_N_50_i_4,1550,optimal,0.000224621,0.00406373,0.004288351,888.2934371192559,20
robust_kalman_filter_N_50_i_5,1550,optimal,0.000224271,0.00400368,0.004227951,2676.5565072637305,19
robust_kalman_filter_N_50_i_6,1550,optimal,0.000206421,0.003596007,0.003802428,2493.9807067408374,19
robust_kalman_filter_N_50_i_7,1550,optimal,0.000209851,0.003348196,0.003558047,1707.4562452896519,17
robust_kalman_filter_N_50_i_8,1550,optimal,0.000209941,0.003772229,0.00398217,1174.7189491475283,20
robust_kalman_filter_N_50_i_9,1550,optimal,0.000209151,0.004563053,0.004772204,1733.0776614013566,24
robust_kalman_filter_N_50_i_10,1550,optimal,0.000224181,0.004414882,0.0046390630000000006,1707.4888292159965,21
robust_kalman_filter_N_50_i_11,1550,optimal,0.000224032,0.003762979,0.003987011,2305.701237326936,19
robust_kalman_filter_N_50_i_12,1550,optimal,0.000205351,0.003382177,0.003587528,2691.980070318064,18
robust_kalman_filter_N_50_i_13,1550,optimal,0.000225151,0.004367222,0.004592372999999999,2125.950603394592,21
robust_kalman_filter_N_50_i_14,1550,optimal,0.000225861,0.004018999,0.00424486,1614.7514297876307,19
robust_kalman_filter_N_50_i_15,1550,optimal,0.000206221,0.003618558,0.003824779,2204.5063506539877,19
robust_kalman_filter_N_50_i_16,1550,optimal,0.000210041,0.00409245,0.004302491,1245.3581365212801,21
robust_kalman_filter_N_50_i_17,1550,optimal,0.000201071,0.003784139,0.00398521,2792.488598500146,21
robust_kalman_filter_N_50_i_18,1550,optimal,0.000225152,0.003748189,0.003973341,2480.065734156159,18
robust_kalman_filter_N_50_i_19,1550,optimal,0.000223552,0.00392609,0.004149642,1544.7495754690055,19
robust_kalman_filter_N_75_i_0,2325,optimal,0.000348991,0.00595127,0.006300261,2944.2084287294265,18
robust_kalman_filter_N_75_i_1,2325,optimal,0.000325732,0.005579287,0.005905018999999999,2400.2980965495626,19
robust_kalman_filter_N_75_i_2,2325,optimal,0.000330472,0.006358442,0.006688914,3077.5826253716577,21
robust_kalman_filter_N_75_i_3,2325,optimal,0.000323611,0.006076019,0.00639963,3226.052697439963,21
robust_kalman_filter_N_75_i_4,2325,optimal,0.000325012,0.006210401,0.006535413,2618.1432213020425,22
robust_kalman_filter_N_75_i_5,2325,optimal,0.000328711,0.006719773,0.007048484,2054.4567446340716,23
robust_kalman_filter_N_75_i_6,2325,optimal,0.000328611,0.006263411,0.006592022,3079.565623041417,21
robust_kalman_filter_N_75_i_7,2325,optimal,0.000321681,0.006916804,0.007238485,2465.041223557844,24
robust_kalman_filter_N_75_i_8,2325,optimal,0.000324552,0.005938229,0.006262780999999999,2664.8453736788997,21
robust_kalman_filter_N_75_i_9,2325,optimal,0.000328771,0.005890109,0.00621888,3413.5743225555584,20
robust_kalman_filter_N_75_i_10,2325,optimal,0.000349192,0.007066915,0.007416107,3635.6028647104345,23
robust_kalman_filter_N_75_i_11,2325,optimal,0.000348452,0.006865313,0.007213765,1792.5835129202057,21
robust_kalman_filter_N_75_i_12,2325,optimal,0.000349231,0.006868734,0.007217965,2056.9292673078294,22
robust_kalman_filter_N_75_i_13,2325,optimal,0.000350042,0.006719583,0.007069625,2471.853366565173,21
robust_kalman_filter_N_75_i_14,2325,optimal,0.000317232,0.005429407,0.005746639,3987.164949637166,19
robust_kalman_filter_N_75_i_15,2325,optimal,0.000328511,0.006361641,0.006690152,3902.3886363750257,22
robust_kalman_filter_N_75_i_16,2325,optimal,0.000333272,0.006328771,0.006662043,3152.275091392396,22
robust_kalman_filter_N_75_i_17,2325,optimal,0.000324842,0.006158871,0.0064837129999999995,1988.0369334015088,21
robust_kalman_filter_N_75_i_18,2325,optimal,0.000318932,0.005486367,0.005805299,3710.021724996158,20
robust_kalman_filter_N_75_i_19,2325,optimal,0.000321991,0.005463757,0.005785747999999999,2921.7859148100924,20
robust_kalman_filter_N_125_i_0,3875,optimal,0.000562722,0.010206541,0.010769263,4610.249865546317,22
robust_kalman_filter_N_125_i_1,3875,optimal,0.000564653,0.011210135,0.011774788,5218.367162929672,23
robust_kalman_filter_N_125_i_2,3875,optimal,0.000565903,0.009512486,0.010078389,3762.156701285413,20
robust_kalman_filter_N_125_i_3,3875,optimal,0.000567803,0.0101835,0.010751303,4684.088678570843,21
robust_kalman_filter_N_125_i_4,3875,optimal,0.000606813,0.010891944,0.011498757,4409.280607701882,20
robust_kalman_filter_N_125_i_5,3875,optimal,0.000608773,0.0142813,0.014890073,5764.840397584781,26
robust_kalman_filter_N_125_i_6,3875,optimal,0.000608483,0.011295066,0.011903549,3371.2733286408306,21
robust_kalman_filter_N_125_i_7,3875,optimal,0.000565093,0.010577172,0.011142264999999998,4485.759076000433,21
robust_kalman_filter_N_125_i_8,3875,optimal,0.000556583,0.010761373,0.011317955999999999,4066.2927903307886,23
robust_kalman_filter_N_125_i_9,3875,optimal,0.000566613,0.011307006,0.011873619,4752.407273284037,23
robust_kalman_filter_N_125_i_10,3875,optimal,0.000554653,0.011477017,0.012031670000000001,5458.097568945477,24
robust_kalman_filter_N_125_i_11,3875,optimal,0.000606813,0.012874873,0.013481686,5452.7564905497065,24
robust_kalman_filter_N_125_i_12,3875,optimal,0.000554953,0.010714402,0.011269355,5607.609208416169,23
robust_kalman_filter_N_125_i_13,3875,optimal,0.000607553,0.011647078,0.012254631,4602.191296740474,21
robust_kalman_filter_N_125_i_14,3875,optimal,0.000552573,0.010534482,0.011087055,5002.74974792832,23
robust_kalman_filter_N_125_i_15,3875,optimal,0.000608493,0.011303495,0.011911988,5330.902514226883,21
robust_kalman_filter_N_125_i_16,3875,optimal,0.000557153,0.01028647,0.010843623,4090.0544854487343,21
robust_kalman_filter_N_125_i_17,3875,optimal,0.000566373,0.011244246,0.011810619,5958.668363060064,23
robust_kalman_filter_N_125_i_18,3875,optimal,0.000565843,0.010425212,0.010991055,6237.305461720801,21
robust_kalman_filter_N_125_i_19,3875,optimal,0.000561333,0.01004206,0.010603393000000001,6406.233686848266,21
robust_kalman_filter_N_175_i_0,5425,optimal,0.000925295,0.017812228,0.018737523,6240.554061154412,23
robust_kalman_filter_N_175_i_1,5425,optimal,0.000854944,0.01640102,0.017255964,7311.063549586825,24
robust_kalman_filter_N_175_i_2,5425,optimal,0.000858954,0.017238775,0.018097729,6488.000779315906,24
robust_kalman_filter_N_175_i_3,5425,optimal,0.000845304,0.014942083,0.015787387,7386.595348136254,22
robust_kalman_filter_N_175_i_4,5425,optimal,0.000857844,0.015732757,0.016590601,7350.354599544413,22
robust_kalman_filter_N_175_i_5,5425,optimal,0.000862204,0.017919198,0.018781402,6405.171393585318,26
robust_kalman_filter_N_175_i_6,5425,optimal,0.000844064,0.014848663,0.015692727,7623.096162599848,22
robust_kalman_filter_N_175_i_7,5425,optimal,0.000856384,0.017184725,0.018041109,7765.780285258573,25
robust_kalman_filter_N_175_i_8,5425,optimal,0.000844994,0.016342641,0.017187635,8195.90842357845,24
robust_kalman_filter_N_175_i_9,5425,optimal,0.000915434,0.018181129,0.019096563,7013.463250239001,24
