,size,status,setup_time,solve_time,run_time,obj,iters
robust_kalman_filter_N_25_i_0,775,optimal,0.0,0.0038629688788205385,0.0038629688788205385,766.1804920380318,12
robust_kalman_filter_N_25_i_1,775,optimal,0.0,0.003831949084997177,0.003831949084997177,464.9850459291313,11
robust_kalman_filter_N_25_i_2,775,optimal,0.0,0.004182330099865794,0.004182330099865794,1534.6659664985868,12
robust_kalman_filter_N_25_i_3,775,optimal,0.0,0.004354581935331225,0.004354581935331225,706.2162996179101,12
robust_kalman_filter_N_25_i_4,775,optimal,0.0,0.004361841827630997,0.004361841827630997,914.4431983890904,12
robust_kalman_filter_N_25_i_5,775,optimal,0.0,0.003650228027254343,0.003650228027254343,299.9203129200152,10
robust_kalman_filter_N_25_i_6,775,optimal,0.0,0.0038021490909159184,0.0038021490909159184,1116.2452288708475,12
robust_kalman_filter_N_25_i_7,775,optimal,0.0,0.0036362181417644024,0.0036362181417644024,1301.0374637765863,11
robust_kalman_filter_N_25_i_8,775,optimal,0.0,0.00390555988997221,0.00390555988997221,1041.8767863235862,11
robust_kalman_filter_N_25_i_9,775,optimal,0.0,0.003476056968793273,0.003476056968793273,650.0235140053715,11
robust_kalman_filter_N_25_i_10,775,optimal,0.0,0.004636543104425073,0.004636543104425073,1205.470494144,13
robust_kalman_filter_N_25_i_11,775,optimal,0.0,0.004183250945061445,0.004183250945061445,1435.8280437802673,12
robust_kalman_filter_N_25_i_12,775,optimal,0.0,0.004201981006190181,0.004201981006190181,337.36478730182,12
robust_kalman_filter_N_25_i_13,775,optimal,0.0,0.004594902973622084,0.004594902973622084,574.9029985224871,13
robust_kalman_filter_N_25_i_14,775,optimal,0.0,0.00420058099552989,0.00420058099552989,632.7262300821673,12
robust_kalman_filter_N_25_i_15,775,optimal,0.0,0.00392672885209322,0.00392672885209322,324.2176017948362,11
robust_kalman_filter_N_25_i_16,775,optimal,0.0,0.00442042201757431,0.00442042201757431,1002.2603234801404,12
robust_kalman_filter_N_25_i_17,775,optimal,0.0,0.004148090956732631,0.004148090956732631,565.6364748391139,11
robust_kalman_filter_N_25_i_18,775,optimal,0.0,0.004399481927976012,0.004399481927976012,1030.1790041660117,12
robust_kalman_filter_N_25_i_19,775,optimal,0.0,0.00391846988350153,0.00391846988350153,1125.083937951096,11
robust_kalman_filter_N_50_i_0,1550,optimal,0.0,0.007581316865980625,0.007581316865980625,1242.5057053676796,13
robust_kalman_filter_N_50_i_1,1550,optimal,0.0,0.007241706131026149,0.007241706131026149,2986.414165836757,14
robust_kalman_filter_N_50_i_2,1550,optimal,0.0,0.006554072955623269,0.006554072955623269,2914.381754843865,12
robust_kalman_filter_N_50_i_3,1550,optimal,0.0,0.007130065932869911,0.007130065932869911,2462.565725100935,12
robust_kalman_filter_N_50_i_4,1550,optimal,0.0,0.0060653300024569035,0.0060653300024569035,888.2933953507085,11
robust_kalman_filter_N_50_i_5,1550,optimal,0.0,0.0067685439717024565,0.0067685439717024565,2676.556457821574,11
robust_kalman_filter_N_50_i_6,1550,optimal,0.0,0.007117984816431999,0.007117984816431999,2493.980706418334,12
robust_kalman_filter_N_50_i_7,1550,optimal,0.0,0.00614119996316731,0.00614119996316731,1707.4561918483414,10
robust_kalman_filter_N_50_i_8,1550,optimal,0.0,0.006136769894510508,0.006136769894510508,1174.7189082897426,10
robust_kalman_filter_N_50_i_9,1550,optimal,0.0,0.006477202987298369,0.006477202987298369,1733.077656510872,12
robust_kalman_filter_N_50_i_10,1550,optimal,0.0,0.006080979947000742,0.006080979947000742,1707.4887773782482,11
robust_kalman_filter_N_50_i_11,1550,optimal,0.0,0.006317651830613613,0.006317651830613613,2305.7012041730204,12
robust_kalman_filter_N_50_i_12,1550,optimal,0.0,0.005934478947892785,0.005934478947892785,2691.9797955205386,11
robust_kalman_filter_N_50_i_13,1550,optimal,0.0,0.0073327559512108564,0.0073327559512108564,2125.9505877024403,14
robust_kalman_filter_N_50_i_14,1550,optimal,0.0,0.007267525885254145,0.007267525885254145,1614.7513269898684,13
robust_kalman_filter_N_50_i_15,1550,optimal,0.0,0.006148149957880378,0.006148149957880378,2204.506343481493,12
robust_kalman_filter_N_50_i_16,1550,optimal,0.0,0.006185641046613455,0.006185641046613455,1245.3581125619185,11
robust_kalman_filter_N_50_i_17,1550,optimal,0.0,0.0063246311619877815,0.0063246311619877815,2792.488564657832,12
robust_kalman_filter_N_50_i_18,1550,optimal,0.0,0.006174320820719004,0.006174320820719004,2480.0657081373342,11
robust_kalman_filter_N_50_i_19,1550,optimal,0.0,0.006872473983094096,0.006872473983094096,1544.7495713028118,13
robust_kalman_filter_N_75_i_0,2325,optimal,0.0,0.00928582507185638,0.00928582507185638,2944.2081137278965,12
robust_kalman_filter_N_75_i_1,2325,optimal,0.0,0.009528917027637362,0.009528917027637362,2400.298090749387,11
robust_kalman_filter_N_75_i_2,2325,optimal,0.0,0.008658963022753596,0.008658963022753596,3077.582428509127,11
robust_kalman_filter_N_75_i_3,2325,optimal,0.0,0.010812194086611271,0.010812194086611271,3226.052371473063,14
robust_kalman_filter_N_75_i_4,2325,optimal,0.0,0.010576891945675015,0.010576891945675015,2618.1432176730364,14
robust_kalman_filter_N_75_i_5,2325,optimal,0.0,0.009747658856213093,0.009747658856213093,2054.456705589189,13
robust_kalman_filter_N_75_i_6,2325,optimal,0.0,0.010462371865287423,0.010462371865287423,3079.5656073575865,12
robust_kalman_filter_N_75_i_7,2325,optimal,0.0,0.009342886041849852,0.009342886041849852,2465.041124481045,12
robust_kalman_filter_N_75_i_8,2325,optimal,0.0,0.009589228080585599,0.009589228080585599,2664.845362120212,12
robust_kalman_filter_N_75_i_9,2325,optimal,0.0,0.008831002982333302,0.008831002982333302,3413.5741907705456,11
robust_kalman_filter_N_75_i_10,2325,optimal,0.0,0.010403691092506051,0.010403691092506051,3635.6028638502457,14
