,nvar,status,setup_time,solve_time,run_time,obj
robust_kalman_filter_25,204,QCOS_SOLVED,0.00015770300000000025,0.00079907042,0.0009567734200000002,706.0121861793388
robust_kalman_filter_50,404,QCOS_SOLVED,0.00027046400000000053,0.001774309170000001,0.0020447731700000017,1710.4613614834177
robust_kalman_filter_75,604,QCOS_SOLVED,0.00042297599999999917,0.00292094542,0.0033439214199999993,3201.555339460668
robust_kalman_filter_100,804,QCOS_SOLVED,0.0006062589999999993,0.0040350141,0.004641273099999999,4708.570500430505
robust_kalman_filter_125,1004,QCOS_SOLVED,0.0007842029999999986,0.005558181520000003,0.006342384520000002,5060.296900704194
robust_kalman_filter_150,1204,QCOS_SOLVED,0.0010135279999999999,0.00666734792,0.007680875920000001,5427.660738966577
robust_kalman_filter_175,1404,QCOS_SOLVED,0.0012042470000000023,0.00776559419,0.008969841190000003,8490.266610765433
robust_kalman_filter_225,1804,QCOS_SOLVED,0.0017518029999999982,0.01076818824,0.012519991239999998,8859.933947613128
robust_kalman_filter_300,2404,QCOS_SOLVED,0.0026509279999999973,0.013502030659999992,0.01615295865999999,13227.527231035656
robust_kalman_filter_400,3204,QCOS_SOLVED,0.004091096999999992,0.018296177370000003,0.022387274369999998,17057.908941880232
robust_kalman_filter_500,4004,QCOS_SOLVED,0.005862487000000015,0.021309429970000005,0.02717191697000002,19557.65601138716
