,size,status,setup_time,solve_time,run_time,obj,iters
robust_kalman_filter_N_25_i_0,775,QOCO_SOLVED,9.48e-05,0.000411762,0.000506562,766.180507408966,9
robust_kalman_filter_N_25_i_1,775,QOCO_SOLVED,0.000100451,0.000409252,0.000509703,464.9850498371736,9
robust_kalman_filter_N_25_i_2,775,QOCO_SOLVED,9.4701e-05,0.000465812,0.000560513,1534.666011994317,10
robust_kalman_filter_N_25_i_3,775,QOCO_SOLVED,8.96e-05,0.000352762,0.000442362,706.2163249719646,9
robust_kalman_filter_N_25_i_4,775,QOCO_SOLVED,9.631e-05,0.000417262,0.000513572,914.4432306064527,9
robust_kalman_filter_N_25_i_5,775,QOCO_SOLVED,9.4201e-05,0.000376331,0.00047053199999999996,299.92034544287907,8
robust_kalman_filter_N_25_i_6,775,QOCO_SOLVED,9.9581e-05,0.000416932,0.000516513,1116.245258089564,9
robust_kalman_filter_N_25_i_7,775,QOCO_SOLVED,9.4921e-05,0.000413272,0.000508193,1301.037580813921,9
robust_kalman_filter_N_25_i_8,775,QOCO_SOLVED,9.9271e-05,0.000417952,0.000517223,1041.8768412073532,9
robust_kalman_filter_N_25_i_9,775,QOCO_SOLVED,9.561e-05,0.000360432,0.000456042,650.023563923251,9
robust_kalman_filter_N_25_i_10,775,QOCO_SOLVED,9.3e-05,0.000387422,0.000480422,1205.4705144518607,10
robust_kalman_filter_N_25_i_11,775,QOCO_SOLVED,9.5541e-05,0.000392952,0.000488493,1435.828175815266,10
robust_kalman_filter_N_25_i_12,775,QOCO_SOLVED,9.328e-05,0.000350361,0.000443641,337.364803777308,9
robust_kalman_filter_N_25_i_13,775,QOCO_SOLVED,8.9051e-05,0.000317672,0.000406723,574.9030251165383,8
robust_kalman_filter_N_25_i_14,775,QOCO_SOLVED,9.531e-05,0.000354731,0.000450041,632.7262628471477,9
robust_kalman_filter_N_25_i_15,775,QOCO_SOLVED,9.3931e-05,0.000327341,0.000421272,324.21762332194174,8
robust_kalman_filter_N_25_i_16,775,QOCO_SOLVED,8.6e-05,0.000357242,0.00044324200000000005,1002.2603406225028,9
robust_kalman_filter_N_25_i_17,775,QOCO_SOLVED,9.2451e-05,0.000355061,0.000447512,565.6364915593476,9
robust_kalman_filter_N_25_i_18,775,QOCO_SOLVED,0.000103371,0.000378202,0.000481573,1030.1790222686232,9
robust_kalman_filter_N_25_i_19,775,QOCO_SOLVED,9.6611e-05,0.000417832,0.000514443,1125.0839708797794,10
robust_kalman_filter_N_50_i_0,1550,QOCO_SOLVED,0.000184961,0.001083215,0.001268176,1242.5057595521446,12
robust_kalman_filter_N_50_i_1,1550,QOCO_SOLVED,0.00018803,0.001068365,0.001256395,2986.414180894404,12
robust_kalman_filter_N_50_i_2,1550,QOCO_SOLVED,0.000185791,0.000894804,0.001080595,2914.3818119105495,10
robust_kalman_filter_N_50_i_3,1550,QOCO_SOLVED,0.000184691,0.000891054,0.001075745,2462.5657692831205,10
robust_kalman_filter_N_50_i_4,1550,QOCO_SOLVED,0.000189641,0.000891764,0.001081405,888.2934252739919,10
robust_kalman_filter_N_50_i_5,1550,QOCO_SOLVED,0.000197191,0.000808374,0.001005565,2676.556531746995,10
robust_kalman_filter_N_50_i_6,1550,QOCO_SOLVED,0.00017101,0.000854344,0.001025354,2493.980739726534,11
robust_kalman_filter_N_50_i_7,1550,QOCO_SOLVED,0.000174521,0.000713623,0.000888144,1707.4562820219994,9
robust_kalman_filter_N_50_i_8,1550,QOCO_SOLVED,0.000173691,0.000789914,0.000963605,1174.7189626605089,10
robust_kalman_filter_N_50_i_9,1550,QOCO_SOLVED,0.000194141,0.000779794,0.000973935,1733.0776808157166,10
robust_kalman_filter_N_50_i_10,1550,QOCO_SOLVED,0.000225601,0.000702183,0.000927784,1707.4889485486199,9
robust_kalman_filter_N_50_i_11,1550,QOCO_SOLVED,0.00018795,0.000801814,0.000989764,2305.7012673390977,10
robust_kalman_filter_N_50_i_12,1550,QOCO_SOLVED,0.000186931,0.000986714,0.001173645,2691.9800760626754,11
robust_kalman_filter_N_50_i_13,1550,QOCO_SOLVED,0.000199731,0.001067605,0.001267336,2125.9506630339683,12
robust_kalman_filter_N_50_i_14,1550,QOCO_SOLVED,0.000169261,0.000924585,0.001093846,1614.7514781023538,12
robust_kalman_filter_N_50_i_15,1550,QOCO_SOLVED,0.00018469,0.000775124,0.000959814,2204.5063612821646,10
robust_kalman_filter_N_50_i_16,1550,QOCO_SOLVED,0.000178741,0.000762314,0.0009410550000000001,1245.3581472736412,10
robust_kalman_filter_N_50_i_17,1550,QOCO_SOLVED,0.000175791,0.000845354,0.001021145,2792.4886420778757,11
robust_kalman_filter_N_50_i_18,1550,QOCO_SOLVED,0.000198981,0.000817233,0.001016214,2480.0657823177776,10
robust_kalman_filter_N_50_i_19,1550,QOCO_SOLVED,0.000188901,0.000967254,0.0011561549999999999,1544.7495941560805,12
robust_kalman_filter_N_75_i_0,2325,QOCO_SOLVED,0.000267861,0.001257276,0.0015251370000000002,2944.2086057885112,11
robust_kalman_filter_N_75_i_1,2325,QOCO_SOLVED,0.000318101,0.001155715,0.0014738160000000002,2400.298135044473,10
robust_kalman_filter_N_75_i_2,2325,QOCO_SOLVED,0.000276762,0.001175505,0.0014522670000000001,3077.582662256085,10
robust_kalman_filter_N_75_i_3,2325,QOCO_SOLVED,0.000332151,0.001274145,0.001606296,3226.0529096195023,11
robust_kalman_filter_N_75_i_4,2325,QOCO_SOLVED,0.000260371,0.001373736,0.001634107,2618.143225950316,12
robust_kalman_filter_N_75_i_5,2325,QOCO_SOLVED,0.000258881,0.001279286,0.001538167,2054.4567531200023,11
robust_kalman_filter_N_75_i_6,2325,QOCO_SOLVED,0.000276741,0.001155115,0.001431856,3079.5656903014915,10
