,size,status,setup_time,solve_time,run_time,obj,iters
robust_kalman_filter_N_25_i_0,775,optimal,,0.000194221,0.000194221,766.1805074089506,9
robust_kalman_filter_N_25_i_1,775,optimal,,0.000212441,0.000212441,464.9850472110116,10
robust_kalman_filter_N_25_i_2,775,optimal,,0.000237482,0.000237482,1534.6659771084421,11
robust_kalman_filter_N_25_i_3,775,optimal,,0.000212361,0.000212361,706.2163174908223,10
robust_kalman_filter_N_25_i_4,775,optimal,,0.000195741,0.000195741,914.4432204059257,10
robust_kalman_filter_N_25_i_5,775,optimal,,0.000193861,0.000193861,299.9203387866449,9
robust_kalman_filter_N_25_i_6,775,optimal,,0.000212641,0.000212641,1116.2452479846602,10
robust_kalman_filter_N_25_i_7,775,optimal,,0.000211181,0.000211181,1301.037559650549,10
robust_kalman_filter_N_25_i_8,775,optimal,,0.000213741,0.000213741,1041.876829540009,10
robust_kalman_filter_N_25_i_9,775,optimal,,0.000194161,0.000194161,650.0235639232291,9
robust_kalman_filter_N_25_i_10,775,optimal,,0.000230001,0.000230001,1205.4704965594924,11
robust_kalman_filter_N_25_i_11,775,optimal,,0.000231292,0.000231292,1435.828168485958,11
robust_kalman_filter_N_25_i_12,775,optimal,,0.000179931,0.000179931,337.3648037772839,9
robust_kalman_filter_N_25_i_13,775,optimal,,0.000192631,0.000192631,574.9030018034657,10
robust_kalman_filter_N_25_i_14,775,optimal,,0.000212042,0.000212042,632.7262515497732,10
robust_kalman_filter_N_25_i_15,775,optimal,,0.000192321,0.000192321,324.2176068317667,9
robust_kalman_filter_N_25_i_16,775,optimal,,0.000211531,0.000211531,1002.2603301254502,10
robust_kalman_filter_N_25_i_17,775,optimal,,0.000211191,0.000211191,565.6364880918584,10
robust_kalman_filter_N_25_i_18,775,optimal,,0.000200251,0.000200251,1030.1790111233186,10
robust_kalman_filter_N_25_i_19,775,optimal,,0.000198151,0.000198151,1125.0839708797582,10
robust_kalman_filter_N_50_i_0,1550,optimal,,0.000555743,0.000555743,1242.505729351836,13
robust_kalman_filter_N_50_i_1,1550,optimal,,0.000513222,0.000513222,2986.4141676822505,13
robust_kalman_filter_N_50_i_2,1550,optimal,,0.000476973,0.000476973,2914.381796780696,11
robust_kalman_filter_N_50_i_3,1550,optimal,,0.000438002,0.000438002,2462.56575332303,11
robust_kalman_filter_N_50_i_4,1550,optimal,,0.000407042,0.000407042,888.2934252740804,10
robust_kalman_filter_N_50_i_5,1550,optimal,,0.000439172,0.000439172,2676.556503108917,11
robust_kalman_filter_N_50_i_6,1550,optimal,,0.000472102,0.000472102,2493.9807076687293,12
robust_kalman_filter_N_50_i_7,1550,optimal,,0.000408582,0.000408582,1707.4562466708394,10
robust_kalman_filter_N_50_i_8,1550,optimal,,0.000442902,0.000442902,1174.7189488313156,11
robust_kalman_filter_N_50_i_9,1550,optimal,,0.000439692,0.000439692,1733.0776625815597,11
robust_kalman_filter_N_50_i_10,1550,optimal,,0.000399142,0.000399142,1707.4888323250382,10
robust_kalman_filter_N_50_i_11,1550,optimal,,0.000441012,0.000441012,2305.701240147295,11
robust_kalman_filter_N_50_i_12,1550,optimal,,0.000515543,0.000515543,2691.9800683878566,12
robust_kalman_filter_N_50_i_13,1550,optimal,,0.000501432,0.000501432,2125.9505962611765,13
robust_kalman_filter_N_50_i_14,1550,optimal,,0.000511103,0.000511103,1614.7514310838633,13
