,status,setup_time,solve_time,run_time,obj
QGROW22,solved (inaccurate - reached max_iters),0.005953275,8.445562911000001,8.451516186000001,-149603481.7525258
QSCFXM1,solved (inaccurate - reached max_iters),0.001382619,2.717549364,2.718931983,16846941.17945385
AUG3D,solved,0.005089314,0.003501965,0.008591279,-782.4322880847326
QBORE3D,solved (inaccurate - reached max_iters),0.0007942439999999999,1.651019438,1.651813682,3107.102321383297
QGROW15,solved (inaccurate - reached max_iters),0.0019095359999999999,5.23834375,5.240253286,-101674156.18613565
DUALC2,solved,0.000305005,0.0014775979999999999,0.001782603,3551.3076216404165
DUAL3,solved,0.000997748,0.00083168,0.0018294280000000001,0.13575583569818517
ZECEVIC2,solved,1.9905e-05,4.779e-05,6.769500000000001e-05,-4.125000007930795
QSHIP08S,solved,0.0065016,1.787228626,1.793730226,2385728.824751647
QSHIP04L,solved,0.003677077,2.267545403,2.27122248,2420015.5327271316
QSHIP04S,solved,0.002457462,0.16778412499999998,0.17024158699999997,2424993.678383425
STADAT2,solved (inaccurate - reached max_iters),0.004680479,14.069708386,14.074388865000001,-32.6269974560136
QSCRS8,solved (inaccurate - reached max_iters),0.001911731,4.877196662,4.879108393,904.5698440376065
HS51,solved,4.9296e-05,2.8284e-05,7.758e-05,-5.999999999999992
AUG2DQP,solved,0.037446822,2.359240549,2.396687371,6227112.025569018
QSHARE2B,solved (inaccurate - reached max_iters),0.000319782,0.59417639,0.594496172,11703.707983401191
QSC205,solved,0.000353883,0.007153244,0.007507127,-0.00581396346815751
STADAT3,solved (inaccurate - reached max_iters),0.007791508999999999,28.968988807000002,28.976780316,-35.779908540209874
QSHELL,solved (inaccurate - reached max_iters),0.010296201999999999,16.93713524,16.947431442000003,0.001937637938725366
DPKLO1,solved,0.00040486499999999997,0.000287328,0.0006921929999999999,0.3700962149486305
MOSARQP1,solved,0.003373192,0.09576353,0.09913672200000001,-952.8754431257448
KSIP,solved (inaccurate - reached max_iters),0.001798769,3.779424286,3.781223055,0.5757939669256774
HS52,solved,2.4724e-05,2.1676e-05,4.6399999999999996e-05,-0.6733524355300953
STADAT1,solved,0.003755661,5.840311520999999,5.844067182,-28526864.04498565
DUALC1,solved,0.00025865100000000004,0.001487579,0.0017462299999999999,6155.250845971825
QBANDM,solved,0.0012389529999999999,0.8357708239999999,0.837009777,16352.341194311393
QE226,solved (inaccurate - reached max_iters),0.0022501699999999997,2.305734843,2.307985013,205.53870705459954
QFORPLAN,solved (inaccurate - reached max_iters),0.004131895,2.542840116,2.546972011,4108908592.4356413
