,size,status,setup_time,solve_time,run_time,obj,iters
NYPA_Maragal_6_huber,686479,optimal,0.0,26.187877816,26.187877816,105.24843664449617,6
NYPA_Maragal_6_lasso,620812,optimal,0.0,27.234444308,27.234444308,201.10527093815517,7
Pereyra_landmark_huber,1650512,optimal,0.0,1.384773557,1.384773557,59205.55610451169,8
Pereyra_landmark_lasso,1301568,optimal,0.0,0.794105589,0.794105589,87829.23659205454,7
NYPA_Maragal_1_huber,458,optimal,0.0,0.000188562,0.000188562,0.9361627943832812,5
NYPA_Maragal_1_lasso,354,optimal,0.0,0.00018082,0.00018082,3.760543012651315,8
HB_ash608_huber,5472,optimal,0.0,0.003189965,0.003189965,401.5394202194761,8
HB_ash608_lasso,3184,optimal,0.0,0.001629528,0.001629528,1415.3214694224785,7
ANSYS_Delor64K_huber,1105173,optimal,0.0,2.344590626,2.344590626,8.770332006973773e-27,7
ANSYS_Delor64K_lasso,7922958,optimal,0.0,10.00609858,10.00609858,128887.09837883983,7
HB_ash85_huber,1118,optimal,0.0,0.000586803,0.000586803,2.3531397246512125e-28,5
HB_ash85_lasso,1033,optimal,0.0,0.000614773,0.000614773,422.4951272442609,7
NYPA_Maragal_3_huber,30221,optimal,0.0,0.038728021,0.038728021,32.10854245288031,7
NYPA_Maragal_3_lasso,25211,optimal,0.0,0.032036258,0.032036258,42.50033240879177,6
HB_well1033_huber,11963,optimal,0.0,0.005057105,0.005057105,0.5657414601338822,6
HB_well1033_lasso,8078,optimal,0.0,0.005568679,0.005568679,37060623.71550618,13
NYPA_Maragal_7_huber,1528452,optimal,0.0,75.843905631,75.843905631,156.42913748601796,9
NYPA_Maragal_7_lasso,1400483,optimal,0.0,52.861805628,52.861805628,438.0027365837194,6
HB_illc1033_huber,11950,optimal,0.0,0.006433786,0.006433786,0.5657414594460077,6
HB_illc1033_lasso,8065,optimal,0.0,0.008274109,0.008274109,38505189.196681604,19
NYPA_Maragal_4_huber,40467,optimal,0.0,0.090569559,0.090569559,43.85262336404415,6
NYPA_Maragal_4_lasso,34783,optimal,0.0,0.072322204,0.072322204,68.05420213480446,6
HB_ash219_huber,1971,optimal,0.0,0.001064535,0.001064535,110.90967937684583,7
HB_ash219_lasso,1216,optimal,0.0,0.000683985,0.000683985,607.5560824897119,8
NYPA_Maragal_2_huber,8242,optimal,0.0,0.004573615,0.004573615,18.13964275995753,7
NYPA_Maragal_2_lasso,6867,optimal,0.0,0.00338408,0.00338408,34.89031444602991,6
HB_ash331_huber,2979,optimal,0.0,0.001735049,0.001735049,216.25282988475118,8
HB_ash331_lasso,1740,optimal,0.0,0.000886335,0.000886335,902.5588287922701,7
HB_illc1850_huber,21586,optimal,0.0,0.010874932,0.010874932,1.6336401876322633,6
HB_illc1850_lasso,15184,optimal,0.0,0.012574981,0.012574981,41009766.19715883,13
HB_ash958_huber,8622,optimal,0.0,0.005373889,0.005373889,636.3114040384769,8
HB_ash958_lasso,5000,optimal,0.0,0.002607455,0.002607455,2857.0770335114303,7
ANSYS_Delor295K_huber,4471461,optimal,0.0,5.292228854,5.292228854,3.5374405642486075e-26,7
ANSYS_Delor295K_lasso,10288503,optimal,0.0,12.139898598,12.139898598,591401.9104244822,7
ANSYS_Delor338K_huber,6614251,optimal,0.0,6.17863677,6.17863677,5.577429901023089e-26,7
ANSYS_Delor338K_lasso,8446303,optimal,0.0,7.549593387,7.549593387,687362.2780395765,6
NYPA_Maragal_8_huber,1540899,optimal,0.0,28.183269532,28.183269532,517.0528310382119,6
NYPA_Maragal_8_lasso,1675147,optimal,0.0,36.655037867,36.655037867,625.4918226863623,7
HB_abb313_huber,3748,optimal,0.0,0.00200006,0.00200006,169.09879792237902,8
HB_abb313_lasso,2887,optimal,0.0,0.001395907,0.001395907,1703.3514065931854,6
NYPA_Maragal_5_huber,125669,optimal,0.0,0.618050064,0.618050064,99.79152310952733,7
NYPA_Maragal_5_lasso,115679,optimal,0.0,0.591989769,0.591989769,186.60051491392704,7
HB_ash292_huber,4252,optimal,0.0,0.002902545,0.002902545,4.384098600650515,6
HB_ash292_lasso,3960,optimal,0.0,0.002701264,0.002701264,2306.7294825122794,8
HB_well1850_huber,21705,optimal,0.0,0.009984863,0.009984863,1.6336401888603254,6
HB_well1850_lasso,15303,optimal,0.0,0.010999207,0.010999207,39565200.66780457,12
