,size,status,setup_time,solve_time,run_time,obj,iters
NYPA_Maragal_6_huber,686479,optimal,0.384732601,46.828683846,47.213416447,105.24843664458949,13
NYPA_Maragal_6_lasso,620812,optimal_inaccurate,,,,,
Pereyra_landmark_huber,1650512,optimal,0.408341541,2.672336959,3.0806785,59208.66802250403,16
Pereyra_landmark_lasso,1301568.0,,,,,,
NYPA_Maragal_1_huber,458,optimal,6.227e-05,0.000443173,0.000505443,0.9361627944317289,10
NYPA_Maragal_1_lasso,354,optimal,3.259e-05,0.000210851,0.000243441,3.7605427548914645,12
HB_ash608_huber,5472,optimal,0.000696754,0.009345556,0.010042309999999999,401.5394198689396,14
HB_ash608_lasso,3184,optimal,0.000228071,0.004425362,0.004653433,1415.3214756499833,21
ANSYS_Delor64K_huber,1105173,optimal,0.515453593,2.350763251,2.866216844,2.106006616666677e-20,7
ANSYS_Delor64K_lasso,7922958.0,,,,,,
HB_ash85_huber,1118,optimal,0.000162811,0.000709013,0.000871824,6.480289424058634e-17,6
HB_ash85_lasso,1033,optimal,0.00011746,0.001162006,0.001279466,422.49523453394943,16
NYPA_Maragal_3_huber,30221,optimal,0.005773088,0.065176072,0.07094916,32.10854245290762,12
NYPA_Maragal_3_lasso,25211,optimal,0.003768189,0.061922216,0.06569040500000001,42.50033146890462,15
HB_well1033_huber,11963,optimal,0.001528018,0.012666742,0.01419476,0.5657414601440187,11
HB_well1033_lasso,8078,optimal_inaccurate,,,,,
NYPA_Maragal_7_huber,1528452,optimal,1.056370832,262.802550737,263.858921569,156.4294746578666,37
NYPA_Maragal_7_lasso,1400483.0,,,,,,
HB_illc1033_huber,11950,optimal,0.001622219,0.012639383,0.014261602,0.5657414594595109,11
HB_illc1033_lasso,8065,optimal,0.000592273,0.012469232,0.013061505000000001,38505189.32612996,32
NYPA_Maragal_4_huber,40467,optimal,0.00698215,0.14301502,0.14999716999999999,43.85262336411047,12
NYPA_Maragal_4_lasso,34783,optimal,0.00531886,0.181536791,0.186855651,68.05420194290906,17
HB_ash219_huber,1971,optimal,0.000271442,0.002940247,0.003211689,110.90967930176872,12
HB_ash219_lasso,1216,optimal,0.000147651,0.001360088,0.001507739,607.5561349413932,18
NYPA_Maragal_2_huber,8242,optimal,0.001054286,0.009969447,0.011023732999999999,18.139642760069634,12
NYPA_Maragal_2_lasso,6867,optimal,0.000625834,0.005703452,0.006329286,34.89031404830055,14
HB_ash331_huber,2979,optimal,0.000396092,0.004251745,0.004647837,216.25282987875778,12
HB_ash331_lasso,1740,optimal,0.000128541,0.002141142,0.0022696829999999998,902.5588132535614,20
HB_illc1850_huber,21586,optimal,0.002994307,0.030379214,0.033373521,1.6336401876357756,14
HB_illc1850_lasso,15184,optimal_inaccurate,,,,,
HB_ash958_huber,8622,optimal,0.001415808,0.015360458,0.016776266,636.311403982689,14
HB_ash958_lasso,5000,optimal,0.000337432,0.009429254,0.009766686,2857.076974457212,23
ANSYS_Delor295K_huber,4471461,optimal,1.7660068949999999,8.366627114,10.132634009,7.376357065486432e-21,8
ANSYS_Delor295K_lasso,10288503.0,,,,,,
ANSYS_Delor338K_huber,6614251,optimal_inaccurate,,,,,
ANSYS_Delor338K_lasso,8446303.0,,,,,,
NYPA_Maragal_8_huber,1540899,optimal,1.558283121,57.965592519,59.52387564,517.0528346089592,13
NYPA_Maragal_8_lasso,1675147.0,,,,,,
HB_abb313_huber,3748,optimal,0.000440743,0.005341578,0.005782321,169.09879769299,14
HB_abb313_lasso,2887,optimal,0.000286742,0.004720684,0.005007426000000001,1703.3514483365973,22
NYPA_Maragal_5_huber,125669,optimal,0.0327821,1.057113663,1.089895763,99.79152310953108,14
NYPA_Maragal_5_lasso,115679,optimal,0.022031585,1.389803938,1.411835523,186.6005106931863,22
HB_ash292_huber,4252,optimal,0.000594273,0.005757359,0.006351632,4.3840986006510025,13
HB_ash292_lasso,3960,optimal,0.000447343,0.00782177,0.008269113,2306.72953288521,24
HB_well1850_huber,21705,optimal,0.003146016,0.030332948,0.033478964,1.6336401888637826,14
HB_well1850_lasso,15303,optimal_inaccurate,,,,,
