,size,status,setup_time,solve_time,run_time,obj,iters
NYPA_Maragal_6_huber,686479,QOCO_SOLVED,0.226795098,18.623422417,18.850217515,105.24843526587156,6
NYPA_Maragal_6_lasso,620812,QOCO_SOLVED,0.177096362,19.910838945,20.087935307,201.10525302445023,7
Pereyra_landmark_huber,1650512,QOCO_SOLVED,0.252430029,0.503419084,0.755849113,59211.7832018455,8
Pereyra_landmark_lasso,1301568,QOCO_SOLVED,0.206187775,0.299966382,0.506154157,87829.23572453664,7
NYPA_Maragal_1_huber,458,QOCO_SOLVED,3.9561e-05,8.4061e-05,0.000123622,0.9361627686428245,5
NYPA_Maragal_1_lasso,354,QOCO_SOLVED,2.733e-05,8.7161e-05,0.000114491,3.760542778893997,8
HB_ash608_huber,5472,QOCO_SOLVED,0.000315042,0.001607694,0.001922736,401.5394248192277,8
HB_ash608_lasso,3184,QOCO_SOLVED,0.000246012,0.000777556,0.0010235679999999999,1415.3214732032534,7
ANSYS_Delor64K_huber,1105173,QOCO_SOLVED,0.235157163,1.066443665,1.301600828,-1.2943799935275483e-07,6
ANSYS_Delor64K_lasso,7922958,QOCO_SOLVED,0.979002138,5.143203577,6.122205715000001,128887.095104914,7
HB_ash85_huber,1118,QOCO_SOLVED,0.000115201,0.000261332,0.000376533,-1.700000000839356e-08,5
HB_ash85_lasso,1033,QOCO_SOLVED,0.000104481,0.000310562,0.00041504300000000003,422.49512814024274,7
NYPA_Maragal_3_huber,30221,QOCO_SOLVED,0.003610368,0.023569773,0.027180140999999998,32.10854303085308,6
NYPA_Maragal_3_lasso,25211,QOCO_SOLVED,0.003369696,0.031616526,0.034986222,42.50033142633969,7
HB_well1033_huber,11963,QOCO_SOLVED,0.000679115,0.002390309,0.0030694240000000003,0.5657414548869144,6
HB_well1033_lasso,8078,QOCO_SOLVED,0.000462644,0.00139192,0.001854564,37060623.485308245,6
NYPA_Maragal_7_huber,1528452,QOCO_SOLVED,0.731203756,36.257035011,36.988238767,156.50182240425542,6
NYPA_Maragal_7_lasso,1400483,QOCO_SOLVED,0.279554721,38.484364781,38.76391950199999,438.0026932871399,7
HB_illc1033_huber,11950,QOCO_SOLVED,0.000705434,0.002369495,0.003074929,0.5657414631606603,6
HB_illc1033_lasso,8065,QOCO_SOLVED,0.000554234,0.001757931,0.0023121649999999997,38505190.2505742,6
NYPA_Maragal_4_huber,40467,QOCO_SOLVED,0.005319784,0.061808941,0.067128725,43.85262339162535,6
NYPA_Maragal_4_lasso,34783,QOCO_SOLVED,0.00478896,0.058233778,0.063022738,68.05418679614498,6
HB_ash219_huber,1971,QOCO_SOLVED,0.000124351,0.000520253,0.000644604,110.9096821878949,7
HB_ash219_lasso,1216,QOCO_SOLVED,8.804e-05,0.000344152,0.000432192,607.5560817556283,8
NYPA_Maragal_2_huber,8242,QOCO_SOLVED,0.000648285,0.002395645,0.0030439300000000002,18.139643393586667,6
NYPA_Maragal_2_lasso,6867,QOCO_SOLVED,0.000712105,0.001717161,0.0024292660000000002,34.89031197936943,6
HB_ash331_huber,2979,QOCO_SOLVED,0.000176451,0.000863125,0.001039576,216.2528317117216,8
HB_ash331_lasso,1740,QOCO_SOLVED,0.000120271,0.000426762,0.000547033,902.5588507321795,7
HB_illc1850_huber,21586,QOCO_SOLVED,0.00152689,0.005161763,0.006688652999999999,1.633640176397187,6
HB_illc1850_lasso,15184,QOCO_SOLVED,0.001153038,0.00327982,0.004432858,41009767.45511473,6
HB_ash958_huber,8622,QOCO_SOLVED,0.000492963,0.002531676,0.003024639,636.3114063102612,8
HB_ash958_lasso,5000,QOCO_SOLVED,0.000315412,0.001219828,0.00153524,2857.0770485930857,7
ANSYS_Delor295K_huber,4471461,QOCO_SOLVED,0.616116802,2.513195762,3.129312564,-5.914679971245407e-09,7
ANSYS_Delor295K_lasso,10288503,QOCO_SOLVED,1.480692575,6.027317568,7.508010143,591401.9023226979,7
ANSYS_Delor338K_huber,6614251,QOCO_SOLVED,0.829453519,3.221812859,4.051266378,-6.8647199928464914e-09,7
ANSYS_Delor338K_lasso,8446303,QOCO_SOLVED,1.080348798,4.194703099,5.275051897,687362.2292491809,7
NYPA_Maragal_8_huber,1540899,QOCO_SOLVED,1.041715949,21.144806329,22.186522278,517.0528454922409,6
NYPA_Maragal_8_lasso,1675147,QOCO_SOLVED,1.272104742,23.326289932999998,24.598394674999998,625.4918041905818,7
HB_abb313_huber,3748,QOCO_SOLVED,0.000235831,0.001004945,0.0012407759999999999,169.0987992435108,8
HB_abb313_lasso,2887,QOCO_SOLVED,0.000219141,0.000634614,0.0008537550000000001,1703.351439959533,6
NYPA_Maragal_5_huber,125669,QOCO_SOLVED,0.026552,0.443496131,0.47004813100000004,99.79152908778352,6
NYPA_Maragal_5_lasso,115679,QOCO_SOLVED,0.025847226,0.484693252,0.510540478,186.60051121194874,7
HB_ash292_huber,4252,QOCO_SOLVED,0.000415693,0.001295106,0.001710799,4.384098603207611,6
HB_ash292_lasso,3960,QOCO_SOLVED,0.000387452,0.001559068,0.00194652,2306.7295665482375,8
HB_well1850_huber,21705,QOCO_SOLVED,0.001369028,0.004845985,0.006215013,1.633640177627491,6
HB_well1850_lasso,15303,QOCO_SOLVED,0.001108876,0.003212977,0.0043218530000000005,39565200.30786828,6
